month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,98,98~98,良,73,98,1,25,30,51
2015-01,83,42~122,良,61,80,0.903,18,19,74
2015-02,63,45~84,良,42,53,1.232,11,14,88
2015-03,71,36~126,良,50,58,0.839,12,17,109
2015-04,59,31~106,良,34,51,0.72,10,16,103
2015-05,60,25~97,良,40,42,0.894,10,14,101
2015-06,39,27~50,优,25,24,0.42,6,11,71
2015-07,57,32~87,良,35,47,0.561,8,15,94
2015-08,50,24~95,优,31,40,0.561,10,14,74
2015-09,42,23~74,优,29,36,0.49,8,13,59
2015-10,59,34~102,良,42,55,0.526,8,14,73
2015-11,51,33~68,良,35,45,0.597,13,15,62
2015-12,46,20~73,优,31,38,0.6,9,16,58
2016-01,48,29~62,优,33,46,0.658,9,17,75
2016-02,59,33~122,良,42,52,0.707,6,10,80
2016-03,69,34~97,良,45,65,0.732,7,14,114
2016-04,74,48~102,良,44,67,0.62,7,14,125
2016-05,58,31~97,良,27,44,0.552,6,12,105
2016-06,38,20~80,优,16,27,0.457,13,11,71
2016-07,31,20~48,优,13,25,0.49,11,13,59
2016-08,45,28~69,优,25,41,0.565,14,15,77
2016-09,50,33~67,良,30,47,0.567,18,23,87
2016-10,45,21~64,优,27,45,0.642,18,19,72
2016-11,39,23~74,优,23,40,0.753,14,16,62
2016-12,52,34~89,良,36,55,0.79,14,21,67
2017-01,36,21~74,优,21,30,0.652,11,12,59
2017-02,46,23~65,优,30,43,0.682,9,13,78
2017-03,57,23~98,良,33,51,0.771,11,15,99
2017-04,57,34~122,良,27,47,0.66,11,18,103
2017-05,68,35~103,良,24,42,0.632,10,15,121
2017-06,37,21~66,优,13,29,0.67,7,14,73
2017-07,37,16~84,优,13,29,0.645,11,14,69
2017-08,34,20~56,优,12,26,0.813,9,13,63
2017-09,36,26~52,优,15,31,0.837,10,11,66
2017-10,38,21~74,优,19,35,0.823,7,12,67
2017-11,51,24~93,良,33,56,0.967,12,17,69
2017-12,52,23~100,良,35,59,1.003,8,20,46
2018-01,36,20~53,优,21,35,0.665,6,15,61
2018-02,48,0~87,优,30,44,0.686,5,12,75
2018-03,55,35~75,良,33,53,0.765,5,14,101
2018-04,55,32~76,良,30,55,0.697,4,12,99
2018-05,44,22~63,优,18,37,0.639,4,12,85
2018-06,35,18~95,优,12,24,0.557,4,12,65
2018-07,31,18~52,优,13,22,0.468,5,12,60
2018-08,41,17~69,优,19,32,0.61,7,15,76
2018-09,33,18~46,优,17,27,0.557,6,12,62
2018-10,36,19~60,优,21,31,0.616,6,14,65
2018-11,42,26~65,优,26,43,0.627,10,17,68
2018-12,36,20~69,优,23,34,0.761,9,16,49
2019-01,33,20~57,优,21,31,0.758,6,14,50
2019-02,46,37~62,优,29,40,0.621,7,13,83
2019-03,59,29~112,良,42,56,0.865,7,15,83
2019-04,74,48~107,良,46,68,0.717,7,14,120
2019-05,55,25~89,良,23,40,0.6,4,11,102
2019-06,37,24~64,优,13,23,0.437,5,10,73
2019-07,29,18~72,优,10,20,0.503,5,11,56
2019-08,45,21~65,优,21,35,0.619,9,14,82
2019-09,45,16~77,优,23,37,0.607,8,14,82
2019-10,36,18~74,优,20,32,0.606,7,13,66
2019-11,41,21~57,优,26,40,0.61,10,14,56
2019-12,53,20~93,良,36,55,0.729,9,17,70
2020-01,39,18~52,优,25,34,0.571,4,10,69
2020-02,54,16~99,良,37,45,0.607,4,7,82
2020-03,71,25~147,良,50,64,0.719,5,13,103
2020-04,58,25~94,良,33,44,0.603,5,12,97
2020-05,52,32~77,良,19,32,0.545,4,9,98
2020-06,31,19~48,优,11,21,0.467,3,8,61
2020-07,29,10~80,优,10,19,0.358,4,9,57
2020-08,30,18~82,优,11,19,0.419,3,10,59
2020-09,30,15~75,优,14,22,0.483,4,10,58
2020-10,33,17~55,优,16,26,0.532,5,12,62
2020-11,40,18~62,优,24,38,0.653,9,15,73
2020-12,42,20~67,优,28,40,0.632,7,13,57
2021-01,53,26~105,良,36,47,0.713,6,14,78
2021-02,49,32~77,优,32,38,0.571,7,10,87
2021-03,71,36~102,良,47,66,0.671,7,13,118
2021-04,62,27~122,良,34,50,0.687,5,11,108
2021-05,47,29~71,优,16,26,0.481,5,9,93
2021-06,35,19~62,优,12,19,0.42,5,10,69
2021-07,32,13~47,优,12,20,0.342,5,11,63
2021-08,33,13~77,优,12,20,0.4,5,11,64
2021-09,34,18~54,优,13,21,0.377,5,10,67
2021-10,32,20~60,优,13,19,0.458,6,10,62
2021-11,33,20~57,优,19,26,0.617,7,11,56
2021-12,46,18~79,优,30,40,0.771,8,16,71
2022-01,33,20~46,优,19,25,0.603,6,12,60
2022-02,39,19~65,优,23,26,0.618,6,8,67
2022-03,55,21~82,良,31,44,0.548,6,10,99
2022-04,64,28~96,良,36,50,0.487,6,9,113
2022-05,39,18~70,优,16,22,0.4,6,8,74
2022-06,34,24~43,优,12,17,0.223,4,9,68
2022-07,33,22~62,优,13,19,0.187,5,10,65
2022-08,33,19~48,优,13,18,0.216,5,10,66
2022-09,40,18~70,优,19,28,0.34,6,12,77
2022-10,41,22~80,优,23,34,0.316,9,12,75
2022-11,44,17~72,优,26,35,0.383,9,13,76
2022-12,45,18~105,优,30,40,0.571,8,13,63
2023-01,48,23~94,优,33,43,0.642,7,12,75
2023-02,57,29~112,良,35,43,0.543,7,13,93
2023-03,62,25~107,良,40,48,0.584,8,13,101
2023-04,83,38~124,良,54,65,0.703,8,13,129
2023-05,58,33~85,良,21,33,0.445,6,10,107
2023-06,47,30~89,优,14,22,0.383,6,8,89
2023-07,36,20~85,优,13,21,0.235,7,8,70
2023-08,36,17~65,优,13,21,0.355,8,11,70
2023-09,36,23~75,优,16,23,0.293,9,11,71
2023-10,37,22~57,优,19,25,0.381,7,8,72
2023-11,42,18~72,优,27,36,0.377,6,10,71
2023-12,45,17~84,优,31,39,0.4,8,12,37
2024-01,35,20~74,优,20,25,0.481,6,10,61
2024-02,49,23~72,优,31,38,0.583,7,10,87
2024-03,61,18~104,良,38,48,0.623,8,11,104
2024-04,82,34~116,良,46,62,0.567,8,12,136
2024-05,53,24~90,良,19,27,0.452,8,10,99
2024-06,30,18~57,优,10,16,0.233,5,8,59
2024-07,28,16~59,优,8,13,0.248,6,7,56
2024-08,32,15~69,优,12,21,0.235,8,10,63
2024-09,35,18~55,优,15,24,0.253,6,11,68
2024-10,42,26~62,优,22,32,0.371,7,10,77
2024-11,46,18~62,优,31,40,0.413,6,12,76
2024-12,54,16~97,良,38,45,0.574,7,12,65
2025-01,67,23~117,良,48,60,0.655,4,13,89
2025-02,37,15~67,优,21,27,0.5,4,8,66
2025-03,61,24~106,良,37,49,0.494,9,10,102
2025-04,61,35~102,良,41,57,0.611,10,12,93
