month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,86,52~142,良,0,117,0,33,53,0
2013-06,94,53~199,良,0,136,0,24,43,0
2013-07,85,39~290,良,0,116,0,18,30,0
2013-08,67,46~109,良,0,83,0,23,25,0
2013-09,87,44~127,良,0,124,0,37,43,0
2013-10,99,43~137,良,0,137,0,75,69,0
2013-11,94,59~155,良,6,128,0,88,60,3
2013-12,267,77~500,重度污染,256,265,2.216,194,98,33
2014-01,164,57~282,中度污染,126,196,1.884,123,74,41
2014-02,124,30~235,轻度污染,91,129,1.318,76,44,65
2014-03,125,68~368,轻度污染,86,165,0.945,73,45,95
2014-04,108,41~193,轻度污染,74,137,0.843,39,37,96
2014-05,112,70~181,轻度污染,67,147,0.69,52,39,149
2014-06,143,64~261,轻度污染,92,150,0.88,38,39,177
2014-07,90,49~162,良,60,95,0.616,26,33,118
2014-08,80,51~170,良,55,88,0.884,28,38,88
2014-09,77,43~166,良,51,82,1.04,29,43,50
2014-10,116,51~212,轻度污染,84,130,1.039,45,60,64
2014-11,155,55~500,中度污染,118,190,1.33,61,66,38
2014-12,92,21~156,良,60,117,1.49,90,62,35
2015-01,164,54~346,中度污染,126,193,2.206,100,67,34
2015-02,154,73~268,中度污染,117,192,1.611,61,53,58
2015-03,137,64~236,轻度污染,98,177,1.032,52,52,74
2015-04,118,48~239,轻度污染,83,157,0.913,39,49,110
2015-05,117,70~204,轻度污染,80,147,0.9,38,39,128
2015-06,103,42~192,轻度污染,64,127,0.907,34,35,142
2015-07,101,60~183,轻度污染,67,120,0.887,24,35,129
2015-08,90,51~170,良,64,112,0.855,20,33,105
2015-09,98,45~209,良,71,120,0.973,31,48,88
2015-10,109,55~219,轻度污染,77,136,1.181,54,64,76
2015-11,123,30~318,轻度污染,91,144,1.81,50,56,38
2015-12,216,54~500,重度污染,183,279,3.155,76,85,32
2016-01,203,57~500,重度污染,166,244,3.061,85,65,34
2016-02,141,40~309,轻度污染,105,164,2.317,74,46,69
2016-03,146,63~283,轻度污染,103,208,1.223,64,52,94
2016-04,118,55~175,轻度污染,76,168,1.043,47,49,124
2016-05,95,53~149,良,49,100,0.8,33,34,141
2016-06,108,69~151,轻度污染,45,86,0.857,25,34,164
2016-07,79,45~120,良,45,75,0.932,18,23,117
2016-08,70,39~118,良,39,69,1.1,20,30,113
2016-09,107,58~158,轻度污染,63,112,1.193,30,49,147
2016-10,89,52~149,良,62,102,1.048,21,56,68
2016-11,143,53~270,轻度污染,108,180,1.667,30,71,45
2016-12,190,75~485,中度污染,152,217,2.494,42,75,40
2017-01,130,0~331,轻度污染,99,149,2.445,44,60,30
2017-02,114,0~333,轻度污染,85,131,1.864,47,57,68
2017-03,86,0~153,良,58,106,1.39,33,50,90
2017-04,83,0~172,良,52,104,1.283,30,49,117
2017-05,91,0~203,良,28,66,0.881,27,41,182
2017-06,129,0~202,轻度污染,48,92,1,22,42,196
2017-07,113,43~182,轻度污染,39,70,1.023,14,29,172
2017-08,102,46~176,轻度污染,44,74,1.084,17,35,150
2017-09,90,0~155,良,51,93,1.04,24,51,135
2017-10,87,44~145,良,60,99,1.203,17,58,64
2017-11,69,0~183,良,45,90,1.273,27,62,58
2017-12,112,0~239,轻度污染,79,130,1.816,30,68,50
2018-01,131,39~317,轻度污染,99,147,1.655,23,61,48
2018-02,104,0~229,轻度污染,72,117,1.279,21,41,79
2018-03,96,0~222,良,67,112,1.245,18,46,108
2018-04,55,0~149,良,32,62,1.203,24,41,112
2018-05,89,0~154,良,40,87,1.123,18,38,144
2018-06,129,50~186,轻度污染,36,71,0.8,19,31,190
2018-07,91,36~181,良,36,52,0.803,10,25,144
2018-08,99,24~172,良,34,56,0.935,13,27,156
2018-09,76,43~110,良,35,64,0.953,11,41,116
2018-10,89,52~131,良,53,104,0.984,18,64,110
2018-11,97,0~240,良,73,111,1.437,15,65,50
2018-12,109,0~215,轻度污染,78,135,1.481,20,63,38
2019-01,144,60~275,轻度污染,106,166,1.745,24,67,42
2019-02,159,56~280,中度污染,122,167,1.6,16,44,76
2019-03,85,56~155,良,50,104,0.903,19,45,97
2019-04,82,0~130,良,51,99,0.893,19,43,114
2019-05,89,54~116,良,31,87,0.674,18,36,140
2019-06,115,48~191,轻度污染,29,69,0.76,15,31,175
2019-07,87,42~140,良,29,59,0.742,11,29,143
2019-08,76,41~120,良,25,55,0.748,12,29,124
2019-09,97,28~159,良,35,75,0.86,17,42,144
2019-10,78,34~124,良,42,90,0.948,14,47,85
2019-11,100,40~220,轻度污染,65,127,1.05,16,55,60
2019-12,115,51~235,轻度污染,84,126,1.361,16,54,35
2020-01,147,65~296,轻度污染,112,147,1.571,15,49,52
2020-02,79,39~127,良,55,79,1.028,13,20,77
2020-03,75,35~147,良,44,91,0.855,15,35,91
2020-04,81,42~151,良,38,86,0.677,17,37,118
2020-05,98,45~167,良,29,77,0.661,15,29,151
2020-06,105,47~167,轻度污染,33,77,0.677,14,24,161
2020-07,88,51~143,良,35,63,0.655,8,20,143
2020-08,74,29~140,良,28,47,0.858,11,20,123
2020-09,88,52~155,良,32,68,0.787,14,32,141
2020-10,88,44~152,良,57,117,0.961,13,50,74
2020-11,94,38~199,良,64,114,0.97,13,47,56
2020-12,119,39~248,轻度污染,88,137,1.313,15,53,37
2021-01,130,49~270,轻度污染,63,109,1.31,21,50,53
2021-02,94,59~149,良,57,108,0.843,14,28,82
2021-03,139,43~500,轻度污染,43,70,0.71,11,35,83
2021-04,92,53~389,良,43,79,0.523,10,29,114
2021-05,95,41~179,良,32,52,0.561,11,24,139
2021-06,120,34~184,轻度污染,32,82,0.727,10,25,179
2021-07,81,30~150,良,18,38,0.603,7,14,134
2021-08,82,36~131,良,26,51,0.965,5,17,136
2021-09,76,33~140,良,26,53,1,7,23,127
2021-10,95,28~170,良,66,110,1.355,11,46,79
2021-11,108,42~217,轻度污染,72,132,1.097,15,46,68
2021-12,89,42~222,良,57,112,1.032,13,44,48
2022-01,144,71~257,轻度污染,110,144,1.29,12,39,53
2022-02,82,51~145,良,57,96,0.775,12,29,85
2022-03,114,54~397,轻度污染,49,73,0.735,12,33,87
2022-04,84,57~119,良,37,76,0.687,12,31,126
2022-05,94,43~132,良,29,72,0.584,8,23,146
2022-06,128,58~195,轻度污染,27,67,0.623,8,22,188
2022-07,84,36~135,良,22,43,0.777,6,16,138
2022-08,77,37~126,良,24,48,0.729,7,18,129
2022-09,102,49~147,轻度污染,35,76,0.74,12,33,156
2022-10,76,24~153,良,50,89,0.742,9,38,96
2022-11,95,39~214,良,68,103,0.917,9,39,61
2022-12,124,50~319,轻度污染,86,138,1.035,11,44,48
2023-01,131,41~338,轻度污染,94,147,1.181,14,37,65
2023-02,108,47~239,轻度污染,78,114,0.807,9,36,78
2023-03,125,49~500,轻度污染,60,168,0.677,9,33,108
2023-04,119,40~500,轻度污染,48,146,0.59,8,23,121
2023-05,81,40~128,良,32,65,0.529,6,20,129
2023-06,112,40~164,轻度污染,25,55,0.583,8,21,170
2023-07,95,24~165,良,19,43,0.581,6,15,151
2023-08,90,43~153,良,24,44,0.648,6,17,147
2023-09,84,40~136,良,32,56,0.717,8,25,131
2023-10,83,46~175,良,55,97,0.874,11,45,112
2023-11,88,33~210,良,57,103,0.807,10,42,62
2023-12,96,47~210,良,67,105,0.932,10,43,30
2024-01,116,42~343,轻度污染,87,122,1.077,10,48,50
2024-02,117,39~374,轻度污染,87,116,0.91,10,23,88
2024-03,86,52~122,良,52,110,0.558,9,30,105
2024-04,85,47~122,良,40,93,0.543,10,24,133
2024-05,113,55~171,轻度污染,35,87,0.552,11,21,168
2024-06,129,80~183,轻度污染,28,74,0.507,10,18,191
2024-07,72,37~115,良,22,40,0.581,5,9,124
2024-08,83,48~136,良,19,41,0.561,7,13,138
2024-09,86,23~173,良,28,56,0.623,10,20,140
2024-10,104,32~216,轻度污染,71,108,0.706,6,39,116
2024-11,84,41~216,良,56,90,0.717,5,34,66
2024-12,85,50~175,良,59,95,0.894,8,43,49
2025-01,95,38~220,良,65,105,0.965,10,36,65
2025-02,84,49~163,良,57,93,0.743,8,30,78
2025-03,90,43~216,良,50,118,0.545,8,27,100
2025-04,78,57~95,良,39,103,0.489,9,25,125
