month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,52,52~52,良,26,54,0.7,63,35,68
2015-01,75,18~128,良,54,94,1.31,55,44,45
2015-02,60,21~101,良,41,71,1.193,34,30,57
2015-03,55,31~77,良,37,63,0.961,32,25,51
2015-04,63,27~96,良,42,74,0.967,42,26,87
2015-05,64,29~146,良,40,73,1.332,35,19,89
2015-06,54,31~75,良,26,59,1.37,30,11,44
2015-07,57,32~138,良,33,62,1.558,24,13,50
2015-08,56,30~80,良,32,61,1.445,28,14,54
2015-09,56,35~67,良,35,63,1.367,22,17,62
2015-10,68,36~120,良,46,81,1.329,36,28,66
2015-11,54,34~84,良,31,58,1.52,30,32,21
2015-12,67,33~132,良,45,77,1.474,37,31,25
2016-01,68,32~144,良,45,76,1.558,31,33,32
2016-02,76,36~210,良,49,93,1.552,25,25,81
2016-03,77,34~124,良,51,100,1.39,41,34,82
2016-04,65,33~107,良,39,69,0.85,30,25,91
2016-05,61,37~101,良,37,70,1.158,26,22,78
2016-06,59,33~97,良,32,61,1.393,31,17,87
2016-07,55,36~86,良,31,58,1.513,28,18,76
2016-08,60,38~85,良,32,61,1.545,24,16,93
2016-09,68,34~104,良,44,78,1.463,24,22,91
2016-10,57,20~82,良,37,63,1.048,24,20,54
2016-11,64,23~127,良,44,74,1.077,32,34,38
2016-12,96,37~166,良,71,113,1.374,38,44,52
2017-01,108,50~324,轻度污染,66,98,1.287,30,35,61
2017-02,87,33~148,良,65,99,0.989,28,31,80
2017-03,64,37~129,良,43,69,0.913,26,31,74
2017-04,69,33~98,良,43,78,1.087,33,29,101
2017-05,81,33~120,良,50,87,1.219,25,25,116
2017-06,55,36~87,良,32,58,1.07,24,22,73
2017-07,58,35~91,良,32,66,1.155,23,24,69
2017-08,53,33~75,良,27,55,1.035,15,20,88
2017-09,71,43~119,良,43,73,0.977,22,22,114
2017-10,64,30~102,良,43,74,0.842,28,22,95
2017-11,88,42~138,良,64,106,1.267,34,34,70
2017-12,93,28~149,良,68,116,1.161,36,44,33
2018-01,77,28~193,良,55,89,0.977,25,36,42
2018-02,76,34~195,良,53,89,1.064,16,28,81
2018-03,63,24~107,良,41,74,1.106,21,33,77
2018-04,66,28~93,良,37,80,1.027,24,24,85
2018-05,56,30~80,良,31,58,0.884,19,21,90
2018-06,54,25~124,良,26,47,0.74,13,18,84
2018-07,47,27~73,优,25,47,0.755,16,18,77
2018-08,52,24~91,良,24,43,0.674,13,14,97
2018-09,61,26~98,良,28,54,0.767,17,18,104
2018-10,69,28~118,良,35,66,0.935,23,31,99
2018-11,60,32~89,良,38,68,1.077,24,37,50
2018-12,61,24~110,良,41,68,1.013,19,35,35
2019-01,74,45~152,良,51,80,1.226,15,37,49
2019-02,47,21~104,优,31,48,0.993,11,23,42
2019-03,59,34~82,良,37,64,0.894,20,32,74
2019-04,55,30~72,良,31,56,1.023,19,25,81
2019-05,62,35~101,良,34,63,0.832,19,21,103
2019-06,54,26~114,良,25,46,0.91,17,16,93
2019-07,48,28~86,优,20,40,0.845,14,15,87
2019-08,74,33~115,良,28,53,0.665,14,14,126
2019-09,89,36~128,良,33,64,0.65,18,19,146
2019-10,75,47~130,良,42,80,0.745,23,25,107
2019-11,68,34~94,良,41,86,0.703,27,36,83
2019-12,71,34~115,良,48,88,1.145,31,48,50
2020-01,52,22~73,良,34,56,0.968,14,27,51
2020-02,47,30~68,优,28,44,0.693,12,13,75
2020-03,47,24~75,优,27,48,0.777,17,23,69
2020-04,72,44~106,良,33,62,0.797,23,28,118
2020-05,64,38~110,良,30,55,0.806,21,20,109
2020-06,40,25~54,优,19,38,0.987,22,17,65
2020-07,49,24~87,优,25,48,1.061,16,19,78
2020-08,52,27~106,良,22,43,0.923,20,18,89
2020-09,56,30~113,良,28,49,0.787,15,20,94
2020-10,63,25~105,良,31,64,0.645,23,25,97
2020-11,59,24~82,良,33,70,0.783,26,34,74
2020-12,75,36~129,良,53,91,0.89,28,39,51
2021-01,76,46~116,良,42,84,0.935,25,41,52
2021-02,51,20~73,良,33,56,0.854,12,20,63
2021-03,55,28~83,良,32,62,0.884,20,31,60
2021-04,52,30~83,良,26,50,0.727,15,28,71
2021-05,51,30~103,良,25,49,0.787,18,22,80
2021-06,52,31~108,良,24,44,0.847,17,19,85
2021-07,48,30~85,优,22,38,0.942,20,15,89
2021-08,50,26~100,良,24,41,0.887,15,15,85
2021-09,70,40~108,良,28,52,0.763,20,16,122
2021-10,54,23~108,良,29,54,0.681,16,21,89
2021-11,60,34~84,良,35,70,0.743,19,33,61
2021-12,74,50~104,良,51,90,0.819,18,40,60
2022-01,63,25~107,良,44,68,0.803,10,33,47
2022-02,45,23~74,优,31,46,0.686,8,21,59
2022-03,49,23~79,优,27,53,0.642,14,28,76
