month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,196,55~413,中度污染,157,213,1.867,63,72,40
2014-01,138,54~272,轻度污染,105,148,1.216,40,65,49
2014-02,95,25~275,良,71,94,1.1,26,41,59
2014-03,96,55~162,良,70,115,1.042,30,56,83
2014-04,85,41~146,良,62,95,1.147,22,51,98
2014-05,111,51~194,轻度污染,70,131,1.065,26,44,154
2014-06,108,42~202,轻度污染,63,92,0.983,20,36,158
2014-07,105,34~175,轻度污染,54,82,0.987,17,29,151
2014-08,84,29~172,良,50,77,1.103,21,33,121
2014-09,77,36~176,良,46,73,0.863,23,32,117
2014-10,90,60~152,良,58,100,0.939,29,40,119
2014-11,107,65~200,轻度污染,80,122,1.24,37,52,68
2014-12,109,61~181,轻度污染,81,136,1.548,46,54,43
2015-01,135,48~211,轻度污染,101,147,1.5,40,53,49
2015-02,100,34~232,轻度污染,74,106,1.071,24,37,71
2015-03,84,46~186,良,59,88,1.032,24,43,84
2015-04,97,63~185,良,63,105,0.925,26,45,131
2015-05,85,44~151,良,49,82,0.839,21,37,130
2015-06,81,33~140,良,44,73,0.877,18,32,121
2015-07,76,22~169,良,42,66,0.9,18,29,111
2015-08,87,30~155,良,42,68,0.974,22,31,135
2015-09,87,41~179,良,40,65,1.087,28,32,141
2015-10,88,46~145,良,60,100,0.877,31,47,119
2015-11,84,30~159,良,61,87,1.11,25,44,62
2015-12,131,63~250,轻度污染,98,141,1.387,34,64,46
2016-01,109,48~211,轻度污染,80,115,1.397,29,57,55
2016-02,92,39~165,良,67,102,1.366,22,46,84
2016-03,98,43~182,良,69,109,1.439,25,57,109
2016-04,101,49~167,轻度污染,58,93,1.513,18,54,143
2016-05,102,44~168,轻度污染,55,90,1.49,14,43,145
2016-06,79,33~137,良,41,60,0.753,10,37,125
2016-07,84,33~155,良,37,57,0.661,11,32,131
2016-08,88,36~156,良,28,50,0.613,12,30,143
2016-09,84,25~175,良,40,63,0.703,13,39,126
2016-10,60,37~89,良,32,52,0.858,14,43,70
2016-11,83,32~166,良,54,92,1.103,22,60,58
2016-12,104,50~190,轻度污染,73,114,1.271,24,64,59
2017-01,87,41~202,良,60,90,1.145,18,52,59
2017-02,85,41~142,良,61,90,1.164,17,49,88
2017-03,77,52~116,良,53,88,1.065,16,52,99
2017-04,95,55~135,良,50,95,1.057,15,53,135
2017-05,116,40~192,轻度污染,32,65,1.013,13,38,167
2017-06,102,38~201,轻度污染,38,62,0.98,10,35,153
2017-07,90,36~185,良,26,51,0.726,9,25,145
2017-08,81,33~162,良,26,48,0.906,7,27,134
2017-09,73,42~157,良,30,56,1.04,8,41,111
2017-10,64,34~138,良,33,62,0.997,11,42,91
2017-11,86,35~139,良,52,100,1.217,15,63,65
2017-12,112,54~288,轻度污染,63,110,1.439,18,72,31
2018-01,103,0~258,轻度污染,74,106,1.313,14,53,47
2018-02,74,0~214,良,51,83,1.146,12,40,73
2018-03,72,38~112,良,44,75,0.971,11,51,90
2018-04,83,0~161,良,39,83,0.86,12,46,130
2018-05,77,0~133,良,38,67,0.81,10,35,124
2018-06,86,38~150,良,31,55,0.66,10,27,136
2018-07,68,21~181,良,23,42,0.581,8,23,113
2018-08,66,28~140,良,19,36,0.639,9,20,113
2018-09,68,34~131,良,28,55,0.853,11,33,112
2018-10,66,48~109,良,33,69,0.829,12,43,102
2018-11,79,34~198,良,52,85,1.017,11,53,64
2018-12,72,0~129,良,45,79,1.058,13,53,38
2019-01,87,35~155,良,61,99,1.142,11,55,43
2019-02,77,32~158,良,53,77,1.014,8,34,66
2019-03,79,44~107,良,51,93,0.848,9,45,97
2019-04,75,42~137,良,41,73,0.8,9,41,110
2019-05,94,36~187,良,33,71,0.7,9,38,141
2019-06,97,38~183,良,30,51,0.733,6,27,152
2019-07,87,26~151,良,27,47,0.687,7,26,139
2019-08,88,28~175,良,22,41,0.781,6,24,138
2019-09,82,25~153,良,26,51,0.883,7,31,131
2019-10,76,30~157,良,40,83,0.903,9,45,104
