month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2017-01,47,33~77,优,18,43,0.858,14,11,84
2017-02,51,39~87,良,12,44,0.757,12,12,94
2017-03,56,38~95,良,12,40,0.768,12,11,104
2017-04,66,49~102,良,14,44,0.53,14,10,116
2017-05,73,54~95,良,15,40,0.51,17,11,127
2017-06,63,43~89,良,12,32,0.503,8,7,115
2017-07,38,24~57,优,5,21,0.484,5,6,76
2017-08,39,26~70,优,6,22,0.452,5,7,78
2017-09,43,29~70,优,8,28,0.46,5,9,85
2017-10,48,34~71,优,13,42,0.481,6,15,92
2017-11,51,38~76,良,22,54,0.87,9,24,83
2017-12,55,41~132,良,31,57,1.116,10,32,49
2018-01,43,0~65,优,15,34,0.635,9,14,82
2018-02,43,35~52,优,9,24,0.514,8,5,84
2018-03,50,38~70,良,10,29,0.545,7,6,96
2018-04,62,49~80,良,11,35,0.523,6,6,114
2018-05,69,51~100,良,11,36,0.51,6,5,122
2018-06,65,37~99,良,7,16,0.493,6,4,117
2018-07,40,30~59,优,5,12,0.481,5,3,80
2018-08,35,0~48,优,6,16,0.419,2,3,71
2018-09,45,35~60,优,8,23,0.393,5,6,88
2018-10,52,43~65,良,11,31,0.516,6,8,101
2018-11,47,41~63,优,18,43,0.757,7,10,84
2018-12,45,0~64,优,26,38,0.958,10,13,80
2019-01,42,32~58,优,18,32,0.926,9,11,79
2019-02,40,24~53,优,9,23,0.604,8,8,78
2019-03,47,22~65,优,9,26,0.558,8,10,93
2019-04,69,49~104,良,10,31,0.44,3,9,123
2019-05,86,49~105,良,12,33,0.371,2,6,143
2019-06,69,43~93,良,8,24,0.337,2,6,122
2019-07,53,33~95,良,6,20,0.481,3,8,98
2019-08,48,35~66,优,7,19,0.465,3,9,93
2019-09,44,30~65,优,8,26,0.56,3,10,86
2019-10,49,36~71,优,10,32,0.597,3,16,96
2019-11,45,32~55,优,13,32,0.657,4,17,87
2019-12,44,38~50,优,15,35,0.771,6,18,82
2020-01,48,36~67,优,15,29,0.694,6,14,93
2020-02,50,39~74,优,9,18,0.669,6,7,97
2020-03,56,44~73,良,7,24,0.565,4,5,106
2020-04,65,48~96,良,9,27,0.473,4,8,118
2020-05,73,60~104,良,6,22,0.455,4,7,127
2020-06,56,32~100,良,4,14,0.353,4,6,103
2020-07,46,28~76,优,3,10,0.371,4,5,89
2020-08,51,29~96,良,4,12,0.416,4,6,96
2020-09,49,28~71,优,3,9,0.49,4,6,95
2020-10,49,38~74,优,8,25,0.5,4,11,96
2020-11,49,40~80,优,14,33,0.763,4,16,94
2020-12,43,35~56,优,13,31,0.832,5,15,85
2021-01,46,37~75,优,12,28,0.658,5,11,89
2021-02,47,39~58,优,13,26,0.618,5,11,91
2021-03,62,45~90,良,10,28,0.519,4,8,114
2021-04,71,50~99,良,10,28,0.527,4,6,124
2021-05,70,34~101,良,5,15,0.535,4,7,123
2021-06,55,32~92,良,5,18,0.457,5,6,100
2021-07,51,34~85,良,4,10,0.497,5,8,97
2021-08,41,29~64,优,2,7,0.481,5,5,81
2021-09,47,33~69,优,4,12,0.513,5,8,90
2021-10,51,27~72,良,6,18,0.532,4,10,98
2021-11,48,40~61,优,11,29,0.647,5,16,94
2021-12,45,38~50,优,14,31,0.723,5,18,88
2022-01,46,35~60,优,11,24,0.626,5,12,91
2022-02,56,45~80,良,8,21,0.625,5,8,106
2022-03,60,45~92,良,13,30,0.526,4,13,111
2022-04,68,52~95,良,12,31,0.48,4,8,121
2022-05,76,59~100,良,6,16,0.487,4,6,131
2022-06,66,46~90,良,4,15,0.473,5,5,118
2022-07,61,34~95,良,6,14,0.452,5,6,111
2022-08,42,33~54,优,2,6,0.719,6,5,84
2022-09,45,35~62,优,2,5,1.503,6,5,86
2022-10,48,30~62,优,4,11,0.755,4,6,88
2022-11,47,39~56,优,9,20,0.583,4,9,93
2022-12,42,36~49,优,17,32,0.774,6,19,84
2023-01,48,37~57,优,11,25,0.623,7,14,94
2023-02,52,40~93,良,12,31,0.6,5,12,100
2023-03,58,45~74,良,9,23,0.455,4,8,109
2023-04,70,57~93,良,11,27,0.45,4,6,124
2023-05,77,56~111,良,8,19,0.452,4,7,132
2023-06,73,38~90,良,6,13,0.437,5,6,127
2023-07,49,36~74,优,3,7,0.439,5,7,95
2023-08,43,32~65,优,3,8,0.439,5,7,84
2023-09,51,32~81,良,4,11,0.467,6,8,97
2023-10,47,26~58,优,6,17,0.49,4,11,92
2023-11,43,37~50,优,14,30,0.667,5,20,85
2023-12,40,28~50,优,18,34,0.781,6,20,47
2024-01,45,35~77,优,16,30,0.677,7,16,86
2024-02,52,40~74,良,9,29,0.479,6,8,99
2024-03,56,43~78,良,8,22,0.429,6,7,106
2024-04,82,54~111,良,14,32,0.43,5,7,137
2024-05,88,69~124,良,10,25,0.445,6,8,145
2024-06,83,64~101,良,4,13,0.477,5,6,139
2024-07,56,32~128,良,4,8,0.413,6,7,101
2024-08,56,33~86,良,5,8,0.429,6,6,103
2024-09,48,32~66,优,5,9,0.45,6,7,93
2024-10,57,41~77,良,8,23,0.461,6,13,108
2024-11,46,39~57,优,13,32,0.57,6,18,92
2024-12,48,40~80,优,14,38,0.671,6,17,93
2025-01,52,41~76,良,15,36,0.642,6,15,100
2025-02,57,45~69,良,8,25,0.414,5,6,108
2025-03,66,50~87,良,7,26,0.41,5,6,119
2025-04,78,65~100,良,14,34,0.4,4,6,134
