month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,96,96~96,良,71,139,1.7,54,79,72
2014-01,119,48~229,轻度污染,88,125,1.168,43,51,70
2014-02,101,32~312,轻度污染,75,78,1.214,33,35,73
2014-03,86,44~175,良,60,97,1.048,47,46,101
2014-04,76,39~127,良,49,83,0.707,36,44,110
2014-05,98,44~178,良,59,114,1.019,37,45,141
2014-06,74,29~183,良,43,73,1.233,28,35,116
2014-07,74,40~143,良,38,66,1.413,23,31,113
2014-08,65,27~137,良,33,57,1.065,30,32,107
2014-09,65,31~142,良,31,56,0.85,22,37,109
2014-10,78,52~158,良,40,77,0.987,28,49,116
2014-11,74,38~159,良,51,84,1.52,35,52,79
2014-12,98,48~166,良,71,121,1.758,47,61,47
2015-01,107,32~220,轻度污染,79,115,1.868,40,54,54
2015-02,88,30~211,良,63,105,1.575,31,34,76
2015-03,76,45~140,良,49,86,1.106,27,39,91
2015-04,86,43~144,良,51,86,1.353,29,37,123
2015-05,80,50~147,良,40,72,0.935,25,36,128
2015-06,85,41~200,良,39,75,0.87,23,42,132
2015-07,81,26~201,良,35,58,0.684,21,35,126
2015-08,94,30~169,良,39,64,0.748,23,31,144
2015-09,93,38~186,良,30,55,0.797,25,35,146
2015-10,84,45~150,良,47,93,1.032,25,57,124
2015-11,81,30~166,良,56,77,1.183,22,52,45
2015-12,115,59~244,轻度污染,82,124,1.226,31,63,38
2016-01,100,35~206,轻度污染,70,107,1.139,26,59,54
2016-02,83,39~183,良,57,92,0.907,22,42,82
2016-03,84,38~166,良,58,97,0.855,22,47,92
2016-04,86,48~150,良,53,90,0.883,19,49,121
2016-05,78,42~155,良,44,83,0.8,17,35,115
2016-06,67,35~117,良,32,55,0.747,13,35,106
2016-07,75,0~144,良,33,57,0.732,12,33,114
2016-08,65,23~124,良,23,41,0.648,14,21,112
2016-09,67,17~149,良,36,56,0.81,16,33,103
2016-10,46,24~82,优,24,40,0.765,15,29,60
2016-11,74,0~117,良,44,76,0.863,17,54,47
2016-12,93,36~178,良,64,98,0.923,20,57,54
2017-01,73,33~159,良,49,75,0.9,13,42,58
2017-02,78,32~155,良,52,84,0.879,13,46,85
2017-03,73,45~109,良,42,77,0.806,15,51,106
2017-04,91,52~130,良,46,90,0.82,17,54,125
2017-05,99,40~177,良,33,65,0.606,15,38,151
2017-06,90,39~196,良,33,53,0.723,14,35,139
2017-07,108,34~204,轻度污染,31,60,0.69,13,31,165
2017-08,90,30~171,良,27,50,0.748,13,28,143
2017-09,73,36~199,良,30,54,0.82,12,32,109
2017-10,56,36~102,良,26,50,0.694,11,31,88
2017-11,82,33~132,良,45,84,0.917,13,61,66
2017-12,107,48~334,轻度污染,68,118,1.226,15,71,29
2018-01,110,32~334,轻度污染,77,104,1.11,13,53,68
2018-02,75,42~182,良,47,79,0.996,10,37,90
2018-03,72,38~136,良,38,65,0.784,12,44,105
2018-04,97,43~175,良,39,88,0.783,14,43,143
2018-05,92,37~165,良,36,65,0.768,12,31,143
2018-06,90,36~165,良,28,48,0.727,12,32,143
2018-07,70,20~202,良,20,39,0.635,11,26,111
2018-08,66,28~154,良,17,35,0.6,12,19,112
2018-09,76,35~175,良,25,45,0.757,13,27,124
2018-10,76,45~132,良,31,52,0.71,13,40,122
2018-11,78,33~206,良,49,68,0.97,12,51,78
2018-12,65,28~119,良,38,69,0.958,12,47,49
2019-01,78,33~142,良,51,81,1.042,12,51,55
2019-02,73,36~175,良,48,66,1.1,7,26,84
2019-03,78,46~122,良,51,82,0.913,10,41,99
2019-04,66,37~120,良,35,62,0.827,10,36,102
2019-05,83,37~178,良,29,62,0.61,9,31,134
2019-06,80,30~161,良,27,43,0.69,10,22,126
2019-07,77,23~135,良,23,42,0.594,11,27,125
2019-08,88,28~185,良,23,46,0.768,10,24,136
2019-09,75,21~163,良,21,44,0.7,11,27,124
2019-10,74,28~143,良,32,70,0.732,11,40,108
2019-11,59,27~117,良,29,44,0.78,9,43,71
2019-12,72,37~118,良,47,69,1.068,10,50,60
2020-01,79,32~183,良,54,68,1.074,8,29,65
2020-02,51,30~104,良,28,44,1.2,7,19,86
2020-03,54,33~90,良,25,49,0.823,9,29,96
2020-04,73,41~140,良,35,65,0.843,9,37,123
2020-05,84,36~139,良,32,61,0.848,7,32,135
2020-06,69,30~153,良,22,38,0.753,6,28,116
2020-07,76,34~190,良,21,36,0.752,6,26,123
2020-08,71,26~120,良,17,36,0.535,7,22,122
2020-09,79,41~183,良,24,42,0.63,8,35,127
2020-10,60,35~99,良,21,42,0.565,7,35,98
2020-11,61,37~97,良,29,53,0.707,7,45,74
2020-12,87,30~211,良,55,76,1.01,8,55,50
2021-01,76,50~104,良,45,84,0.868,8,48,56
2021-02,55,32~94,良,32,57,0.607,7,31,80
2021-03,70,34~169,良,37,82,0.616,6,39,90
2021-04,69,37~130,良,30,59,0.593,7,33,111
2021-05,94,39~197,良,28,65,0.535,7,28,146
2021-06,73,36~167,良,21,41,0.677,8,30,120
2021-07,64,0~140,良,16,30,0.555,7,18,109
2021-08,78,26~152,良,17,35,0.661,8,23,127
2021-09,79,17~187,良,18,39,0.68,9,27,131
2021-10,58,30~140,良,18,39,0.629,7,32,96
2021-11,70,34~102,良,32,63,0.807,9,51,76
2021-12,52,0~144,良,28,45,0.561,5,38,38
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
