month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,75,24~115,良,51,94,1.363,26,45,52
2014-01,66,42~110,良,44,76,1.294,27,41,61
2014-02,50,29~71,优,28,53,1.046,22,28,78
2014-03,72,45~102,良,46,92,1.106,28,40,98
2014-04,77,58~104,良,51,97,1.323,22,39,124
2014-05,58,46~83,良,29,61,1.071,16,30,103
2014-06,44,27~59,优,22,42,1.02,14,28,76
2014-07,45,17~79,优,22,45,0.865,14,29,72
2014-08,44,24~78,优,22,44,0.726,18,29,66
2014-09,46,22~64,优,22,47,0.8,19,30,63
2014-10,61,35~85,良,36,71,1.119,21,34,70
2014-11,55,27~74,良,27,61,1.09,16,32,52
2014-12,63,51~101,良,40,73,1.323,20,37,52
2015-01,55,23~82,良,34,60,1.323,21,37,57
2015-02,51,37~69,良,31,53,1.032,19,27,79
2015-03,61,43~126,良,38,67,1.09,21,31,98
2015-04,57,37~89,良,33,62,0.99,18,28,95
2015-05,60,30~88,良,30,59,0.81,18,24,108
2015-06,40,25~65,优,19,36,0.74,12,19,78
2015-07,66,31~125,良,30,55,0.7,16,28,111
2015-08,46,27~106,优,22,43,0.794,15,26,71
2015-09,45,32~62,优,23,46,0.827,13,27,63
2015-10,55,29~82,良,29,60,0.816,19,31,80
2015-11,53,32~87,良,26,58,0.983,20,32,63
2015-12,55,32~90,良,33,61,1.365,16,33,60
2016-01,54,36~86,良,31,59,0.971,18,33,76
2016-02,61,42~89,良,39,60,1.248,15,22,82
2016-03,64,42~92,良,37,68,1.442,17,25,112
2016-04,65,50~83,良,32,63,1.22,19,24,116
2016-05,59,28~92,良,26,51,0.877,15,23,105
2016-06,44,23~100,优,15,34,0.857,15,21,75
2016-07,38,22~66,优,17,38,0.771,18,21,63
2016-08,50,28~92,优,23,45,0.716,18,27,94
2016-09,51,28~70,良,28,52,0.777,16,28,80
2016-10,54,33~83,良,27,60,0.897,15,32,64
2016-11,58,36~86,良,26,67,0.95,16,37,62
2016-12,66,45~112,良,36,82,1.097,18,40,62
2017-01,55,41~80,良,26,58,0.99,15,33,75
2017-02,59,47~77,良,35,68,0.936,15,33,87
2017-03,67,36~86,良,39,83,1.074,18,39,105
2017-04,63,38~94,良,32,68,1.067,13,31,105
2017-05,70,41~112,良,28,65,0.987,14,29,121
2017-06,49,27~94,优,17,39,0.823,12,24,84
2017-07,46,26~89,优,21,40,0.768,16,29,75
2017-08,42,23~75,优,20,40,0.784,16,28,69
2017-09,43,28~70,优,20,42,0.853,14,27,66
2017-10,44,25~73,优,22,45,0.958,12,31,61
2017-11,61,36~98,良,38,73,1.143,19,40,63
2017-12,74,45~133,良,44,78,1.206,17,42,41
2018-01,49,35~67,优,26,48,0.916,15,34,62
2018-02,56,42~73,良,31,49,0.9,12,30,89
2018-03,67,47~97,良,35,61,0.897,13,37,119
2018-04,65,39~89,良,29,55,0.833,12,33,116
2018-05,49,28~66,优,20,41,0.665,10,28,92
2018-06,41,22~104,优,14,29,0.653,8,26,66
