month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,251,251~251,重度污染,201,334,4.4,132,90,52
2015-01,144,55~261,轻度污染,109,172,2.339,25,59,56
2015-02,121,41~319,轻度污染,88,146,1.193,17,41,90
2015-03,66,47~105,良,29,67,0.813,12,27,110
2015-04,63,40~174,良,25,69,0.727,12,30,95
2015-05,68,52~153,良,20,79,0.571,13,26,101
2015-06,57,40~94,良,16,52,0.37,7,22,102
2015-07,69,43~191,良,24,80,0.545,8,25,104
2015-08,69,44~119,良,25,87,1.19,8,30,92
2015-09,55,28~95,良,18,61,0.727,11,31,76
2015-10,66,29~116,良,28,83,1.213,17,38,65
2015-11,72,33~114,良,46,94,1.303,16,41,29
2015-12,163,37~358,中度污染,123,211,1.99,20,65,24
2016-01,183,98~373,中度污染,140,231,2.465,36,68,38
2016-02,188,46~308,中度污染,145,264,2.507,57,62,63
2016-03,86,51~236,良,55,114,1.697,24,40,47
2016-04,54,32~98,良,15,57,1.13,6,39,44
2016-05,49,30~103,优,13,53,1.303,10,31,59
2016-06,46,28~73,优,16,44,1.223,10,29,63
2016-07,52,34~88,良,16,43,1.258,10,35,82
2016-08,54,34~90,良,16,42,1.368,13,41,76
2016-09,64,38~97,良,19,55,1.567,10,39,92
2016-10,64,33~123,良,38,63,1.387,16,35,50
2016-11,102,32~186,轻度污染,71,110,1.403,18,52,30
2016-12,160,69~286,中度污染,123,165,2.058,18,65,24
2017-01,255,157~343,重度污染,209,269,3.084,53,76,33
2017-02,198,47~340,中度污染,158,200,2.079,36,67,80
2017-03,110,58~307,轻度污染,83,108,1.642,20,38,85
2017-04,54,31~105,良,27,48,0.757,15,30,91
2017-05,67,33~102,良,26,51,0.681,13,33,113
2017-06,61,37~95,良,22,39,0.653,7,36,109
2017-07,70,50~107,良,27,49,0.929,7,38,123
2017-08,64,42~82,良,22,46,1.068,7,37,113
2017-09,69,33~102,良,26,55,1.167,8,44,115
2017-10,68,31~109,良,45,72,1.303,15,51,83
2017-11,93,31~212,良,69,98,1.467,18,49,44
2017-12,126,50~274,轻度污染,94,130,1.716,16,44,21
2018-01,229,89~434,重度污染,183,247,2.268,24,56,32
2018-02,185,65~312,中度污染,145,188,1.932,23,57,66
2018-03,62,0~200,良,38,63,1.048,11,38,68
2018-04,59,23~104,良,27,60,0.743,9,30,89
2018-05,48,0~77,优,23,46,0.752,9,26,95
2018-06,60,0~89,良,21,39,0.617,11,26,112
2018-07,68,46~110,良,21,39,0.519,10,30,120
2018-08,62,0~92,良,20,56,0.51,9,34,114
2018-09,59,36~87,良,20,58,0.71,10,41,89
2018-10,63,25~89,良,27,72,0.748,12,42,65
2018-11,68,0~186,良,43,96,1.273,13,45,42
2018-12,147,0~355,轻度污染,112,186,1.894,18,55,34
2019-01,195,78~310,中度污染,153,250,1.868,15,48,38
2019-02,165,32~267,中度污染,126,161,1.321,16,47,71
2019-03,115,40~284,轻度污染,83,120,1.255,13,45,80
2019-04,60,37~109,良,21,62,0.57,11,29,97
2019-05,59,33~145,良,22,60,0.542,7,27,97
2019-06,59,39~90,良,15,31,0.37,8,30,108
2019-07,72,48~99,良,20,45,0.452,7,30,125
2019-08,63,36~97,良,21,50,0.613,8,34,110
2019-09,57,37~89,良,23,58,0.75,9,39,94
2019-10,57,25~86,良,29,67,0.874,13,37,61
2019-11,86,26~210,良,58,101,1.17,10,36,31
2019-12,150,52~298,中度污染,114,175,1.797,10,45,24
2020-01,218,99~359,重度污染,172,208,2.042,13,65,45
2020-02,119,39~274,轻度污染,90,105,1.417,12,27,102
2020-03,58,37~100,良,28,56,0.755,10,31,89
2020-04,78,39~195,良,25,98,0.533,9,23,105
2020-05,64,40~91,良,20,55,0.442,9,23,110
2020-06,69,41~99,良,17,46,0.43,7,22,118
2020-07,76,55~110,良,17,41,0.365,5,18,129
2020-08,70,44~108,良,15,27,0.371,7,10,123
2020-09,56,36~83,良,18,50,0.553,5,32,94
2020-10,70,38~128,良,27,80,0.955,6,39,81
2020-11,70,27~110,良,39,88,1.013,9,34,43
2020-12,208,79~320,重度污染,165,243,2.335,10,67,33
2021-01,214,50~388,重度污染,172,208,2.174,11,62,49
2021-02,170,43~371,中度污染,134,163,1.821,11,44,94
2021-03,83,42~210,良,50,65,0.916,9,27,99
2021-04,64,33~101,良,19,51,0.617,8,26,115
2021-05,90,43~500,良,17,46,0.671,7,24,122
2021-06,67,49~90,良,12,38,0.473,9,22,120
2021-07,74,37~100,良,13,44,0.574,11,25,128
2021-08,74,43~108,良,14,42,0.739,12,29,127
2021-09,64,41~99,良,18,58,0.863,15,34,106
2021-10,58,26~93,良,26,68,0.913,13,36,73
2021-11,80,27~148,良,48,101,1.283,14,39,45
2021-12,148,59~404,轻度污染,101,168,1.89,9,55,31
2022-01,192,69~324,中度污染,149,193,1.823,6,58,42
2022-02,201,42~380,重度污染,160,205,1.818,8,57,85
2022-03,56,34~155,良,33,46,0.723,9,31,79
2022-04,71,43~160,良,24,76,0.537,8,24,112
2022-05,74,40~123,良,22,66,0.342,7,20,122
2022-06,73,47~104,良,13,33,0.407,6,23,127
2022-07,72,49~99,良,11,43,0.5,7,21,125
2022-08,65,36~99,良,10,33,0.574,6,19,115
2022-09,73,26~139,良,15,59,0.523,6,20,117
2022-10,49,26~111,优,21,52,0.619,7,21,78
2022-11,57,28~110,良,36,59,1.007,6,27,56
2022-12,167,53~330,中度污染,128,160,1.671,7,62,38
2023-01,195,39~401,中度污染,154,191,1.906,9,62,63
2023-02,182,53~308,中度污染,143,183,1.907,8,44,115
2023-03,88,37~238,良,50,95,0.868,7,29,95
2023-04,73,44~178,良,22,89,0.507,7,23,101
2023-05,66,47~100,良,17,49,0.481,6,18,116
2023-06,79,41~107,良,14,45,0.497,5,23,133
2023-07,77,44~117,良,12,43,0.352,6,23,130
2023-08,77,40~108,良,11,44,0.458,6,23,131
2023-09,56,34~107,良,10,45,0.51,5,28,100
2023-10,61,33~94,良,23,69,0.635,7,37,83
2023-11,60,33~94,良,36,67,0.913,7,35,41
2023-12,113,22~258,轻度污染,83,115,1.235,6,43,23
2024-01,128,52~244,轻度污染,97,131,1.342,5,46,54
2024-02,151,42~293,中度污染,116,160,1.397,7,33,95
2024-03,70,37~166,良,41,72,0.906,8,29,96
2024-04,81,31~500,良,23,79,0.48,7,21,108
2024-05,72,36~149,良,19,63,0.477,9,21,115
2024-06,72,49~95,良,10,35,0.323,8,17,126
2024-07,76,45~108,良,10,35,0.403,9,21,130
2024-08,70,40~100,良,11,40,0.519,9,24,123
