month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2017-01,54,41~95,良,29,59,1.421,10,24,83
2017-02,53,44~68,良,20,44,1.286,10,18,99
2017-03,62,45~83,良,20,54,1.048,11,22,111
2017-04,69,47~93,良,18,55,0.977,10,16,120
2017-05,70,41~86,良,16,43,0.913,7,9,124
2017-06,61,37~90,良,14,39,1.047,8,24,105
2017-07,54,12~89,良,12,39,0.748,8,22,92
2017-08,45,26~58,优,13,37,0.777,7,18,77
2017-09,47,30~67,优,14,49,0.657,8,22,69
2017-10,50,36~78,良,14,48,0.942,6,22,85
2017-11,54,34~75,良,21,61,0.953,6,23,77
2017-12,75,24~114,良,35,100,1.535,7,22,42
2018-01,46,34~65,优,17,44,1.281,4,17,69
2018-02,45,38~74,优,11,26,1.075,5,11,87
2018-03,49,38~79,优,14,28,0.652,5,15,95
2018-04,54,0~74,良,16,34,0.533,4,15,103
2018-05,63,41~87,良,11,26,0.555,5,14,115
2018-06,54,27~74,良,9,20,0.58,5,12,101
2018-07,39,0~80,优,6,19,0.552,5,10,77
2018-08,33,22~43,优,9,27,0.545,5,12,61
2018-09,37,21~49,优,9,27,0.58,3,14,73
2018-10,43,30~56,优,11,37,0.735,4,18,72
2018-11,53,27~76,良,19,58,0.98,4,21,54
2018-12,48,0~65,优,18,50,1,3,23,51
2019-01,44,28~85,优,17,37,1.174,3,24,55
2019-02,35,27~48,优,11,24,1.032,3,11,65
2019-03,36,22~60,优,10,27,0.539,4,14,67
2019-04,57,39~79,良,9,27,0.517,5,14,103
2019-05,59,44~87,良,8,20,0.384,8,12,110
2019-06,49,32~67,优,7,19,0.613,7,10,94
2019-07,45,28~70,优,7,19,0.594,7,12,87
2019-08,48,31~77,优,8,24,0.606,8,14,92
2019-09,34,25~47,优,7,20,0.847,7,15,68
2019-10,36,27~45,优,11,24,0.919,8,18,71
2019-11,41,28~55,优,19,40,1.007,9,26,65
2019-12,43,29~66,优,19,41,0.981,9,24,64
2020-01,41,31~58,优,16,30,0.945,10,17,75
2020-02,40,33~49,优,16,21,0.883,11,9,80
2020-03,46,35~65,优,13,26,0.681,9,11,89
2020-04,48,40~61,优,12,25,0.707,10,12,94
2020-05,58,41~75,良,8,16,0.584,10,8,108
2020-06,45,29~82,优,7,14,0.64,11,6,87
2020-07,38,23~65,优,6,14,0.574,11,7,76
2020-08,44,18~75,优,6,18,0.458,11,8,85
2020-09,41,25~56,优,7,22,0.597,9,10,79
2020-10,37,26~47,优,7,19,0.597,8,10,75
2020-11,39,29~56,优,10,23,0.65,9,13,77
2020-12,38,29~48,优,16,33,0.768,9,17,70
2021-01,39,34~52,优,12,25,0.681,9,13,77
2021-02,42,0~64,优,10,18,0.625,8,8,86
2021-03,54,41~87,良,9,18,0.616,8,7,103
2021-04,67,49~90,良,8,15,0.533,8,6,120
2021-05,58,39~80,良,5,9,0.474,8,4,108
2021-06,44,29~72,优,5,9,0.55,8,5,86
2021-07,52,28~74,良,5,11,0.613,8,5,98
2021-08,36,21~60,优,4,10,0.629,8,5,71
2021-09,38,22~65,优,5,11,0.607,9,7,75
2021-10,40,24~51,优,6,12,0.558,9,8,80
2021-11,37,31~44,优,13,21,0.693,9,14,73
2021-12,36,28~49,优,14,20,0.781,9,17,70
2022-01,37,28~48,优,11,15,0.674,9,11,74
2022-02,45,38~55,优,9,15,0.696,8,7,88
2022-03,51,41~68,良,10,22,0.632,7,9,98
2022-04,55,44~71,良,8,16,0.533,8,6,105
2022-05,64,39~85,良,6,12,0.6,8,4,115
2022-06,54,33~75,良,4,9,0.613,6,5,103
2022-07,60,35~90,良,6,14,0.597,6,5,109
2022-08,44,23~62,优,4,10,0.568,6,4,86
2022-09,37,24~50,优,5,8,0.457,5,4,74
2022-10,35,22~49,优,6,12,0.494,5,8,69
2022-11,38,32~47,优,11,22,0.62,5,13,76
2022-12,38,30~53,优,17,30,0.848,6,20,71
2023-01,41,30~49,优,14,22,0.79,8,14,82
2023-02,49,41~60,优,13,21,0.607,7,10,96
2023-03,52,44~68,良,8,15,0.532,6,9,101
2023-04,61,42~70,良,9,18,0.473,5,10,111
2023-05,71,48~90,良,8,12,0.452,6,9,124
2023-06,61,34~98,良,7,11,0.74,7,8,110
2023-07,41,24~64,优,6,11,0.587,6,9,80
2023-08,36,22~54,优,5,11,0.513,8,10,71
2023-09,41,25~70,优,6,11,0.437,7,11,80
2023-10,38,27~48,优,7,10,0.384,7,13,75
2023-11,35,30~45,优,13,26,0.463,8,21,67
2023-12,31,18~40,优,12,22,0.6,7,20,38
2024-01,34,27~41,优,12,18,0.577,6,15,68
2024-02,44,36~55,优,9,16,0.397,6,9,87
2024-03,51,39~66,良,9,14,0.477,7,9,100
2024-04,73,49~97,良,9,13,0.47,8,9,127
2024-05,77,39~118,良,9,13,0.394,8,9,131
2024-06,63,39~94,良,6,8,0.357,6,7,115
2024-07,39,18~92,优,6,11,0.4,7,7,75
2024-08,59,36~85,良,7,12,0.419,7,7,109
2024-09,38,25~59,优,5,10,0.53,7,9,75
2024-10,40,22~49,优,7,13,0.506,8,10,79
2024-11,38,29~46,优,10,18,0.623,6,14,75
2024-12,38,31~47,优,14,26,0.813,6,22,74
2025-01,48,32~95,优,12,37,0.706,5,10,83
2025-02,46,39~59,优,11,19,0.496,6,5,90
2025-03,53,43~79,良,10,17,0.429,5,6,102
2025-04,71,62~81,良,12,17,0.211,4,6,125
