month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,51,51~51,良,18,52,1.4,54,25,37
2015-01,117,54~245,轻度污染,87,142,2.506,157,42,34
2015-02,88,50~199,良,60,107,1.811,117,29,54
2015-03,84,46~128,良,53,110,1.458,63,23,57
2015-04,77,43~122,良,38,103,1.233,43,22,65
2015-05,102,57~177,轻度污染,56,135,0.887,62,33,129
2015-06,83,29~135,良,52,96,0.86,35,32,104
2015-07,76,35~147,良,47,74,0.752,28,28,109
2015-08,57,35~94,良,36,63,0.784,16,23,52
2015-09,62,33~118,良,41,63,0.96,30,24,80
2015-10,67,30~115,良,43,74,1.303,37,38,65
2015-11,91,45~189,良,62,89,1.98,101,42,35
2015-12,149,40~315,轻度污染,109,151,2.561,177,44,28
2016-01,125,56~278,轻度污染,88,139,2.532,147,38,34
2016-02,87,28~208,良,57,94,1.752,61,21,48
2016-03,107,57~234,轻度污染,72,130,1.365,80,33,72
2016-04,82,42~158,良,46,95,0.863,27,28,118
2016-05,93,52~137,良,44,88,0.768,41,31,139
2016-06,100,50~153,轻度污染,50,90,0.83,49,28,150
2016-07,77,38~118,良,50,80,0.894,19,19,109
2016-08,63,31~92,良,34,71,0.755,26,22,101
2016-09,73,36~112,良,38,87,0.953,57,42,85
2016-10,71,33~122,良,39,84,1.168,65,46,64
2016-11,148,62~240,轻度污染,108,192,2.253,222,58,43
2016-12,152,82~345,中度污染,112,169,2.787,263,59,34
2017-01,158,77~320,中度污染,84,124,2.742,249,55,51
2017-02,128,66~239,轻度污染,74,116,1.95,200,46,77
2017-03,88,45~143,良,58,103,1.258,104,44,97
2017-04,83,46~155,良,45,106,1.04,50,43,112
2017-05,119,68~432,轻度污染,33,85,1.01,26,31,160
2017-06,127,54~203,轻度污染,46,93,1.19,31,35,189
2017-07,108,48~183,轻度污染,45,84,1.329,22,30,167
2017-08,100,48~158,轻度污染,44,81,1.348,30,34,151
2017-09,95,67~121,良,57,118,1.41,53,47,133
2017-10,87,32~142,良,63,111,1.406,44,47,70
2017-11,102,65~200,轻度污染,70,142,1.863,85,55,57
2017-12,111,49~208,轻度污染,64,125,1.981,117,59,25
2018-01,100,51~192,轻度污染,68,124,1.723,91,51,44
2018-02,93,0~229,良,61,113,1.404,73,40,76
2018-03,82,0~166,良,55,108,1.174,42,46,101
2018-04,74,0~128,良,36,88,0.863,25,37,119
2018-05,87,0~170,良,36,93,0.755,20,34,139
2018-06,105,50~171,轻度污染,38,82,0.8,18,36,162
2018-07,82,33~122,良,35,54,0.781,7,21,135
2018-08,81,31~133,良,32,51,0.771,6,22,135
2018-09,66,38~108,良,32,66,0.827,10,38,92
2018-10,76,53~122,良,44,94,1.058,18,50,85
2018-11,91,0~166,良,65,119,1.32,42,61,50
2018-12,91,0~201,良,60,124,1.429,55,56,34
2019-01,134,63~273,轻度污染,98,161,1.681,68,67,35
