month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,57,57~57,良,23,63,0.7,52,15,34
2015-01,118,43~218,轻度污染,88,139,2.368,115,31,28
2015-02,82,51~122,良,51,110,1.9,76,22,40
2015-03,75,44~132,良,44,97,2.068,48,28,49
2015-04,74,39~114,良,41,99,1.883,42,24,52
2015-05,83,42~142,良,53,109,1.948,37,28,78
2015-06,77,31~207,良,46,94,1.537,51,34,78
2015-07,84,55~127,良,55,115,1.632,42,38,86
2015-08,68,41~112,良,40,85,1.748,30,32,68
2015-09,62,38~107,良,35,72,1.08,32,31,63
2015-10,81,37~211,良,48,98,1.745,46,50,47
2015-11,106,50~257,轻度污染,76,129,2.263,66,48,39
2015-12,144,33~285,轻度污染,104,188,1.916,82,48,46
2016-01,144,51~250,轻度污染,104,192,2.203,120,63,46
2016-02,93,35~150,良,56,119,1.831,106,43,76
2016-03,151,60~260,中度污染,108,195,2.213,139,60,116
2016-04,118,54~216,轻度污染,85,151,1.877,79,45,130
2016-05,79,38~145,良,41,76,1.529,48,29,122
2016-06,63,0~90,良,33,69,1.813,24,23,100
2016-07,51,28~70,良,26,53,1.565,15,16,71
2016-08,52,38~72,良,22,50,1.671,24,21,80
2016-09,58,29~98,良,27,53,2.137,33,25,60
2016-10,54,28~93,良,23,44,1.919,29,28,65
2016-11,134,53~213,轻度污染,100,175,3.037,113,63,57
2016-12,155,48~358,中度污染,120,173,3.042,112,60,56
2017-01,140,40~295,轻度污染,74,112,2.574,95,52,68
2017-02,124,50~245,轻度污染,75,122,2.854,99,53,104
2017-03,104,59~217,轻度污染,71,127,1.961,61,46,112
2017-04,95,50~207,良,53,124,2.177,45,47,128
2017-05,120,55~199,轻度污染,31,87,1.658,35,44,173
2017-06,150,73~208,中度污染,52,107,1.763,28,41,213
2017-07,131,60~201,轻度污染,58,117,2.084,17,32,186
2017-08,112,46~188,轻度污染,55,103,1.852,22,31,164
2017-09,103,56~146,轻度污染,64,116,2.107,29,49,136
2017-10,80,30~143,良,55,92,1.777,23,45,80
2017-11,99,59~195,良,67,132,2.277,51,60,82
2017-12,104,41~246,轻度污染,64,117,2.374,66,48,42
2018-01,129,45~274,轻度污染,93,143,1.994,47,42,58
2018-02,119,53~277,轻度污染,82,135,1.532,44,32,87
2018-03,111,51~233,轻度污染,80,133,1.461,26,39,111
2018-04,82,0~152,良,38,108,1.243,22,38,124
2018-05,96,0~170,良,40,97,1.039,18,36,150
2018-06,131,55~197,轻度污染,40,93,1.293,21,39,192
2018-07,97,38~169,良,38,71,1.052,8,22,153
2018-08,103,37~170,轻度污染,38,73,1.084,12,24,161
2018-09,73,39~135,良,28,60,1,11,31,119
2018-10,87,47~145,良,47,104,1.3,18,48,126
2018-11,67,0~145,良,45,82,1.57,21,47,75
2018-12,82,0~201,良,52,104,1.432,31,44,56
2019-01,151,52~278,中度污染,112,173,2.21,40,57,62
2019-02,144,66~242,轻度污染,106,165,1.768,20,35,96
2019-03,89,53~172,良,45,120,1.155,18,40,113
2019-04,91,42~138,良,49,121,1.17,12,37,124
2019-05,108,67~159,轻度污染,37,121,1.003,14,37,159
2019-06,132,60~195,轻度污染,34,93,0.853,13,36,194
2019-07,123,55~185,轻度污染,36,78,0.977,10,29,185
2019-08,101,50~155,轻度污染,34,66,0.903,9,25,158
2019-09,101,29~194,轻度污染,40,83,1.29,12,40,149
2019-10,76,29~159,良,41,93,1.113,11,38,95
2019-11,98,51~201,良,60,130,1.313,17,43,75
2019-12,97,47~205,良,64,116,1.49,21,41,61
2020-01,149,69~292,轻度污染,113,156,1.99,24,39,76
2020-02,80,44~158,良,50,93,1.197,16,22,92
2020-03,80,55~124,良,40,107,0.99,14,31,104
2020-04,92,62~129,良,43,117,1.083,12,38,131
2020-05,98,53~164,良,27,101,1.006,12,34,152
2020-06,116,48~184,轻度污染,39,101,1.147,11,31,173
2020-07,97,51~156,良,33,72,0.958,6,19,155
2020-08,73,33~129,良,24,53,1.116,7,19,123
2020-09,89,50~134,良,36,85,1.16,12,33,144
2020-10,86,44~134,良,54,113,1.358,11,40,83
2020-11,81,40~149,良,51,101,1.143,11,36,74
2020-12,76,38~169,良,47,89,1.216,21,34,62
2021-01,115,43~430,轻度污染,51,88,1.342,20,33,71
2021-02,80,41~137,良,46,95,1.232,16,25,91
2021-03,117,44~500,轻度污染,36,69,1.013,7,29,94
2021-04,87,47~293,良,33,64,0.9,7,27,116
2021-05,100,39~197,良,23,41,0.835,8,23,146
2021-06,121,36~172,轻度污染,26,64,0.867,8,24,180
2021-07,82,33~143,良,18,41,0.768,6,19,135
