month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,59,59~59,良,33,67,0.6,5,13,75
2015-01,55,27~81,良,32,61,0.629,6,14,79
2015-02,75,55~162,良,53,73,0.768,13,15,91
2015-03,92,54~203,良,62,88,0.59,13,24,136
2015-04,60,38~80,良,26,50,0.327,10,16,108
2015-05,60,26~108,良,25,52,0.474,33,15,108
2015-06,30,18~58,优,8,22,0.437,8,10,58
2015-07,27,16~55,优,10,21,0.432,14,11,49
2015-08,23,15~47,优,6,16,0.368,9,8,46
2015-09,24,16~39,优,7,18,0.497,9,7,48
2015-10,34,20~48,优,17,25,0.49,12,10,63
2015-11,37,23~51,优,23,35,0.517,6,13,56
2015-12,43,22~61,优,26,43,0.606,8,16,63
2016-01,45,32~59,优,24,43,1.026,6,17,71
2016-02,53,18~105,良,30,53,0.7,8,16,79
2016-03,66,33~98,良,44,79,0.684,8,27,94
2016-04,67,36~95,良,41,81,0.517,9,26,105
2016-05,44,0~70,优,22,44,0.313,7,15,73
2016-06,29,17~46,优,12,26,0.157,5,8,52
2016-07,22,0~41,优,11,19,0.132,7,8,40
2016-08,31,0~49,优,12,23,0.181,8,10,61
2016-09,34,19~54,优,19,30,0.343,13,18,60
2016-10,33,22~47,优,21,30,0.584,4,13,60
2016-11,33,14~51,优,19,31,0.413,4,13,53
2016-12,47,26~59,优,28,48,0.526,4,17,61
2017-01,49,32~109,优,31,41,0.594,4,15,68
2017-02,58,41~75,良,38,59,0.754,5,17,99
2017-03,82,51~117,良,58,88,0.826,4,23,124
2017-04,74,49~139,良,52,82,0.573,6,20,110
2017-05,62,31~93,良,38,64,0.497,6,18,108
2017-06,36,16~61,优,12,32,0.48,6,12,70
2017-07,28,16~54,优,16,23,0.516,7,12,48
2017-08,28,19~36,优,20,16,0.561,5,9,46
2017-09,24,15~33,优,15,19,0.473,7,12,44
2017-10,29,18~42,优,17,23,0.706,6,17,52
2017-11,40,17~58,优,22,36,0.723,7,25,58
2017-12,44,22~63,优,24,40,0.648,6,20,48
2018-01,35,15~46,优,16,31,0.532,5,18,65
2018-02,50,20~88,优,24,40,0.668,5,16,92
2018-03,73,39~100,良,38,62,0.665,6,22,125
2018-04,71,42~99,良,27,51,0.58,6,19,124
2018-05,49,23~67,优,20,37,0.326,6,17,92
2018-06,29,17~57,优,10,21,0.403,6,13,53
2018-07,24,15~35,优,5,14,0.494,6,14,47
2018-08,24,15~40,优,6,15,0.655,6,15,46
2018-09,25,18~36,优,6,15,0.5,6,14,48
2018-10,29,18~45,优,9,19,0.542,5,16,56
2018-11,34,24~44,优,13,31,0.533,5,20,62
2018-12,31,18~55,优,12,27,0.513,4,20,56
2019-01,35,20~47,优,14,30,0.616,4,19,66
2019-02,53,44~67,良,29,43,0.554,5,20,100
2019-03,77,44~122,良,51,75,0.642,6,28,124
2019-04,91,65~168,良,55,84,0.667,6,26,142
2019-05,79,42~110,良,35,64,0.423,6,20,134
2019-06,37,25~70,优,13,20,0.287,6,14,72
