month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,56,56~56,良,29,63,0.7,19,27,72
2015-01,90,23~201,良,66,100,1.094,13,31,44
2015-02,81,23~150,良,60,85,0.782,10,15,51
2015-03,62,30~101,良,44,65,0.632,10,17,48
2015-04,66,26~100,良,47,76,0.707,14,22,73
2015-05,66,29~127,良,47,75,0.716,10,16,68
2015-06,47,28~65,优,28,49,0.65,9,13,59
2015-07,49,26~88,优,29,52,0.655,9,13,63
2015-08,56,25~92,良,37,62,0.7,9,15,76
2015-09,57,25~97,良,37,58,0.667,9,17,90
2015-10,58,23~97,良,39,63,0.674,10,22,90
2015-11,47,22~77,优,30,47,0.83,7,21,35
2015-12,77,27~142,良,55,83,0.719,8,24,41
2016-01,68,35~182,良,48,76,0.81,6,22,47
2016-02,91,50~237,良,66,107,0.71,10,17,81
2016-03,79,33~119,良,56,90,0.797,9,23,97
2016-04,62,33~123,良,36,59,0.8,6,16,97
2016-05,60,28~110,良,31,50,0.819,8,11,105
2016-06,58,25~103,良,33,52,0.727,7,9,96
2016-07,52,30~85,良,34,58,0.645,6,7,76
2016-08,60,37~106,良,34,60,0.881,7,8,94
2016-09,62,26~95,良,35,61,0.867,8,11,101
2016-10,46,20~68,优,28,48,0.713,8,13,62
2016-11,57,16~112,良,38,65,0.663,10,21,46
2016-12,91,37~210,良,66,105,0.752,12,35,60
2017-01,85,31~240,良,51,74,0.903,11,25,63
2017-02,75,31~103,良,54,81,0.814,9,26,89
2017-03,62,32~103,良,40,68,0.835,10,28,83
2017-04,74,38~112,良,46,86,0.88,15,22,114
2017-05,84,45~142,良,42,72,0.916,14,20,133
2017-06,49,25~109,优,27,42,1.063,7,11,85
2017-07,60,31~115,良,33,61,0.935,10,8,96
2017-08,48,30~75,优,25,43,0.99,9,8,90
2017-09,56,25~106,良,29,51,0.957,10,12,94
2017-10,51,23~95,良,32,53,0.906,10,16,84
2017-11,63,26~95,良,44,71,0.95,12,23,61
2017-12,75,20~127,良,54,87,0.894,17,30,32
2018-01,61,17~132,良,43,66,0.823,12,23,41
2018-02,63,20~158,良,41,69,0.654,9,15,67
2018-03,52,20~86,良,32,56,0.71,14,22,81
2018-04,62,20~100,良,34,69,0.737,12,19,97
2018-05,54,26~87,良,26,49,0.781,13,12,95
2018-06,56,23~108,良,24,44,0.74,12,9,97
2018-07,44,20~63,优,21,41,0.768,10,7,79
2018-08,47,22~90,优,23,38,0.723,8,7,86
2018-09,51,24~97,良,24,46,0.713,11,10,90
2018-10,60,19~107,良,30,58,0.681,14,18,94
2018-11,42,18~80,优,25,46,0.783,14,18,47
2018-12,42,15~92,优,27,42,0.771,9,17,35
2019-01,58,23~122,良,39,62,0.923,10,24,44
2019-02,30,14~65,优,18,28,0.693,6,10,36
