month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,107,107~107,轻度污染,80,157,1.7,35,41,85
2014-01,76,52~123,良,47,92,1.516,37,20,101
2014-02,63,42~102,良,34,63,1.229,25,26,81
2014-03,66,44~92,良,41,78,1.371,29,24,87
2014-04,78,32~140,良,47,83,1.533,30,23,118
2014-05,67,38~113,良,32,54,1.519,23,19,113
2014-06,48,26~83,优,26,39,1.567,22,17,86
2014-07,47,20~90,优,26,41,1.455,28,19,85
2014-08,49,28~91,优,26,38,1.242,24,19,89
2014-09,48,28~75,优,28,39,0.957,24,21,85
2014-10,62,27~121,良,41,59,1.181,28,21,87
2014-11,56,38~72,良,28,63,0.92,29,22,67
2014-12,63,39~99,良,42,69,1.394,31,27,69
2015-01,56,33~95,良,34,54,1.252,34,25,84
2015-02,58,29~86,良,31,48,0.843,24,17,103
2015-03,73,44~108,良,37,59,0.781,21,18,124
2015-04,66,38~104,良,31,49,0.933,26,18,110
2015-05,79,43~122,良,32,48,0.848,21,15,134
2015-06,50,30~102,优,20,30,0.757,12,14,94
2015-07,57,34~92,良,33,43,0.826,26,20,100
2015-08,44,23~72,优,26,35,0.868,22,18,72
2015-09,40,23~72,优,26,36,0.943,19,18,64
2015-10,53,28~107,良,32,48,0.945,24,21,84
2015-11,46,26~68,优,24,44,0.84,26,21,77
2015-12,53,33~92,良,34,57,0.945,20,22,63
2016-01,52,37~70,良,28,54,0.884,24,21,80
2016-02,60,32~94,良,41,63,1.103,21,19,64
2016-03,63,32~104,良,39,73,0.832,24,20,99
2016-04,76,49~104,良,34,72,0.797,24,18,130
2016-05,77,31~119,良,28,55,0.868,17,15,129
2016-06,51,25~92,良,18,37,0.893,20,14,94
2016-07,39,22~57,优,20,37,0.948,23,16,70
2016-08,50,30~75,优,31,49,1.055,23,20,88
2016-09,59,40~87,良,38,59,0.98,21,21,89
2016-10,51,30~87,良,30,53,1.116,25,18,76
2016-11,60,27~97,良,26,52,0.7,21,23,98
2016-12,66,36~117,良,39,77,1.003,18,40,83
2017-01,48,33~62,优,24,44,1.013,18,20,75
2017-02,65,32~120,良,33,56,0.925,15,23,93
2017-03,73,44~105,良,32,73,0.961,21,21,114
2017-04,69,47~110,良,28,69,1.07,25,20,108
2017-05,67,45~95,良,24,66,0.916,25,20,114
2017-06,50,35~80,优,20,45,1.003,17,23,80
2017-07,50,30~79,良,24,51,1.094,18,29,68
2017-08,46,29~73,优,23,42,0.994,19,28,73
2017-09,42,27~65,优,25,37,1.133,17,19,67
2017-10,39,25~73,优,23,37,1.052,15,19,58
2017-11,59,36~111,良,37,59,1.157,14,27,74
2017-12,68,30~147,良,45,67,1.3,15,30,48
2018-01,44,24~63,优,23,39,0.81,11,21,65
2018-02,57,41~89,良,33,49,0.789,12,18,80
2018-03,60,36~85,良,33,49,0.926,12,19,109
2018-04,61,26~89,良,30,48,0.793,11,18,109
2018-05,51,23~72,良,19,35,0.723,10,14,95
2018-06,39,19~89,优,16,26,0.773,11,14,72
2018-07,37,25~62,优,17,29,0.887,13,14,71
2018-08,47,25~82,优,23,40,0.932,19,18,84
2018-09,37,25~53,优,17,34,0.95,12,16,61
2018-10,41,20~54,优,20,40,0.935,12,17,56
2018-11,48,36~69,优,22,51,0.833,16,20,74
2018-12,46,28~68,优,19,47,0.961,12,21,59
2019-01,46,33~62,优,19,48,0.79,10,20,64
2019-02,45,34~62,优,20,44,0.693,12,12,76
2019-03,57,36~90,良,28,57,0.79,16,17,97
2019-04,80,48~111,良,31,59,0.8,15,18,133
2019-05,75,42~107,良,24,52,0.832,11,14,129
2019-06,55,31~94,良,13,28,0.79,12,14,102
2019-07,41,23~89,优,13,24,0.806,10,14,77
2019-08,67,29~111,良,19,36,0.884,12,16,117
2019-09,45,21~79,优,20,31,0.873,9,17,85
2019-10,42,23~57,优,16,27,0.81,8,16,82
2019-11,43,30~55,优,20,37,0.857,8,19,77
2019-12,51,31~72,良,27,54,1.026,9,25,72
2020-01,42,26~54,优,19,33,0.852,7,15,77
2020-02,55,30~70,良,29,42,0.855,9,10,94
2020-03,68,40~90,良,31,56,0.755,14,15,116
2020-04,62,29~95,良,28,47,0.723,11,17,107
2020-05,67,36~101,良,19,37,0.623,14,15,118
2020-06,49,31~76,优,12,25,0.667,11,12,94
2020-07,36,16~100,优,10,20,0.606,8,13,68
2020-08,37,19~82,优,12,23,0.742,11,15,71
2020-09,33,23~79,优,15,25,0.913,11,16,63
2020-10,35,23~65,优,16,29,0.81,12,18,64
2020-11,46,25~64,优,23,43,0.83,15,24,79
2020-12,44,30~62,优,25,42,0.919,10,23,55
2021-01,52,27~78,良,34,55,0.774,10,22,75
2021-02,56,45~70,良,31,47,0.643,8,17,97
2021-03,80,43~110,良,43,79,0.739,10,19,131
2021-04,75,29~107,良,29,52,0.713,8,17,126
2021-05,68,28~95,良,18,31,0.603,6,12,121
2021-06,51,35~91,良,15,25,0.58,6,12,96
2021-07,46,25~85,优,14,21,0.558,6,15,89
2021-08,52,21~137,良,15,23,0.571,6,16,93
2021-09,45,23~80,优,15,22,0.543,7,16,88
2021-10,34,22~57,优,14,19,0.648,6,14,64
2021-11,38,20~54,优,19,28,0.667,8,17,68
2021-12,45,28~69,优,27,36,0.829,9,20,76
2022-01,44,33~57,优,20,27,0.668,6,18,82
2022-02,55,32~70,良,29,34,0.725,6,15,93
2022-03,78,32~106,良,32,52,0.639,8,18,131
2022-04,73,40~110,良,27,49,0.663,8,16,125
2022-05,53,28~93,良,17,28,0.742,6,13,98
2022-06,49,27~90,优,13,23,0.563,6,10,92
2022-07,50,29~89,优,16,25,0.523,7,12,94
2022-08,46,25~70,优,15,24,0.597,8,12,89
2022-09,46,20~87,优,18,27,0.617,7,13,88
2022-10,40,25~86,优,20,30,0.619,8,13,72
2022-11,52,44~62,良,23,37,0.533,12,17,101
2022-12,48,29~82,优,32,44,0.752,9,17,64
2023-01,48,30~74,优,29,42,0.687,8,15,81
2023-02,60,42~79,良,34,51,0.7,7,14,106
2023-03,69,42~95,良,33,51,0.745,9,14,120
2023-04,87,46~122,良,32,56,0.69,10,12,143
2023-05,77,31~108,良,21,37,0.587,8,11,130
2023-06,60,37~93,良,15,27,0.56,7,11,109
2023-07,42,21~85,优,12,22,0.535,7,10,82
2023-08,49,30~93,优,15,25,0.655,8,14,94
2023-09,46,26~79,优,15,27,0.597,8,12,88
2023-10,39,22~55,优,16,27,0.648,6,13,76
2023-11,47,27~59,优,22,39,0.613,9,18,85
2023-12,42,15~75,优,22,36,0.606,8,18,42
2024-01,44,32~55,优,21,34,0.619,8,17,78
2024-02,54,39~71,良,25,39,0.597,6,9,99
2024-03,70,34~87,良,26,45,0.623,8,12,121
2024-04,87,65~113,良,28,52,0.607,8,12,144
2024-05,67,35~103,良,14,26,0.565,5,12,119
2024-06,43,25~70,优,11,19,0.573,5,9,84
2024-07,40,19~96,优,10,17,0.474,5,9,77
2024-08,61,27~96,良,16,32,0.6,8,13,110
2024-09,48,26~80,优,14,24,0.653,8,12,91
2024-10,42,23~66,优,17,29,0.613,8,14,82
2024-11,41,26~59,优,20,31,0.63,9,16,76
2024-12,41,22~54,优,23,37,0.674,8,17,63
2025-01,51,22~90,良,31,47,0.626,7,17,78
2025-02,49,20~70,优,23,36,0.575,6,13,88
2025-03,63,26~110,良,28,46,0.542,7,15,106
2025-04,75,45~95,良,40,63,0.633,7,15,119
