month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,65,65~65,良,14,79,2.1,20,9,38
2015-01,87,38~166,良,63,98,1.878,73,26,33
2015-04,69,44~104,良,31,89,2.681,18,17,58
2015-05,66,36~110,良,27,82,1.148,14,16,70
2015-06,56,25~113,良,26,46,0.987,9,14,78
2015-07,50,23~109,优,29,46,1.216,6,13,75
2015-08,51,36~96,良,25,55,1.635,10,13,65
2015-09,59,36~142,良,28,62,1.773,14,15,69
2015-10,68,39~152,良,36,79,2.129,15,18,60
2015-11,93,46~212,良,60,81,2.56,52,26,43
2015-12,102,26~314,轻度污染,70,101,2.455,67,32,32
2016-01,71,40~253,良,37,58,1.81,74,26,44
2016-02,52,26~124,良,31,44,1.728,43,19,52
2016-03,77,32~230,良,47,88,1.752,33,25,62
2016-04,72,42~144,良,34,93,1.877,17,18,73
2016-05,65,47~110,良,31,68,2.106,15,18,94
2016-06,66,54~97,良,34,57,2.443,15,16,94
2016-07,66,40~104,良,36,67,2.155,14,15,101
2016-08,58,28~88,良,27,53,1.845,19,17,100
2016-09,52,33~119,良,19,32,1.703,23,18,90
2016-10,62,35~159,良,37,61,1.565,23,22,58
2016-11,90,41~182,良,63,102,1.307,62,33,47
2016-12,108,42~269,轻度污染,77,115,1.587,75,32,47
2017-01,113,42~257,轻度污染,82,120,1.619,81,31,57
2017-02,90,41~242,良,59,89,1.232,53,27,78
2017-03,69,50~142,良,42,80,0.958,41,26,94
2017-04,75,47~159,良,33,86,0.89,16,20,114
2017-05,113,37~500,轻度污染,28,74,0.906,13,16,142
2017-06,89,31~149,良,29,58,0.773,12,18,145
2017-07,102,59~189,轻度污染,29,56,0.865,8,16,161
2017-08,64,32~115,良,23,48,0.829,9,16,114
2017-09,77,38~148,良,36,66,0.98,16,24,124
2017-10,67,33~178,良,41,67,1.197,19,29,83
2017-11,62,33~138,良,34,65,1.063,36,28,65
2017-12,77,15~183,良,52,83,1.526,70,32,30
2018-01,71,48~137,良,42,81,1.181,58,26,59
2018-02,78,41~134,良,52,89,1.146,56,24,81
2018-03,64,0~173,良,41,68,0.987,30,23,97
2018-04,65,0~133,良,31,78,0.843,14,18,108
2018-05,77,0~162,良,33,67,0.839,13,17,132
2018-06,93,45~152,良,30,51,0.94,12,16,149
2018-07,69,19~117,良,24,41,0.668,7,12,119
2018-08,59,33~138,良,19,39,0.61,13,16,103
2018-09,61,28~119,良,24,48,0.777,12,20,105
2018-10,59,26~103,良,31,62,0.916,15,26,79
2018-11,76,0~202,良,53,88,1.323,35,35,56
2018-12,68,0~119,良,42,79,1.148,30,29,52
2019-01,89,36~204,良,60,103,1.506,37,33,55
2019-02,68,35~148,良,44,78,1.164,30,24,74
2019-03,72,43~189,良,41,81,0.968,21,22,100
2019-04,76,47~188,良,34,89,0.773,17,18,112
2019-05,84,44~172,良,29,62,0.739,14,15,138
2019-06,88,40~163,良,30,44,0.817,14,15,144
2019-07,87,49~181,良,27,45,0.877,10,15,143
2019-08,51,20~104,良,17,34,0.745,11,14,93
2019-09,67,36~123,良,26,57,0.87,14,20,111
2019-10,64,27~124,良,35,70,0.906,16,26,82
2019-11,63,31~153,良,37,70,0.96,22,28,56
2019-12,87,34~235,良,62,88,1.442,33,34,48
2020-01,116,37~446,轻度污染,87,120,1.752,36,34,60
2020-02,68,34~159,良,43,64,1.024,17,16,80
2020-03,59,40~114,良,30,61,0.797,13,17,88
2020-04,72,45~134,良,33,77,0.78,14,18,113
2020-05,73,42~146,良,27,65,0.726,12,15,118
2020-06,87,47~163,良,23,55,0.813,11,16,143
2020-07,89,49~152,良,27,56,0.848,9,16,145
2020-08,66,35~102,良,21,47,0.832,7,15,116
2020-09,46,18~90,优,20,41,0.733,8,19,80
2020-10,65,27~118,良,37,76,0.955,14,31,77
2020-11,62,27~119,良,38,70,1.02,19,29,63
2020-12,63,38~102,良,40,70,1.184,24,30,59
2021-01,84,34~258,良,56,85,1.258,24,30,59
2021-02,81,34~296,良,51,79,0.986,20,20,79
2021-03,99,40~500,良,42,71,0.874,14,23,91
2021-04,63,44~118,良,28,65,0.63,12,19,108
2021-05,78,36~322,良,20,47,0.61,10,16,113
2021-06,69,40~133,良,23,42,0.64,8,15,121
2021-07,55,25~93,良,17,34,0.548,6,11,102
2021-08,52,22~90,良,18,40,0.681,9,16,97
2021-09,47,28~93,优,19,38,0.607,9,19,85
2021-10,55,31~123,良,30,58,0.771,11,25,73
2021-11,61,32~113,良,37,68,0.813,13,27,60
2021-12,51,32~82,良,29,56,0.79,14,24,59
2022-01,73,42~133,良,50,80,1.177,18,32,61
2022-02,52,39~99,良,29,48,0.907,12,21,83
2022-03,56,39~93,良,27,54,0.758,10,19,91
2022-04,67,43~117,良,28,62,0.73,11,16,115
2022-05,70,41~130,良,20,52,0.723,11,16,122
2022-06,60,29~107,良,21,39,0.677,9,14,108
2022-07,49,24~79,优,15,35,0.645,7,12,93
2022-08,49,28~74,优,18,43,0.774,7,13,90
2022-09,63,30~124,良,22,50,0.783,11,19,110
2022-10,50,25~84,良,28,49,0.806,12,20,77
2022-11,60,28~103,良,36,67,0.93,14,26,54
2022-12,59,30~118,良,32,69,1.032,16,28,53
2023-01,73,33~183,良,45,89,1.016,18,26,58
2023-02,66,37~173,良,42,70,0.989,15,27,76
2023-03,103,40~500,轻度污染,53,133,0.923,15,28,103
2023-04,97,51~458,良,36,119,0.693,11,16,112
2023-05,97,42~477,良,25,71,0.703,10,17,137
2023-06,99,45~189,良,19,39,0.75,10,15,157
2023-07,79,16~170,良,18,40,0.742,7,14,131
2023-08,55,33~93,良,15,37,0.671,7,14,101
2023-09,62,36~128,良,21,45,0.767,10,22,109
2023-10,59,34~208,良,31,53,0.855,12,28,87
2023-11,50,30~107,良,26,53,0.803,15,23,59
2023-12,63,29~163,良,39,70,1.116,15,30,30
2024-01,58,33~125,良,34,63,1.071,14,27,59
2024-02,78,37~328,良,52,80,0.886,16,20,82
2024-03,78,42~500,良,35,87,0.732,12,22,96
2024-04,66,41~108,良,29,61,0.613,12,17,113
2024-05,77,42~139,良,24,49,0.571,11,16,129
2024-06,94,48~159,良,22,48,0.67,10,15,148
2024-07,70,32~124,良,23,50,0.729,7,12,119
2024-08,47,16~84,优,15,29,0.7,7,10,92
2024-09,44,24~90,优,16,30,0.647,8,16,82
2024-10,49,26~90,优,26,43,0.768,9,22,82
2024-11,57,30~149,良,36,53,0.96,11,26,59
2024-12,49,31~84,优,28,51,0.987,11,25,58
2025-01,77,34~380,良,54,74,1.048,15,29,63
2025-02,57,37~133,良,32,57,0.757,9,18,82
2025-03,66,42~152,良,36,67,0.677,10,20,97
2025-04,59,46~68,良,21,49,0.656,10,18,107
