month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,93,93~93,良,26,137,2.4,51,36,27
2014-01,98,46~193,良,71,107,2.648,93,45,27
2014-02,104,43~246,轻度污染,76,120,3.293,75,37,46
2014-03,91,48~242,良,66,103,3.148,54,35,61
2014-04,79,52~136,良,53,93,2.05,35,34,87
2014-05,66,42~114,良,36,70,1.874,23,31,113
2014-06,68,40~130,良,41,71,1.65,18,37,105
2014-07,69,50~161,良,44,75,2.342,15,25,100
2014-08,70,43~132,良,42,77,1.823,12,30,106
2014-09,65,34~85,良,35,78,1.897,21,35,84
2014-10,104,51~443,轻度污染,75,128,1.787,29,50,87
2014-11,116,56~457,轻度污染,86,146,2.677,64,54,61
2014-12,94,59~145,良,65,102,2.89,93,60,42
2015-01,107,45~241,轻度污染,80,117,2.545,108,71,37
2015-02,95,37~260,良,68,110,2.515,91,64,46
2015-03,75,49~123,良,49,95,1.823,49,43,68
2015-04,75,40~108,良,45,93,1.62,26,36,94
2015-05,75,39~137,良,31,74,1.152,20,30,119
2015-06,71,46~110,良,33,58,1.087,13,28,123
2015-07,65,39~137,良,34,56,1.035,9,26,109
2015-08,63,29~95,良,33,56,1.048,10,23,108
2015-09,61,41~97,良,32,65,1.04,18,35,94
2015-10,73,37~166,良,48,82,1.155,25,37,82
2015-11,139,54~500,轻度污染,112,143,1.667,51,45,50
2015-12,116,40~298,轻度污染,87,121,1.848,89,50,37
2016-01,102,56~208,轻度污染,76,114,1.848,90,44,42
2016-02,74,49~132,良,51,78,1.572,67,37,58
2016-03,82,39~213,良,51,102,1.358,50,35,98
2016-04,76,52~95,良,36,80,1.3,27,30,120
2016-05,84,47~123,良,31,63,1.358,23,31,138
2016-06,69,40~100,良,32,52,1.407,16,29,118
2016-07,59,33~91,良,33,50,1.403,10,23,100
2016-08,55,28~119,良,27,48,1.374,10,24,93
2016-09,50,29~72,优,28,47,1.423,16,28,81
2016-10,59,30~128,良,39,60,1.235,19,38,62
2016-11,80,36~207,良,57,84,1.257,39,38,45
2016-12,102,41~243,轻度污染,74,109,1.565,55,43,38
2017-01,102,45~294,轻度污染,76,113,1.719,73,46,47
2017-02,78,36~128,良,55,82,1.582,56,39,65
2017-03,86,39~145,良,62,98,1.374,40,40,86
2017-04,68,41~122,良,39,81,1.233,19,30,96
2017-05,69,37~120,良,28,67,1.055,12,25,108
2017-06,60,36~121,良,28,56,1.107,11,27,105
2017-07,61,38~117,良,25,46,1.139,8,21,106
2017-08,44,25~94,优,18,39,1.297,9,22,80
