month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,163,163~163,中度污染,124,154,1.8,27,60,108
2015-01,119,37~263,轻度污染,90,112,1.171,31,42,62
2015-02,93,28~238,良,69,83,1.146,22,42,51
2015-03,67,24~133,良,47,60,0.965,13,27,51
2015-04,70,37~107,良,50,68,0.837,27,28,99
2015-05,55,33~99,良,35,48,0.787,17,22,91
2015-06,40,23~72,优,26,38,0.78,22,13,64
2015-07,52,24~95,良,33,49,0.897,17,13,73
2015-08,66,31~130,良,38,67,0.881,22,16,98
2015-09,55,26~100,良,34,58,0.923,20,15,69
2015-10,74,30~127,良,50,84,1.142,21,25,102
2015-11,40,26~64,优,23,32,1.307,20,21,49
2015-12,43,22~85,优,24,38,1.232,18,24,43
2016-01,61,29~112,良,43,61,1.416,19,27,44
2016-02,66,27~211,良,43,65,1.152,29,26,82
2016-03,71,33~144,良,49,67,1.21,30,28,66
2016-04,58,36~92,良,34,52,1.033,18,18,87
2016-05,57,33~111,良,33,52,0.894,18,18,89
2016-06,41,28~61,优,21,35,0.717,30,13,69
2016-07,43,21~77,优,24,39,0.645,33,12,73
2016-08,54,26~111,良,31,47,0.768,20,14,95
2016-09,76,23~146,良,47,65,0.847,17,19,117
2016-10,63,30~95,良,42,61,0.942,17,20,91
2016-11,56,20~107,良,39,55,1,18,20,55
2016-12,110,32~217,轻度污染,82,113,1.313,26,36,81
2017-01,136,29~368,轻度污染,104,127,1.435,21,29,84
2017-02,98,48~207,良,73,97,1.171,19,26,80
2017-03,67,25~147,良,47,69,1.181,19,23,61
2017-04,66,41~93,良,43,68,0.88,24,15,93
2017-05,68,40~130,良,37,59,0.79,20,20,109
2017-06,43,20~79,优,22,38,0.643,13,16,76
2017-07,48,24~113,优,28,45,0.565,15,14,80
2017-08,47,26~102,优,25,43,0.648,15,14,83
2017-09,58,32~100,良,31,53,0.663,14,16,100
2017-10,68,26~134,良,42,66,0.781,15,19,112
2017-11,76,22~149,良,54,78,1.107,15,27,80
2017-12,100,28~183,良,73,98,1.084,22,30,53
2018-01,97,23~185,良,72,99,1.232,19,29,58
2018-02,87,26~176,良,64,93,0.993,15,22,70
2018-03,67,35~119,良,47,72,0.768,14,20,75
2018-04,58,0~101,良,36,70,0.733,13,17,79
2018-05,46,35~90,优,23,41,0.577,11,14,84
2018-06,49,24~89,优,22,39,0.64,11,14,88
2018-07,41,25~94,优,19,36,0.597,10,11,77
2018-08,56,23~104,良,25,44,0.755,11,13,101
2018-09,57,26~106,良,28,48,0.673,13,14,100
2018-10,64,22~131,良,33,57,0.774,13,22,97
2018-11,61,20~104,良,40,65,0.94,13,29,73
2018-12,59,19~119,良,40,59,0.939,12,25,39
2019-01,80,25~206,良,56,75,1.297,10,27,50
2019-02,51,20~119,良,35,49,1.004,7,16,40
2019-03,59,24~186,良,41,58,0.942,10,22,57
2019-04,52,26~87,良,31,53,0.81,11,16,73
2019-05,54,24~125,良,28,54,0.774,12,15,92
2019-06,49,27~109,优,18,33,0.77,12,14,91
2019-07,46,23~87,优,19,35,0.768,14,13,86
2019-08,61,23~108,良,26,45,0.842,12,14,108
2019-09,95,30~159,良,35,64,0.857,13,19,151
2019-10,59,24~126,良,31,54,0.852,12,16,101
2019-11,74,28~120,良,45,76,0.837,16,24,110
2019-12,76,23~152,良,53,84,1.068,16,35,78
2020-01,70,25~152,良,49,68,1.145,13,24,65
2020-02,63,20~204,良,43,55,0.821,8,17,65
2020-03,43,22~72,优,26,41,0.81,9,18,57
2020-04,58,20~111,良,32,56,0.81,11,21,90
2020-05,60,37~110,良,25,47,0.71,14,15,106
2020-06,39,24~58,优,15,32,0.61,14,12,76
2020-07,41,24~60,优,19,36,0.632,13,11,80
2020-08,46,22~120,优,20,36,0.635,15,13,83
2020-09,47,24~113,优,23,41,0.733,14,14,84
2020-10,52,22~100,良,27,48,0.774,12,15,92
2020-11,67,28~107,良,38,68,0.873,14,23,93
2020-12,69,20~178,良,49,69,0.961,13,25,71
2021-01,107,39~228,轻度污染,79,112,1.01,15,34,93
2021-02,77,23~198,良,54,75,0.893,12,20,93
2021-03,61,25~129,良,33,50,0.855,12,20,62
2021-04,45,23~80,优,27,44,0.903,12,18,62
2021-05,45,20~81,优,22,37,0.684,12,15,84
2021-06,48,27~119,优,21,36,0.657,12,13,89
2021-07,55,34~88,良,25,40,0.716,14,13,101
2021-08,49,31~121,优,20,35,0.69,15,11,93
2021-09,58,31~110,良,23,43,0.687,20,14,106
2021-10,55,26~98,良,24,40,0.742,11,13,96
2021-11,46,25~76,优,25,44,0.737,12,18,74
2021-12,68,27~134,良,46,79,0.974,13,29,88
2022-01,52,23~124,良,35,51,1.09,9,21,46
2022-02,57,23~226,良,39,45,0.868,8,16,61
2022-03,67,23~178,良,46,69,0.945,11,20,75
2022-04,62,25~112,良,33,54,0.817,10,15,99
2022-05,46,23~95,优,22,36,0.926,8,14,80
2022-06,40,26~65,优,16,28,0.763,8,9,77
2022-07,45,25~77,优,17,34,0.706,11,10,86
2022-08,45,25~72,优,17,31,0.658,12,11,87
2022-09,85,36~131,良,32,57,0.783,10,13,140
2022-10,79,26~133,良,32,59,0.69,12,15,131
2022-11,49,15~85,优,27,43,0.77,8,15,77
2022-12,63,14~112,良,45,66,0.735,9,21,80
2023-01,79,23~160,良,56,74,0.839,7,18,77
2023-02,62,23~123,良,42,60,0.968,7,20,73
2023-03,64,22~102,良,40,71,0.832,9,20,89
2023-04,56,19~90,良,30,53,0.647,7,15,84
2023-05,55,29~125,良,24,40,0.652,7,14,97
2023-06,49,23~88,优,16,28,0.63,7,10,91
2023-07,49,31~90,优,16,29,0.552,6,7,93
2023-08,42,26~65,优,14,25,0.529,8,9,81
2023-09,48,24~85,优,16,27,0.57,7,10,89
2023-10,54,29~86,良,23,36,0.671,9,12,101
2023-11,56,18~95,良,33,54,0.737,11,19,93
2023-12,58,15~130,良,40,61,0.884,10,23,47
2024-01,59,23~150,良,41,56,1.077,9,22,57
