month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,76,76~76,良,43,101,0.5,18,14,92
2015-01,74,53~137,良,44,94,0.573,25,15,90
2015-02,77,55~100,良,41,103,0.457,27,12,92
2015-03,90,58~191,良,51,125,0.457,19,10,109
2015-04,82,68~118,良,48,99,0.473,24,18,128
2015-05,82,55~109,良,43,73,0.545,22,22,130
2015-06,81,55~114,良,39,64,0.447,21,25,134
2015-07,78,44~102,良,30,68,0.8,21,30,128
2015-08,73,54~97,良,39,83,0.59,21,35,120
2015-09,61,43~82,良,16,63,0.869,25,32,100
2015-10,83,49~131,良,45,115,0.697,32,33,98
2015-11,85,58~131,良,54,116,0.853,40,27,90
2015-12,73,54~101,良,50,89,0.845,41,18,86
2016-01,77,48~196,良,45,96,0.761,36,10,91
2016-02,71,53~117,良,44,86,0.666,29,10,101
2016-03,76,56~108,良,52,87,0.713,28,15,109
2016-04,74,54~125,良,42,84,0.643,23,17,117
2016-05,71,0~95,良,39,69,0.545,19,17,116
2016-06,74,0~108,良,38,65,0.517,17,15,122
2016-07,72,40~100,良,41,70,0.51,14,17,111
2016-08,67,0~99,良,26,55,0.558,11,21,113
2016-09,63,47~80,良,15,36,0.507,13,18,115
2016-10,63,43~112,良,27,66,0.952,23,21,105
2016-11,70,50~94,良,33,89,0.987,33,19,94
2016-12,71,0~118,良,35,93,1.042,43,18,86
2017-01,67,47~122,良,35,84,1.377,44,18,94
2017-02,78,48~255,良,35,99,1.175,39,15,100
2017-03,68,53~93,良,26,58,1.123,34,14,120
2017-04,75,55~107,良,25,70,1.067,29,14,127
2017-05,83,58~112,良,22,51,0.926,22,14,138
2017-06,85,60~152,良,19,36,1.01,16,13,139
2017-07,71,48~98,良,22,34,1.123,18,15,126
2017-08,59,39~91,良,28,32,1.145,14,13,109
2017-09,57,41~82,良,22,29,0.97,16,15,106
2017-10,54,33~90,良,24,39,0.9,16,17,104
2017-11,55,36~72,良,28,54,1.023,31,21,100
2017-12,67,26~211,良,36,76,1.087,39,25,69
2018-01,61,48~125,良,21,53,0.806,42,19,108
2018-02,73,48~203,良,17,43,1.004,40,17,126
2018-03,71,47~203,良,17,36,0.61,38,19,121
2018-04,60,0~87,良,20,36,0.527,27,18,108
2018-05,61,0~101,良,18,37,0.448,11,15,119
2018-06,54,0~80,良,12,19,0.33,7,20,104
2018-07,57,0~89,良,11,17,0.316,7,9,113
2018-08,47,0~100,优,10,14,0.339,8,10,90
2018-09,48,0~66,优,10,19,0.293,8,10,93
2018-10,49,0~60,优,12,20,0.281,13,12,99
2018-11,49,0~202,优,15,27,0.5,21,15,92
2018-12,47,0~78,优,16,37,0.629,25,15,90
2019-01,66,0~122,良,16,35,0.5,34,15,107
2019-02,59,33~85,良,20,46,0.782,33,13,102
2019-03,54,36~91,良,21,36,1,30,11,101
2019-04,67,41~98,良,22,38,0.51,24,12,119
2019-05,51,24~155,良,22,31,0.532,17,9,84
2019-06,40,22~69,优,17,24,0.577,6,10,74
2019-07,68,46~95,良,20,28,0.561,4,9,121
2019-08,58,30~80,良,17,28,0.439,5,9,106
2019-09,52,35~69,良,16,25,0.523,17,11,99
2019-10,48,0~60,优,17,21,0.442,14,14,92
2019-11,37,0~68,优,17,25,0.403,11,15,70
2019-12,75,46~127,良,20,35,1.31,29,23,129
2020-01,57,36~96,良,18,32,1.145,24,18,105
2020-02,64,43~106,良,17,32,0.89,21,15,114
2020-03,61,34~113,良,15,34,0.613,24,15,108
2020-04,48,37~62,优,14,34,0.517,24,15,93
2020-05,53,26~77,良,17,28,0.584,24,18,100
2020-06,54,36~75,良,14,18,0.427,24,16,102
2020-07,51,35~78,良,10,15,0.603,21,15,97
2020-08,45,23~70,优,11,17,0.565,22,13,88
2020-09,53,0~68,良,16,22,0.543,16,13,101
2020-10,44,25~70,优,18,24,0.529,17,14,83
2020-11,43,32~67,优,18,29,0.567,17,16,85
2020-12,40,27~52,优,20,39,0.59,19,17,67
2021-01,45,29~79,优,19,45,0.519,20,14,71
2021-02,53,30~328,良,18,30,0.364,19,12,83
2021-03,57,39~152,良,23,44,0.394,12,13,93
2021-04,59,0~87,良,18,26,0.437,14,13,108
