month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,241,109~464,重度污染,193,315,1.666,155,72,42
2014-01,207,76~480,重度污染,158,278,1.435,91,58,50
2014-02,145,51~424,轻度污染,109,180,1.029,71,37,80
2014-03,155,87~494,中度污染,108,217,0.977,80,44,105
2014-04,123,52~226,轻度污染,86,178,0.88,72,42,139
2014-05,127,73~194,轻度污染,70,175,0.768,65,38,181
2014-06,131,66~277,轻度污染,80,143,0.85,42,41,172
2014-07,107,58~153,轻度污染,59,114,0.852,39,29,159
2014-08,100,55~148,轻度污染,60,111,0.829,54,31,156
2014-09,82,38~120,良,53,103,0.83,49,31,119
2014-10,100,53~174,轻度污染,69,141,0.903,66,39,125
2014-11,127,64~213,轻度污染,94,172,1.237,80,49,68
2014-12,153,72~308,中度污染,114,205,1.265,102,55,47
2015-01,169,64~319,中度污染,130,215,1.258,75,52,55
2015-02,140,46~254,轻度污染,106,179,1.046,63,35,75
2015-03,133,75~467,轻度污染,85,186,1.016,54,35,94
2015-04,115,64~268,轻度污染,79,161,0.913,56,32,124
2015-05,109,63~170,轻度污染,71,145,0.829,47,27,155
2015-06,110,44~156,轻度污染,64,130,0.79,42,24,163
2015-07,89,52~151,良,53,109,0.652,37,21,130
2015-08,89,49~136,良,49,96,0.771,45,29,131
2015-09,95,37~196,良,60,115,0.873,54,31,134
2015-10,137,67~245,轻度污染,102,172,1.039,54,43,123
2015-11,136,35~272,轻度污染,103,149,1.107,53,38,61
2015-12,180,67~325,中度污染,140,209,1.403,74,51,47
2016-01,184,67~351,中度污染,144,200,1.326,58,42,53
2016-02,151,42~257,中度污染,115,178,1.097,61,35,86
2016-03,135,57~242,轻度污染,98,182,0.829,55,33,113
2016-04,122,62~239,轻度污染,84,175,0.857,38,28,138
2016-05,96,47~145,良,54,117,0.645,32,23,141
2016-06,102,64~139,轻度污染,52,102,0.64,22,22,158
2016-07,73,43~114,良,43,79,0.594,21,16,116
2016-08,76,45~125,良,35,76,0.587,25,20,117
2016-09,99,51~144,良,58,114,0.64,27,28,150
2016-10,77,45~199,良,51,98,0.661,22,26,76
2016-11,108,42~209,轻度污染,78,143,0.907,31,35,62
2016-12,154,55~299,中度污染,118,189,1.158,41,42,57
2017-01,134,56~279,轻度污染,101,168,1.152,33,34,72
2017-02,128,63~235,轻度污染,96,161,0.971,42,32,97
