month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,140,46~217,轻度污染,106,138,1.22,56,50,106
2014-01,178,56~299,中度污染,138,171,1.435,46,55,105
2014-02,91,31~225,良,68,80,1.186,25,29,65
2014-03,90,32~193,良,66,88,1.242,34,32,62
2014-04,77,38~202,良,56,80,1.07,27,25,80
2014-05,84,44~124,良,57,86,1.061,30,27,110
2014-06,80,43~151,良,53,75,0.98,27,25,122
2014-07,63,38~126,良,36,62,0.855,25,22,108
2014-08,66,32~144,良,38,62,0.855,24,22,110
2014-09,72,36~117,良,47,78,0.93,31,23,117
2014-10,127,69~219,轻度污染,95,140,1.187,42,35,160
2014-11,88,34~221,良,65,93,1.207,43,28,83
2014-12,104,41~187,轻度污染,77,108,1.145,50,34,93
2015-01,120,32~242,轻度污染,90,120,1.332,36,39,90
2015-02,115,38~271,轻度污染,87,107,1.307,24,31,78
2015-03,69,23~136,良,51,64,1.184,17,24,62
2015-04,77,36~118,良,49,74,0.977,22,23,125
2015-05,63,39~95,良,36,55,0.903,19,19,109
2015-06,53,35~78,良,23,40,0.87,15,14,99
2015-07,59,26~159,良,34,53,0.948,18,17,102
2015-08,64,34~112,良,41,65,0.948,24,19,103
2015-09,61,32~107,良,41,64,1.01,24,20,94
2015-10,81,42~133,良,58,93,1.094,34,29,113
2015-11,54,32~124,良,36,55,1.24,26,24,58
2015-12,64,30~147,良,45,62,1.119,31,24,56
2016-01,66,32~129,良,47,66,1.332,28,27,55
2016-02,89,39~244,良,65,90,1.166,29,26,84
2016-03,88,31~170,良,65,90,1.155,24,33,72
2016-04,59,32~110,良,39,59,1.073,19,22,82
2016-05,58,33~104,良,35,58,0.994,18,22,89
2016-06,46,29~80,优,22,39,0.843,13,18,86
2016-07,51,25~94,良,26,47,0.881,12,16,94
2016-08,61,34~120,良,34,58,1.023,19,20,101
2016-09,70,32~111,良,48,76,0.91,27,21,110
2016-10,59,25~92,良,39,61,0.965,21,20,87
2016-11,54,25~122,良,37,60,1.033,20,26,59
2016-12,97,33~178,良,72,107,1.2,27,38,70
2017-01,105,30~234,轻度污染,79,102,1.303,21,30,74
2017-02,79,30~182,良,60,83,1.125,20,30,77
2017-03,61,27~140,良,43,66,1.152,19,29,55
2017-04,65,37~111,良,43,69,0.953,14,27,93
2017-05,68,35~125,良,42,67,0.997,17,28,108
2017-06,42,24~58,优,24,38,1.013,10,21,72
2017-07,48,23~110,优,26,45,0.929,11,22,82
2017-08,45,25~115,优,25,41,0.906,11,21,81
2017-09,55,29~117,良,34,55,1.047,15,24,95
2017-10,59,26~122,良,40,60,1.065,23,21,96
2017-11,74,27~145,良,53,75,1.187,30,29,67
2017-12,93,30~160,良,69,95,1.265,34,35,46
2018-01,87,28~183,良,64,80,1.119,24,30,48
2018-02,86,22~209,良,63,82,0.907,15,22,69
2018-03,68,29~123,良,48,69,0.89,11,27,72
2018-04,59,0~115,良,40,67,0.84,11,22,77
2018-05,47,34~70,优,25,38,0.71,8,16,84
2018-06,45,26~81,优,21,35,0.77,9,15,83
2018-07,45,28~110,优,20,37,0.687,7,16,84
2018-08,51,24~89,良,30,48,0.89,12,18,88
2018-09,53,24~85,良,33,51,0.88,13,18,91
2018-10,57,23~117,良,35,58,0.906,17,23,83
2018-11,60,23~109,良,42,68,1.053,20,31,63
2018-12,55,25~137,良,37,54,1.126,18,25,36
2019-01,77,26~204,良,53,67,1.413,17,27,46
2019-02,42,25~104,优,26,38,1.1,11,17,38
2019-03,53,25~133,良,37,51,1.003,11,26,53
2019-04,48,26~103,优,33,45,0.897,10,20,66
2019-05,53,25~82,良,32,52,0.832,12,19,85
2019-06,41,27~75,优,22,34,0.813,7,17,77
