month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,172,54~253,中度污染,131,173,1.297,60,65,43
2014-01,206,75~365,重度污染,163,204,1.458,58,58,53
2014-02,99,35~236,良,74,96,0.996,33,37,33
2014-03,85,29~150,良,63,93,1.01,33,37,50
2014-04,87,42~167,良,64,101,1.063,43,43,74
2014-05,89,39~168,良,63,108,0.958,36,32,82
2014-06,89,22~164,良,64,94,0.953,27,25,116
2014-07,72,36~148,良,44,65,0.874,20,22,114
2014-08,68,30~124,良,45,65,0.813,17,22,102
2014-09,71,33~102,良,50,74,0.857,22,29,89
2014-10,108,35~199,轻度污染,81,122,0.932,28,41,121
2014-11,94,41~310,良,68,103,1.04,27,43,51
2014-12,107,62~245,轻度污染,78,123,0.958,43,52,47
2015-01,147,26~288,轻度污染,113,157,1.248,43,53,51
2015-02,115,17~218,轻度污染,86,118,1.05,29,37,63
2015-03,71,33~179,良,50,77,0.968,20,31,53
2015-04,66,33~103,良,44,71,0.803,24,30,93
2015-05,78,42~162,良,54,77,0.9,23,26,96
2015-06,48,29~105,优,25,45,0.783,21,18,83
2015-07,50,31~103,良,28,49,0.716,17,22,89
2015-08,67,26~114,良,34,60,0.752,20,23,112
2015-09,69,34~100,良,42,74,0.813,22,30,112
2015-10,83,38~120,良,55,103,0.874,23,44,115
2015-11,62,35~98,良,40,67,1.043,18,39,38
2015-12,111,38~259,轻度污染,82,117,0.987,23,46,33
2016-01,117,62~212,轻度污染,86,119,1.139,25,46,37
2016-02,98,39~286,良,71,108,0.866,28,36,79
2016-03,91,30~165,良,66,108,0.997,32,44,84
2016-04,63,40~92,良,39,69,0.893,30,34,84
2016-05,63,40~100,良,36,67,0.758,23,30,95
2016-06,64,32~121,良,30,54,0.703,25,24,107
2016-07,64,25~156,良,25,47,0.716,21,20,107
2016-08,65,33~130,良,31,57,0.668,20,23,109
2016-09,77,28~122,良,43,79,0.747,19,31,121
2016-10,66,33~99,良,40,74,0.784,17,37,56
2016-11,74,25~140,良,52,89,1.053,21,38,42
2016-12,119,42~213,轻度污染,89,140,1.21,29,53,53
2017-01,144,50~335,轻度污染,110,150,1.161,24,47,46
2017-02,95,41~204,良,71,101,0.946,24,40,71
2017-03,77,35~256,良,52,85,0.829,19,43,56
2017-04,71,30~102,良,45,77,0.8,19,33,102
2017-05,90,38~150,良,41,62,0.877,13,29,128
2017-06,48,27~95,优,25,38,0.783,12,20,85
2017-07,57,20~116,良,27,40,0.632,16,18,101
2017-08,54,31~87,良,26,39,0.658,16,19,98
2017-09,82,33~174,良,39,60,0.753,19,29,126
2017-10,66,20~135,良,45,70,0.7,13,36,89
2017-11,93,47~168,良,64,115,1.017,23,52,65
2017-12,109,47~190,轻度污染,77,135,1.11,26,61,32
2018-01,94,35~225,良,68,110,0.968,24,43,42
2018-02,89,23~222,良,64,104,0.8,22,34,71
2018-03,64,29~110,良,42,74,0.816,17,38,76
2018-04,56,0~103,良,32,62,0.677,15,30,93
2018-05,50,0~108,优,25,41,0.626,16,21,101
2018-06,56,25~111,良,24,37,0.643,14,20,100
2018-07,49,24~72,优,20,33,0.555,12,16,93
2018-08,64,28~104,良,23,36,0.558,14,19,114
2018-09,64,32~104,良,30,53,0.587,17,24,110
2018-10,77,35~144,良,44,74,0.639,16,39,103
2018-11,70,33~142,良,48,69,0.857,15,41,59
2018-12,106,33~323,轻度污染,77,96,0.952,13,43,29
2019-01,131,49~240,轻度污染,98,120,1.148,10,45,34
2019-02,70,19~218,良,51,61,0.839,8,26,41
2019-03,70,30~109,良,50,72,0.826,10,40,72
2019-04,62,33~97,良,41,54,0.723,10,32,82
2019-05,66,32~121,良,36,64,0.729,10,30,100
2019-06,55,24~96,良,24,36,0.78,9,21,99
2019-07,56,30~100,良,22,31,0.668,8,16,103
2019-08,82,39~119,良,27,46,0.674,11,21,137
2019-09,106,46~165,轻度污染,40,67,0.77,13,30,164
2019-10,74,32~157,良,46,72,0.845,13,39,96
2019-11,81,30~138,良,55,86,0.783,13,45,94
2019-12,107,48~264,轻度污染,80,99,1.077,13,54,52
2020-01,78,32~147,良,56,63,0.913,7,34,43
2020-02,57,29~125,良,38,43,0.672,6,19,66
2020-03,52,23~92,良,34,48,0.645,7,27,71
2020-04,76,34~139,良,40,61,0.673,10,36,120
2020-05,67,30~122,良,31,52,0.694,9,26,113
2020-06,45,31~98,优,17,26,0.617,9,19,85
2020-07,53,23~110,良,21,30,0.6,8,18,98
2020-08,63,30~126,良,19,29,0.577,8,16,111
2020-09,52,25~114,良,23,33,0.663,7,23,95
2020-10,67,25~122,良,41,62,0.623,8,33,91
2020-11,67,34~130,良,44,65,0.683,9,40,72
2020-12,119,45~206,轻度污染,88,108,0.919,10,55,41
2021-01,107,54~230,轻度污染,73,102,0.884,11,52,53
2021-02,79,28~234,良,58,62,0.75,7,28,62
2021-03,60,33~115,良,36,48,0.794,8,33,56
2021-04,53,30~74,良,33,40,0.697,6,29,65
2021-05,51,29~90,良,24,37,0.671,6,22,90
2021-06,62,29~117,良,21,32,0.627,7,17,110
2021-07,59,32~108,良,18,25,0.645,7,14,108
2021-08,55,30~124,良,18,24,0.674,7,14,102
2021-09,87,32~144,良,27,40,0.71,9,20,143
2021-10,69,25~176,良,42,52,0.652,7,29,87
2021-11,73,28~183,良,50,70,0.717,8,39,78
2021-12,101,45~225,轻度污染,74,93,0.89,9,49,63
2022-01,98,28~200,良,72,76,0.835,6,41,40
2022-02,65,28~127,良,46,48,0.639,6,28,60
2022-03,59,28~124,良,37,47,0.542,7,28,85
