month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,199,199~199,中度污染,149,244,2.3,52,97,99
2014-01,185,55~372,中度污染,145,182,1.581,52,50,99
2014-02,75,20~163,良,55,51,1.257,21,24,64
2014-03,82,18~158,良,61,71,1.258,19,27,55
2014-04,71,35~151,良,52,68,1.043,18,26,67
2014-05,77,38~130,良,55,82,1.119,16,24,75
2014-06,76,29~156,良,55,73,1.08,17,17,103
2014-07,53,27~98,良,34,53,0.848,20,18,77
2014-08,54,37~88,良,35,52,0.868,19,16,86
2014-09,67,36~110,良,46,62,1.003,23,17,102
2014-10,115,59~176,轻度污染,85,112,1.181,33,28,142
2014-11,87,31~200,良,63,83,1.24,32,26,81
2014-12,85,30~164,良,62,85,1.019,39,35,89
2015-01,109,17~232,轻度污染,82,108,1.045,30,39,83
2015-02,109,24~292,轻度污染,82,105,1.414,16,28,59
2015-03,65,25~157,良,47,63,1.148,16,24,61
2015-04,72,36~109,良,49,76,1.103,19,23,106
2015-05,60,35~85,良,38,55,0.961,16,19,93
2015-06,43,29~67,优,25,39,0.82,15,15,75
2015-07,55,27~95,良,33,49,0.887,18,14,95
2015-08,60,29~110,良,35,54,0.897,21,20,97
2015-09,73,23~123,良,51,69,1.05,23,21,99
2015-10,88,25~131,良,59,78,0.99,29,27,129
2015-11,59,26~160,良,39,55,1.333,21,29,50
2015-12,71,27~147,良,51,67,1.1,21,29,57
2016-01,77,34~201,良,55,76,1.526,18,32,55
2016-02,93,36~271,良,69,96,1.1,17,31,90
2016-03,91,30~188,良,66,93,1.258,22,39,75
2016-04,65,37~165,良,44,63,1.06,19,30,77
2016-05,67,35~107,良,43,64,0.952,19,28,91
2016-06,47,30~76,优,26,40,0.777,12,18,85
2016-07,46,23~97,优,24,40,0.7,14,18,81
2016-08,64,27~150,良,36,55,0.91,18,22,108
2016-09,87,37~128,良,52,68,0.837,20,20,135
2016-10,57,22~90,良,39,53,0.877,15,19,82
2016-11,57,17~144,良,39,58,1.02,14,28,60
2016-12,95,28~170,良,70,92,1.106,19,38,78
2017-01,104,28~285,轻度污染,78,95,1.3,16,33,75
2017-02,78,32~151,良,58,73,1.089,12,31,77
2017-03,56,26~133,良,39,53,0.945,14,29,63
2017-04,67,30~127,良,43,64,0.837,14,27,90
2017-05,71,32~116,良,39,57,0.794,15,24,113
2017-06,41,27~62,优,23,35,0.74,10,21,67
2017-07,44,22~99,优,23,39,0.594,11,16,78
2017-08,45,25~100,优,22,38,0.716,10,17,78
2017-09,66,32~139,良,38,59,0.83,15,17,114
2017-10,64,32~111,良,39,55,0.739,15,18,109
2017-11,76,27~149,良,54,70,0.88,19,32,83
2017-12,99,28~178,良,72,87,0.968,27,38,53
2018-01,88,25~192,良,65,77,0.981,20,30,54
2018-02,85,23~231,良,62,80,0.829,13,26,70
2018-03,58,20~118,良,38,53,0.758,9,28,75
2018-04,58,0~96,良,37,65,0.763,10,22,81
2018-05,47,30~81,优,26,42,0.823,8,18,80
2018-06,46,27~94,优,19,32,0.633,9,15,87
2018-07,45,26~95,优,19,31,0.603,10,15,85
2018-08,52,22~91,良,24,36,0.671,11,15,96
2018-09,57,20~98,良,30,44,0.627,11,15,101
2018-10,65,25~133,良,33,49,0.671,12,21,103
2018-11,56,20~103,良,36,52,0.78,11,28,75
2018-12,50,18~115,良,34,43,0.871,10,25,43
2019-01,72,25~182,良,51,70,1.223,10,29,52
