month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,90,90~90,良,67,124,2,21,66,78
2014-01,96,40~183,良,71,102,1.49,17,41,98
2014-02,50,12~78,优,33,44,0.882,9,22,73
2014-03,59,20~105,良,39,62,1.016,13,29,77
2014-04,69,37~105,良,41,64,1.02,18,21,113
2014-05,46,31~93,优,21,39,0.965,15,17,79
2014-06,52,31~116,良,25,47,0.893,15,14,90
2014-07,51,34~89,良,26,47,0.881,12,14,90
2014-08,55,30~105,良,24,44,0.884,14,15,99
2014-09,55,30~84,良,29,51,1.007,17,16,98
2014-10,83,56~110,良,59,93,1.11,23,28,128
2014-11,70,25~110,良,51,74,1.19,19,28,79
2014-12,63,31~88,良,45,63,1.1,21,34,70
2015-01,71,31~105,良,51,74,1.123,12,38,72
2015-02,70,30~125,良,51,67,1.079,10,23,83
2015-03,51,16~97,良,35,48,1.019,9,20,72
2015-04,62,14~121,良,40,58,0.867,7,21,94
2015-05,42,29~89,优,22,36,0.916,6,16,71
2015-06,39,26~83,优,19,33,0.733,7,13,73
2015-07,46,26~83,优,25,42,0.755,6,14,79
2015-08,52,25~102,良,26,43,0.797,7,17,93
2015-09,56,27~87,良,35,51,0.97,9,19,96
2015-10,59,26~104,良,40,61,0.871,11,28,89
2015-11,57,21~79,良,37,62,1.027,12,27,64
2015-12,49,19~84,优,33,48,1.142,7,25,42
2016-01,47,26~93,优,29,41,1.032,6,26,45
2016-02,50,24~155,良,33,46,0.941,6,20,63
2016-03,59,21~104,良,36,56,1.003,7,31,74
2016-04,55,33~104,良,31,49,0.943,7,25,84
2016-05,49,28~85,优,26,47,0.832,7,22,85
2016-06,41,27~77,优,16,36,0.68,6,17,76
2016-07,49,30~108,优,22,42,0.755,7,18,84
2016-08,43,23~79,优,22,38,0.777,7,17,81
2016-09,48,20~87,优,28,47,0.87,6,21,83
2016-10,39,23~64,优,22,39,0.906,8,23,58
2016-11,53,20~97,良,33,55,1.01,9,31,59
2016-12,64,34~104,良,44,74,1.174,10,41,69
2017-01,62,31~194,良,43,60,1.248,9,31,68
2017-02,55,22~89,良,36,47,1.064,9,27,90
2017-03,51,28~77,良,29,51,1.158,9,34,76
2017-04,56,26~114,良,29,52,1.073,10,29,92
2017-05,59,32~119,良,30,50,1.029,7,27,101
2017-06,34,22~48,优,16,31,0.87,6,19,60
2017-07,41,20~78,优,18,36,0.803,7,18,68
2017-08,48,19~99,优,21,41,0.806,7,20,87
2017-09,53,32~85,良,29,54,0.957,8,26,92
2017-10,53,25~94,良,33,52,0.984,10,31,87
2017-11,54,21~81,良,36,54,1.11,8,32,61
2017-12,64,23~102,良,45,71,1.029,7,41,41
2018-01,57,24~107,良,38,58,0.987,6,36,57
2018-02,61,28~275,良,43,51,0.896,5,21,68
2018-03,58,32~84,良,35,52,0.855,5,30,93
2018-04,58,27~90,良,37,61,0.857,6,31,88
2018-05,51,33~79,良,24,43,0.716,6,22,91
2018-06,40,23~65,优,17,31,0.707,5,18,75
2018-07,38,20~78,优,17,33,0.732,6,17,71
2018-08,42,18~64,优,15,28,0.752,6,18,82
2018-09,45,20~76,优,20,38,0.81,7,21,84
2018-10,58,23~92,良,32,55,0.855,10,34,95
2018-11,46,28~64,优,28,46,0.943,9,30,58
2018-12,43,20~77,优,27,41,0.952,8,29,38
2019-01,54,28~92,良,36,53,1.145,8,32,53
2019-02,40,18~112,优,26,35,0.893,6,17,50
2019-03,47,20~79,优,26,41,0.81,8,27,79
2019-04,47,29~72,优,24,39,0.8,9,27,80
2019-05,44,26~91,优,20,35,0.752,9,21,82
2019-06,39,23~80,优,13,26,0.687,7,17,76
2019-07,39,24~82,优,15,30,0.645,7,16,75
2019-08,48,23~87,优,18,31,0.652,8,16,91
2019-09,69,26~117,良,26,46,0.763,9,26,119
2019-10,65,26~90,良,33,51,0.8,9,27,111
2019-11,65,31~91,良,36,63,0.82,9,38,108
2019-12,55,35~70,良,34,57,0.839,9,39,72
2020-01,50,23~112,优,30,42,0.913,7,26,77
2020-02,43,19~64,优,25,27,0.634,7,14,77
