month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,41,41~41,优,22,41,0.9,19,15,61
2015-01,46,15~63,优,27,47,0.968,31,24,41
2015-02,46,27~56,优,29,47,0.711,21,17,47
2015-03,51,26~96,良,33,52,0.71,19,18,65
2015-04,42,27~63,优,23,41,0.59,17,15,62
2015-05,46,29~61,优,24,40,0.616,22,15,81
2015-06,30,17~43,优,11,24,0.547,14,8,54
2015-07,45,21~93,优,20,35,0.635,19,18,82
2015-08,35,19~67,优,17,31,0.729,25,19,60
2015-09,32,18~57,优,15,28,0.72,20,16,54
2015-10,41,30~55,优,20,34,0.726,28,23,74
2015-11,38,21~51,优,19,33,0.84,29,24,65
2015-12,45,24~59,优,28,43,0.897,31,28,68
2016-01,47,27~58,优,28,45,0.794,28,29,79
2016-02,50,26~80,良,30,44,0.807,25,20,87
2016-03,59,39~81,良,33,53,0.706,25,26,107
2016-04,61,44~77,良,28,49,0.743,26,27,112
2016-05,48,29~72,优,20,34,0.694,19,18,94
2016-06,32,17~60,优,9,18,0.67,15,13,64
2016-07,26,15~41,优,9,20,0.668,15,13,49
2016-08,47,28~70,优,21,34,0.777,23,22,89
2016-09,38,20~69,优,21,31,0.707,21,19,66
2016-10,36,23~69,优,19,30,0.903,24,19,64
2016-11,37,22~69,优,19,32,1.047,24,22,58
2016-12,46,25~72,优,29,45,1.197,28,24,55
2017-01,43,30~71,优,25,41,1.106,21,25,62
2017-02,51,34~70,良,31,45,1.021,21,24,95
2017-03,66,41~90,良,33,51,1.013,24,26,118
2017-04,61,35~110,良,27,44,0.867,16,20,108
2017-05,47,23~62,优,23,39,0.948,16,20,90
2017-06,40,21~84,优,11,25,0.79,16,13,77
2017-07,39,21~64,优,16,37,0.816,21,20,67
2017-08,34,21~66,优,14,29,0.884,18,17,64
2017-09,31,20~65,优,15,28,0.8,16,15,55
2017-10,34,20~57,优,17,32,0.9,15,16,59
2017-11,47,27~80,优,25,48,1.027,23,27,70
2017-12,60,42~89,良,34,60,1.094,23,30,47
2018-01,42,24~62,优,22,40,0.81,19,26,67
2018-02,45,26~57,优,26,40,0.746,16,22,79
2018-03,59,45~75,良,33,54,0.845,18,33,108
2018-04,60,43~79,良,26,48,0.67,14,21,110
2018-05,49,19~69,优,16,32,0.452,10,11,95
2018-06,33,17~82,优,11,23,0.463,9,10,63
2018-07,34,21~65,优,11,18,0.548,11,14,66
2018-08,41,17~70,优,20,26,0.7,12,18,79
2018-09,29,21~48,优,15,22,0.787,12,13,55
2018-10,30,18~40,优,15,22,0.642,14,12,57
2018-11,42,34~53,优,25,41,0.75,22,24,73
2018-12,37,21~64,优,20,31,0.806,16,19,62
2019-01,38,26~48,优,21,33,0.855,14,21,71
2019-02,47,41~57,优,21,34,0.668,14,18,92
2019-03,61,39~82,良,31,46,0.726,14,22,112
2019-04,73,57~100,良,30,47,0.713,14,20,127
2019-05,73,47~92,良,28,49,0.665,12,13,127
2019-06,41,23~85,优,10,17,0.667,8,9,80
2019-07,33,19~75,优,12,19,0.635,9,12,64
2019-08,53,25~89,良,20,30,0.681,12,19,99
2019-09,38,17~72,优,19,27,0.693,11,16,73
2019-10,36,28~45,优,14,22,0.565,10,15,72
2019-11,36,24~47,优,19,31,0.7,16,22,68
2019-12,42,25~53,优,25,37,0.848,12,26,72
2020-01,40,28~45,优,19,29,0.745,11,21,76
2020-02,53,42~74,良,27,34,0.714,8,13,98
2020-03,66,47~94,良,27,42,0.719,12,26,119
2020-04,65,28~97,良,32,44,0.757,11,24,114
2020-05,57,28~82,良,18,30,0.59,12,18,105
2020-06,34,22~54,优,7,14,0.453,8,9,68
2020-07,25,14~63,优,8,14,0.461,8,11,49
2020-08,29,15~65,优,9,17,0.535,8,12,58
2020-09,25,16~47,优,11,18,0.66,8,12,50
2020-10,28,18~49,优,14,22,0.687,9,12,53
2020-11,39,20~73,优,22,35,0.737,13,22,70
2020-12,35,25~51,优,20,33,0.794,13,20,64
2021-01,44,29~62,优,28,42,0.9,12,26,73
2021-02,49,28~67,优,29,41,0.764,9,21,92
2021-03,72,48~107,良,41,65,0.797,13,24,124
2021-04,73,44~89,良,35,55,0.773,12,21,127
2021-05,54,33~79,良,16,25,0.574,7,11,102
2021-06,35,23~64,优,10,15,0.527,7,9,69
2021-07,34,20~54,优,11,17,0.555,8,11,67
