month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,43,43~43,优,30,40,2.6,44,48,54
2015-01,81,39~192,良,55,95,3.023,40,56,45
2015-02,88,35~175,良,49,110,1.811,26,36,71
2015-03,82,44~132,良,38,112,2.506,19,38,86
2015-04,71,36~187,良,28,87,3.31,18,34,101
2015-05,83,55~141,良,31,91,1.806,10,29,123
2015-06,86,52~150,良,31,74,0.773,9,25,137
2015-07,84,49~129,良,26,60,0.816,7,23,139
2015-08,79,50~110,良,26,65,0.874,7,30,132
2015-09,70,38~98,良,30,59,0.8,8,27,117
2015-10,68,36~108,良,32,77,0.99,12,37,92
2015-11,69,40~118,良,43,78,1.57,22,41,51
2015-12,105,32~192,轻度污染,68,123,1.677,42,54,49
2016-01,74,37~150,良,45,86,1.668,47,51,48
2016-02,78,39~189,良,39,95,2.059,37,39,77
2016-03,93,46~292,良,47,118,1.971,24,41,102
2016-04,73,41~146,良,27,88,0.933,9,31,113
2016-05,85,46~164,良,30,89,0.903,7,24,123
2016-06,93,58~130,良,21,54,0.737,7,24,150
2016-07,89,46~145,良,21,46,0.842,5,18,146
2016-08,70,37~115,良,27,54,0.942,6,21,118
2016-09,59,43~77,良,27,58,0.9,8,32,97
2016-10,59,41~80,良,28,63,1.129,10,37,76
2016-11,88,35~159,良,47,120,1.743,33,54,61
2016-12,88,42~150,良,55,98,2.048,43,60,48
2017-01,86,45~228,良,48,86,1.903,43,55,68
2017-02,79,44~140,良,45,86,1.761,37,52,92
2017-03,68,46~96,良,31,66,1.419,22,45,105
2017-04,77,36~154,良,21,65,1.187,10,37,123
2017-05,119,55~500,轻度污染,30,66,1.203,10,37,143
2017-06,109,66~157,轻度污染,28,59,1.183,9,34,170
2017-07,104,52~150,轻度污染,29,59,1.213,8,27,164
2017-08,82,33~120,良,25,55,1.226,9,32,137
2017-09,73,49~117,良,27,69,1.213,11,37,122
2017-10,60,32~88,良,29,65,1.477,13,42,76
2017-11,76,50~100,良,36,95,1.707,29,55,68
2017-12,90,38~133,良,45,87,2.065,45,61,31
2018-01,80,50~147,良,46,93,1.668,38,51,54
2018-02,59,0~115,良,30,63,1.436,34,41,78
2018-03,68,0~139,良,37,83,1.426,20,47,100
2018-04,58,0~100,良,20,58,0.893,11,34,120
2018-05,72,0~136,良,23,60,0.861,9,29,135
2018-06,91,55~141,良,22,57,0.893,9,30,146
2018-07,74,33~135,良,21,37,0.923,8,19,128
2018-08,76,38~116,良,22,44,0.939,8,27,129
2018-09,55,37~77,良,17,44,0.83,8,32,91
2018-10,61,40~83,良,27,58,0.987,13,42,87
