month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,136,136~136,轻度污染,104,193,2.3,120,46,56
2015-01,96,51~146,良,61,130,2.016,81,39,54
2015-02,106,52~287,轻度污染,65,144,2.289,69,29,66
2015-03,114,65~224,轻度污染,61,176,2.223,53,30,87
2015-04,99,46~308,良,44,143,1.466,11,23,97
2015-05,95,51~500,良,51,126,1.048,8,21,108
2015-06,81,55~158,良,35,81,0.92,7,25,121
2015-07,61,46~85,良,23,59,1.703,8,23,108
2015-08,76,60~179,良,27,77,2.658,8,24,108
2015-09,61,38~86,良,21,55,1.29,9,21,104
2015-10,62,45~94,良,29,73,0.99,13,28,74
2015-11,60,42~98,良,28,61,1.843,49,37,60
2015-12,71,46~104,良,37,71,2.81,71,36,55
2016-01,85,50~124,良,51,101,2.932,65,35,59
2016-02,85,34~243,良,35,113,1.459,48,28,71
2016-03,115,46~395,轻度污染,57,167,1.171,28,31,95
2016-04,73,49~92,良,27,68,1.03,7,26,122
2016-05,85,47~184,良,31,101,1.152,8,18,127
2016-06,87,51~266,良,35,90,0.78,8,15,130
2016-07,91,39~500,良,33,82,0.706,8,21,130
2016-08,60,37~97,良,22,46,0.868,8,18,105
2016-09,58,39~72,良,19,40,0.88,11,25,106
2016-10,69,38~157,良,28,86,0.994,13,29,86
2016-11,113,0~500,轻度污染,58,164,1.377,39,41,68
2016-12,99,65~280,良,68,132,1.661,40,42,60
2017-01,113,55~500,轻度污染,52,101,1.51,37,37,60
2017-02,106,50~280,轻度污染,37,66,1.268,29,29,81
2017-03,74,47~138,良,32,71,0.916,22,27,101
2017-04,80,30~238,良,21,52,0.66,7,26,114
2017-05,114,57~391,轻度污染,17,41,0.535,5,25,125
2017-06,86,46~194,良,25,65,0.607,4,24,132
2017-07,73,37~135,良,19,53,0.503,4,20,119
2017-08,71,43~167,良,20,53,0.629,6,20,118
2017-09,67,48~92,良,24,63,0.657,7,27,110
2017-10,67,32~120,良,37,74,0.955,9,30,92
2017-11,80,55~101,良,47,92,1.187,16,37,85
2017-12,146,42~1087,轻度污染,48,83,1.619,21,39,47
2018-01,59,0~106,良,36,74,1.168,15,26,70
2018-02,61,0~109,良,37,67,1.168,12,24,88
2018-03,28,0~80,优,14,34,0.677,8,27,103
2018-04,33,0~85,优,14,37,0.537,5,24,108
2018-05,41,0~89,优,14,36,0.442,4,19,122
2018-06,65,0~92,良,18,49,0.47,2,19,130
2018-07,57,0~99,良,13,37,0.487,4,18,122
2018-08,47,0~75,优,11,25,0.439,5,15,108
2018-09,54,41~71,良,19,47,0.427,7,22,99
2018-10,53,0~98,良,30,58,0.839,9,33,94
2018-11,53,0~87,良,33,64,0.953,9,31,76
2018-12,61,0~107,良,38,76,1.077,11,29,65
2019-01,67,32~113,良,41,79,1.194,13,30,72
2019-02,81,40~164,良,45,109,0.829,10,21,86
2019-03,80,54~199,良,38,107,0.648,6,28,105
2019-04,80,46~172,良,31,96,0.453,4,28,114
2019-05,125,48~500,轻度污染,54,171,0.365,4,20,119
2019-06,71,45~140,良,21,53,0.31,4,19,119
2019-07,75,45~106,良,18,46,0.352,5,23,128
2019-08,73,41~106,良,18,47,0.397,6,20,123
2019-09,75,38~500,良,28,71,0.377,3,24,110
2019-10,54,24~85,良,27,58,0.516,4,26,80
2019-11,62,37~112,良,41,68,0.87,12,32,82
2019-12,61,39~109,良,41,62,0.994,17,37,77
2020-01,84,49~125,良,62,74,1.132,18,32,83
2020-02,76,43~200,良,44,98,0.769,16,19,97
2020-03,76,51~144,良,37,102,0.448,7,19,101
2020-04,86,58~347,良,38,108,0.467,4,23,110
2020-05,87,41~500,良,43,131,0.361,4,20,110
2020-06,70,43~150,良,24,61,0.27,5,21,117
2020-07,74,49~163,良,26,66,0.358,6,23,118
2020-08,62,38~90,良,20,51,0.316,7,20,108
2020-09,59,38~93,良,22,55,0.363,5,23,100
2020-10,62,45~87,良,33,71,0.526,6,28,90
2020-11,85,36~147,良,57,98,0.833,9,32,77
2020-12,74,36~142,良,51,77,0.913,8,27,69
2021-01,96,36~304,良,26,43,0.852,9,25,69
2021-02,70,43~167,良,30,67,0.639,9,16,88
2021-03,211,63~500,重度污染,18,36,0.49,7,20,87
2021-04,101,41~500,轻度污染,19,32,0.347,6,16,103
2021-05,81,57~182,良,15,42,0.271,5,19,116
2021-06,70,41~141,良,16,40,0.313,6,19,112
