month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,182,182~182,中度污染,137,209,1.9,67,91,50
2015-01,79,16~159,良,59,78,1.471,26,32,53
2015-02,69,20~149,良,50,67,1.2,20,25,67
2015-03,59,22~103,良,38,55,1.158,19,22,89
2015-04,54,32~96,良,29,49,1.01,16,22,99
2015-05,52,31~77,良,28,47,0.929,14,20,93
2015-06,44,29~65,优,19,31,0.9,11,18,82
2015-07,55,30~79,良,25,40,0.871,13,24,96
2015-08,41,25~59,优,21,32,0.939,11,25,66
2015-09,38,25~69,优,19,28,0.903,11,23,61
2015-10,49,25~74,优,31,47,1.077,13,25,77
2015-11,47,28~87,优,31,46,1.227,17,27,56
2015-12,49,25~102,优,31,44,1.042,19,28,41
2016-01,51,28~92,良,32,49,1.242,15,27,48
2016-02,63,27~139,良,44,63,1.148,15,23,73
2016-03,57,32~113,良,36,55,0.784,18,28,84
2016-04,47,29~75,优,24,38,0.71,16,23,84
2016-05,53,27~80,良,26,42,0.784,15,22,97
2016-06,45,28~80,优,17,29,0.837,16,21,80
2016-07,42,28~63,优,17,29,0.903,15,23,79
2016-08,42,24~65,优,20,31,0.935,13,22,78
2016-09,46,27~78,优,25,37,1.01,13,26,79
2016-10,42,23~69,优,23,34,0.923,14,24,61
2016-11,54,23~109,良,36,48,0.757,11,28,55
2016-12,66,28~138,良,47,58,0.99,16,34,46
2017-01,63,23~149,良,45,52,1.29,15,27,42
2017-02,52,23~98,良,36,43,1.271,13,23,55
2017-03,41,26~82,优,23,31,1.097,16,23,60
2017-04,60,30~110,良,32,48,1.143,19,23,103
2017-05,69,39~106,良,26,41,0.89,11,20,122
2017-06,53,33~97,良,19,34,0.957,8,18,96
2017-07,55,25~97,良,23,50,0.9,8,20,94
2017-08,57,33~80,良,27,60,0.752,12,19,101
2017-09,56,30~94,良,30,54,0.833,11,17,92
2017-10,43,22~103,优,25,43,0.852,11,18,68
2017-11,65,24~138,良,46,76,0.987,10,24,71
2017-12,83,25~228,良,59,94,1.21,15,33,49
2018-01,57,25~117,良,39,61,1.184,14,25,54
2018-02,63,28~123,良,44,63,0.961,10,15,78
2018-03,62,29~92,良,38,67,0.942,11,21,97
2018-04,64,32~95,良,32,64,0.837,13,19,110
2018-05,61,31~93,良,25,52,0.794,14,18,105
2018-06,48,26~85,优,18,33,0.643,7,16,87
2018-07,44,31~64,优,17,30,0.687,8,12,84
2018-08,52,29~81,良,22,37,0.823,10,16,95
2018-09,38,27~63,优,16,29,0.86,9,13,71
2018-10,34,20~63,优,17,29,0.839,11,17,51
