month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,117,117~117,轻度污染,89,142,0.8,59,52,113
2015-01,126,44~205,轻度污染,95,123,1.071,66,44,71
2015-02,104,39~195,轻度污染,78,98,0.964,27,36,76
2015-03,72,51~110,良,53,68,0.865,25,33,59
2015-04,79,39~113,良,57,76,0.657,36,32,101
2015-05,77,51~112,良,56,75,0.681,32,29,92
2015-06,62,41~87,良,45,61,0.57,30,19,73
2015-07,74,42~129,良,52,74,0.61,40,23,79
2015-08,62,42~111,良,41,65,0.561,36,21,87
2015-09,72,36~124,良,48,73,0.64,31,24,104
2015-10,69,34~106,良,36,59,0.7,28,35,111
2015-11,40,24~57,优,26,38,0.803,15,27,47
2015-12,67,27~135,良,47,72,0.887,17,31,52
2016-01,62,30~115,良,41,67,1.129,18,31,56
2016-02,64,35~137,良,39,70,0.817,14,29,91
2016-03,72,31~120,良,50,78,0.816,20,33,84
2016-04,52,33~79,良,33,48,0.797,19,25,76
2016-05,62,36~117,良,39,59,0.713,22,27,89
2016-06,44,32~72,优,24,43,0.587,18,21,77
2016-07,50,24~88,良,29,53,0.51,19,12,72
2016-08,68,40~124,良,45,69,0.548,15,14,97
2016-09,87,32~139,良,62,91,0.56,21,21,121
2016-10,65,30~108,良,43,69,0.565,22,16,79
2016-11,63,25~147,良,44,70,0.587,22,22,60
2016-12,108,42~196,轻度污染,81,116,0.845,23,32,72
2017-01,117,40~239,轻度污染,89,120,0.997,13,25,69
2017-02,82,36~228,良,62,85,0.789,13,21,78
2017-03,59,29~103,良,41,61,0.768,12,22,68
2017-04,61,23~105,良,35,59,0.66,15,22,98
2017-05,71,30~163,良,29,49,0.581,8,25,112
2017-06,39,24~60,优,19,31,0.61,6,14,68
2017-07,38,18~77,优,16,29,0.574,8,12,74
2017-08,36,22~60,优,18,31,0.587,7,11,68
2017-09,59,27~105,良,36,56,0.727,10,16,96
2017-10,63,24~125,良,44,66,0.732,11,18,89
2017-11,95,41~160,良,70,98,0.8,17,34,76
2017-12,112,34~183,轻度污染,82,115,0.884,21,44,48
2018-01,93,29~208,良,69,94,0.826,13,35,53
2018-02,89,28~162,良,66,95,0.746,10,38,75
2018-03,63,24~98,良,44,60,0.706,12,30,78
2018-04,59,30~91,良,37,67,0.553,14,20,86
2018-05,46,0~92,优,27,46,0.552,10,15,83
2018-06,47,26~93,优,29,37,0.63,7,11,84
2018-07,41,29~58,优,27,37,0.542,8,10,73
2018-08,57,29~96,良,32,54,0.594,8,12,90
2018-09,64,23~100,良,40,58,0.55,10,14,98
2018-10,79,32~135,良,47,67,0.571,11,26,115
2018-11,70,28~112,良,50,66,0.657,7,29,74
2018-12,83,26~173,良,61,78,0.826,6,30,42
2019-01,111,35~234,轻度污染,83,103,1.148,7,37,55
2019-02,53,23~153,良,37,51,0.818,6,24,52
2019-03,54,30~107,良,37,52,0.623,8,33,65
2019-04,46,30~84,优,27,41,0.583,10,28,71
2019-05,57,32~95,良,33,55,0.594,9,26,94
2019-06,45,25~85,优,19,30,0.45,7,12,86
2019-07,40,21~89,优,15,24,0.435,8,12,76
2019-08,69,32~104,良,27,41,0.523,9,17,121
2019-09,88,42~139,良,37,57,0.603,10,24,144
2019-10,61,25~120,良,36,55,0.658,9,28,94
2019-11,76,28~117,良,50,79,0.64,10,35,99
2019-12,84,32~148,良,61,86,0.819,11,43,70
2020-01,62,29~110,良,44,58,0.835,5,27,55
2020-02,55,28~92,良,37,48,0.6,3,20,63
2020-03,46,22~95,优,29,42,0.542,5,20,64
2020-04,62,29~104,良,34,50,0.503,9,21,100
2020-05,55,30~100,良,26,40,0.529,8,15,98
2020-06,33,24~43,优,12,17,0.427,6,12,66
2020-07,36,24~50,优,12,21,0.429,7,11,72
2020-08,46,22~106,优,14,23,0.439,8,12,86
2020-09,52,31~101,良,27,38,0.677,7,14,92
2020-10,63,23~108,良,41,61,0.69,8,22,95
2020-11,72,25~112,良,44,67,0.787,10,31,94
2020-12,98,40~205,良,73,96,0.961,11,40,63
2021-01,93,54~182,良,68,99,0.906,13,44,86
2021-02,59,23~107,良,40,48,0.775,5,17,76
2021-03,55,22~132,良,32,45,0.842,8,19,59
2021-04,40,22~67,优,24,32,0.793,8,15,67
2021-05,44,24~79,优,19,30,0.648,8,12,82
2021-06,50,22~91,优,22,34,0.64,9,11,90
2021-07,46,26~73,优,17,31,0.6,10,8,89
2021-08,43,27~84,优,18,32,0.652,8,9,82
2021-09,62,37~98,良,25,41,0.663,11,12,112
2021-10,52,23~82,良,31,42,0.632,7,16,86
2021-11,56,28~107,良,35,53,0.683,7,24,82
2021-12,82,40~168,良,60,80,0.803,9,32,85
2022-01,69,24~132,良,50,52,0.929,5,21,49
2022-02,55,28~97,良,39,26,0.693,4,12,67
2022-03,56,25~88,良,36,47,0.71,8,17,85
2022-04,57,31~100,良,31,42,0.63,10,14,101
2022-05,53,29~107,良,29,41,0.655,9,14,91
2022-06,38,22~79,优,17,28,0.507,8,8,72
2022-07,39,22~65,优,14,24,0.39,9,7,76
2022-08,45,32~75,优,14,25,0.426,8,8,87
2022-09,105,58~132,轻度污染,38,65,0.633,13,16,165
2022-10,77,30~128,良,36,54,0.539,11,18,122
2022-11,53,20~94,良,32,49,0.647,9,19,73
2022-12,80,33~170,良,59,83,0.677,10,25,71
2023-01,92,32~189,良,67,93,0.781,6,21,81
2023-02,72,23~133,良,53,65,0.857,7,25,64
2023-03,67,23~123,良,42,74,0.757,9,20,92
2023-04,55,23~91,良,28,52,0.74,9,14,92
2023-05,49,32~77,优,26,42,0.648,9,12,90
2023-06,50,27~82,优,23,32,0.62,9,9,93
2023-07,44,33~90,优,17,28,0.497,8,8,86
2023-08,56,33~98,良,23,33,0.606,10,10,103
2023-09,50,32~81,良,27,36,0.547,9,10,91
2023-10,62,32~90,良,37,50,0.626,9,15,105
2023-11,61,20~97,良,40,63,0.723,10,21,85
2023-12,72,26~222,良,51,69,0.768,11,24,44
2024-01,84,28~202,良,62,75,0.977,10,24,62
2024-02,56,20~166,良,38,47,0.745,7,13,72
2024-03,58,31~94,良,35,49,0.723,9,15,88
2024-04,52,32~74,良,30,41,0.787,10,12,93
2024-05,59,26~103,良,28,42,0.774,9,12,103
2024-06,38,23~77,优,16,22,0.667,8,8,74
2024-07,38,25~72,优,12,19,0.571,8,6,76
2024-08,43,27~64,优,19,27,0.668,9,7,83
2024-09,57,38~91,良,30,40,0.707,9,9,104
2024-10,69,24~145,良,38,52,0.742,9,13,111
2024-11,69,19~100,良,45,60,0.737,11,18,101
2024-12,91,40~144,良,67,84,0.787,10,23,90
2025-01,106,40~271,轻度污染,79,101,0.855,10,23,99
2025-02,62,22~124,良,43,56,0.721,7,13,66
2025-03,59,23~110,良,36,52,0.558,8,13,92
2025-04,114,50~286,轻度污染,64,138,0.656,11,16,108
