month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,143,143~143,轻度污染,110,146,1.4,91,95,68
2014-01,143,55~273,轻度污染,110,85,1.323,58,67,58
2014-02,97,34~244,良,72,66,1.141,41,38,64
2014-03,104,43~217,轻度污染,78,89,1.174,46,50,83
2014-04,94,48~193,良,70,84,1.117,51,52,97
2014-05,114,56~198,轻度污染,79,135,1.216,58,62,147
2014-06,112,45~214,轻度污染,76,94,1.14,51,38,148
2014-07,99,48~197,良,59,93,1.152,44,40,134
2014-08,83,42~200,良,51,86,1.074,33,42,109
2014-09,68,42~127,良,41,75,1.003,38,42,106
2014-10,82,60~155,良,54,93,0.961,41,50,112
2014-11,114,64~262,轻度污染,86,112,1.107,44,53,77
2014-12,124,60~205,轻度污染,93,137,1.135,51,59,41
2015-01,136,46~238,轻度污染,103,151,1.158,44,56,43
2015-02,105,38~241,轻度污染,78,118,1.014,32,35,58
2015-03,97,52~191,良,69,108,0.968,33,38,66
2015-04,97,49~208,良,70,118,0.983,38,48,91
2015-05,83,44~174,良,57,99,1.039,35,39,102
2015-06,84,35~142,良,56,95,0.987,29,38,103
2015-07,82,28~183,良,56,83,0.965,28,39,103
2015-08,78,29~149,良,45,79,1.19,26,34,117
2015-09,73,49~155,良,43,71,0.923,23,34,118
2015-10,101,48~205,轻度污染,74,121,0.987,35,50,109
2015-11,93,33~210,良,69,98,1.053,30,42,59
2015-12,136,59~260,轻度污染,102,147,1.168,34,51,46
2016-01,115,47~238,轻度污染,84,123,1.074,38,50,64
2016-02,103,36~203,轻度污染,76,116,1.093,36,45,84
2016-03,112,43~213,轻度污染,82,130,1.087,28,65,82
2016-04,100,54~166,良,71,112,1.013,25,58,114
2016-05,102,41~202,轻度污染,66,112,1.016,21,48,121
2016-06,80,41~130,良,52,80,0.957,23,45,106
2016-07,88,39~172,良,50,79,0.945,27,44,114
2016-08,71,30~144,良,28,58,0.797,25,33,116
2016-09,79,24~154,良,45,75,0.86,24,42,115
2016-10,57,32~110,良,35,57,0.806,20,39,67
2016-11,92,34~189,良,66,100,0.937,21,54,54
2016-12,113,37~213,轻度污染,84,120,1.01,24,59,58
2017-01,94,38~252,良,69,99,0.971,16,42,61
2017-02,100,44~189,轻度污染,74,104,0.971,20,45,80
2017-03,88,48~142,良,64,99,0.9,20,52,93
2017-04,103,51~157,轻度污染,63,109,0.903,26,51,130
2017-05,107,44~192,轻度污染,53,96,0.755,18,47,148
2017-06,101,40~189,轻度污染,56,78,0.867,16,43,146
2017-07,80,33~185,良,41,61,0.9,16,43,122
2017-08,81,40~156,良,38,53,0.955,13,35,128
2017-09,69,38~138,良,39,57,0.867,12,41,106
2017-10,62,35~115,良,38,62,0.784,11,42,96
2017-11,93,41~163,良,62,106,0.91,15,66,73
2017-12,119,55~326,轻度污染,86,130,1.126,17,76,30
2018-01,120,36~274,轻度污染,90,122,1.148,18,55,55
2018-02,92,39~223,良,65,102,1.046,16,44,75
2018-03,87,43~140,良,62,94,1.097,14,54,90
2018-04,98,52~158,良,59,120,1.013,18,58,124
2018-05,94,37~202,良,57,93,1.052,13,50,117
2018-06,100,40~185,良,43,67,0.88,14,35,154
2018-07,86,25~207,良,32,51,0.913,13,32,134
2018-08,69,30~151,良,24,40,0.935,15,25,116
2018-09,71,39~158,良,34,54,0.97,16,35,118
2018-10,71,43~134,良,43,72,0.813,15,43,110
2018-11,87,39~240,良,62,87,0.963,13,54,71
2018-12,77,29~160,良,52,80,0.881,12,43,45
2019-01,92,39~176,良,67,96,0.958,13,44,51
2019-02,84,37~168,良,60,82,1.107,9,33,83
2019-03,86,43~134,良,60,95,0.932,12,48,96
2019-04,71,37~130,良,43,68,0.777,11,42,107
2019-05,97,35~202,良,35,68,0.697,11,44,145
2019-06,104,45~193,轻度污染,31,46,0.797,9,34,158
2019-07,91,22~179,良,28,43,0.852,10,35,145
2019-08,91,28~202,良,26,42,0.984,14,32,143
2019-09,73,27~159,良,26,42,0.887,12,32,121
2019-10,75,27~168,良,40,75,1.016,14,42,107
2019-11,75,29~127,良,40,87,0.93,13,52,74
2019-12,88,33~168,良,63,86,0.981,14,57,61
2020-01,95,35~242,良,69,86,0.974,12,40,59
2020-02,56,29~95,良,37,51,0.824,11,29,79
2020-03,61,32~102,良,35,57,0.742,12,40,91
2020-04,82,46~162,良,41,72,0.847,12,47,129
2020-05,92,42~174,良,35,62,0.89,11,38,148
2020-06,78,42~135,良,24,38,0.783,9,32,128
