month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,83,83~83,良,48,117,0.4,12,27,42
2015-01,82,25~196,良,60,81,1.048,23,40,49
2015-02,56,23~102,良,40,52,0.9,22,20,52
2015-03,40,19~75,优,25,40,0.823,20,19,49
2015-04,44,26~82,优,27,44,0.787,20,23,61
2015-05,74,28~224,良,52,78,0.813,28,28,86
2015-06,53,27~111,良,30,53,0.707,15,21,86
2015-07,33,22~59,优,18,31,0.59,12,15,56
2015-08,50,20~95,优,23,41,0.619,10,15,85
2015-09,50,28~74,良,24,44,0.77,11,17,93
2015-10,56,23~84,良,35,64,0.777,18,22,75
2015-11,45,25~71,优,27,45,0.94,17,26,42
2015-12,81,27~317,良,52,84,1.11,22,38,28
2016-01,124,39~334,轻度污染,91,132,1.035,25,39,35
2016-02,59,25~134,良,38,56,1.024,20,31,52
2016-03,81,39~188,良,56,99,1.213,22,31,72
2016-04,74,38~130,良,39,63,1.08,23,32,113
2016-05,58,36~119,良,30,52,0.797,21,30,92
2016-06,45,32~64,优,20,32,0.7,21,29,79
2016-07,50,28~120,优,14,22,0.606,19,24,89
2016-08,70,28~131,良,11,21,0.677,19,23,120
2016-09,59,25~100,良,32,46,0.677,14,27,91
2016-10,58,33~107,良,39,57,0.852,19,33,43
2016-11,89,33~160,良,65,94,0.927,20,42,47
2016-12,126,48~206,轻度污染,95,131,1.113,23,54,42
2017-01,136,47~294,轻度污染,106,139,1.19,24,39,43
2017-02,115,68~170,轻度污染,87,111,1.018,22,35,63
2017-03,92,50~144,良,69,96,0.926,18,40,82
2017-04,84,51~117,良,57,90,0.887,18,36,111
2017-05,97,41~145,良,48,70,0.661,12,27,144
2017-06,73,35~152,良,42,56,0.647,18,21,118
2017-07,63,30~164,良,32,52,0.555,18,20,110
2017-08,58,30~118,良,32,55,0.719,15,23,97
2017-09,62,34~89,良,38,71,0.907,14,30,84
2017-10,75,38~123,良,51,91,0.9,19,42,77
2017-11,92,52~158,良,65,109,0.95,16,49,78
2017-12,116,44~255,轻度污染,87,123,1.097,15,58,39
2018-01,117,0~254,轻度污染,88,114,0.974,14,48,58
2018-02,99,40~218,良,71,103,0.846,15,41,64
2018-03,67,35~98,良,44,67,0.765,11,41,87
2018-04,62,0~113,良,34,69,0.76,7,32,103
2018-05,61,34~110,良,30,50,0.69,9,24,102
2018-06,74,32~135,良,25,38,0.637,7,19,127
2018-07,62,36~108,良,18,31,0.548,7,18,112
2018-08,63,23~131,良,23,36,0.59,13,21,110
2018-09,61,27~111,良,27,47,0.623,13,24,105
2018-10,66,38~113,良,39,65,0.642,11,32,99
2018-11,64,27~208,良,42,59,0.777,8,39,61
2018-12,89,32~222,良,61,79,0.765,15,47,39
2019-01,111,38~276,轻度污染,81,104,1.09,12,53,40
2019-02,95,34~238,良,70,82,0.95,8,38,49
2019-03,69,46~113,良,45,59,0.79,9,39,96
2019-04,70,39~148,良,35,49,0.813,9,31,107
2019-05,89,36~139,良,32,59,0.7,10,28,145
2019-06,78,31~137,良,24,35,0.727,9,21,130
