month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-01,232,77~402,重度污染,186,247,3.1,256,53,36
2013-02,118,62~267,轻度污染,81,122,1.643,153,30,63
2013-03,109,56~262,轻度污染,73,129,1.423,103,31,74
2013-04,91,50~179,良,58,118,1.26,31,27,90
2013-05,104,56~255,轻度污染,70,144,1.087,34,37,131
2013-06,84,51~152,良,52,90,0.93,23,43,123
2013-07,73,42~128,良,40,83,0.832,20,41,111
2013-08,77,35~138,良,50,94,0.984,27,33,105
2013-09,76,41~185,良,46,88,0.953,40,46,90
2013-10,114,44~264,轻度污染,83,130,1.606,54,57,62
2013-11,113,56~283,轻度污染,75,124,1.657,132,57,35
2013-12,163,78~345,中度污染,122,171,1.8,215,66,27
2014-01,130,81~233,轻度污染,90,136,1.258,197,58,38
2014-02,137,0~308,轻度污染,100,146,1.314,178,59,58
2014-03,114,58~234,轻度污染,81,133,1.052,101,56,78
2014-04,100,56~180,良,67,134,0.96,40,52,109
2014-05,84,46~167,良,49,99,0.861,29,47,122
2014-06,87,40~160,良,50,81,0.827,23,43,134
2014-07,97,49~182,良,55,95,0.923,23,35,147
2014-08,98,49~170,良,50,94,1.026,28,41,148
2014-09,77,40~138,良,45,88,0.933,31,53,107
2014-10,142,50~500,轻度污染,112,171,1.126,43,58,94
2014-11,145,59~323,轻度污染,107,176,1.383,128,67,48
2014-12,125,63~257,轻度污染,86,135,1.255,169,57,34
2015-01,157,81~370,中度污染,115,163,1.613,200,67,34
2015-02,152,70~500,中度污染,105,190,1.3,157,56,46
2015-03,107,58~193,轻度污染,75,133,0.948,81,50,68
2015-04,99,49~144,良,65,123,0.88,27,46,97
2015-05,96,41~183,良,44,96,0.713,20,36,136
2015-06,83,41~124,良,38,63,0.83,16,39,137
2015-07,77,34~161,良,36,65,0.745,11,36,127
2015-08,76,38~142,良,32,57,0.752,13,35,126
2015-09,69,39~107,良,37,71,0.81,20,46,102
2015-10,98,38~307,良,69,105,0.942,28,48,78
2015-11,166,58~500,中度污染,145,174,1.327,94,58,51
2015-12,141,53~289,轻度污染,105,143,1.474,127,56,36
2016-01,105,57~169,轻度污染,77,119,1.113,114,50,54
2016-02,83,53~144,良,54,92,0.893,91,40,74
2016-03,114,40~350,轻度污染,67,151,0.919,59,43,103
2016-04,87,64~172,良,45,108,0.733,20,35,115
2016-05,88,50~146,良,39,89,0.752,20,37,137
2016-06,80,38~127,良,36,66,0.8,17,37,132
2016-07,87,32~146,良,38,61,0.832,13,28,139
