month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,170,22~363,中度污染,133,162,2.652,103,52,40
2014-01,176,67~356,中度污染,139,194,2.319,87,47,38
2014-02,142,42~308,轻度污染,109,139,1.95,55,27,66
2014-03,136,62~223,轻度污染,101,153,1.432,54,32,86
2014-04,113,63~200,轻度污染,78,130,0.923,30,26,129
2014-05,121,63~245,轻度污染,69,126,0.894,36,28,164
2014-06,116,66~182,轻度污染,63,90,0.71,27,24,164
2014-07,119,48~226,轻度污染,83,120,0.719,24,26,143
2014-08,97,50~132,良,55,115,0.757,18,16,143
2014-09,87,43~179,良,53,103,1.113,20,36,109
2014-10,133,62~241,轻度污染,96,170,1.023,35,56,93
2014-11,145,62~408,轻度污染,110,181,1.597,43,50,51
2014-12,135,61~273,轻度污染,99,175,2.116,92,66,36
2015-01,124,46~319,轻度污染,93,160,2.165,89,64,36
2015-02,111,47~262,轻度污染,80,146,1.618,65,49,64
2015-03,112,57~316,轻度污染,69,161,1.052,43,45,91
2015-04,97,54~159,良,61,132,0.71,26,34,119
2015-05,103,54~170,轻度污染,54,118,0.655,27,35,156
2015-06,98,39~145,良,58,102,0.797,27,30,151
2015-07,79,43~134,良,53,77,0.477,18,21,113
2015-08,94,35~144,良,52,77,0.755,20,32,142
2015-09,68,27~120,良,36,65,0.903,31,39,103
2015-10,82,25~163,良,53,97,1.068,31,41,73
2015-11,121,40~421,轻度污染,92,126,1.787,46,51,51
2015-12,176,47~417,中度污染,138,197,2.684,57,53,28
2016-01,115,43~346,轻度污染,85,123,2.032,57,59,43
2016-02,83,36~210,良,56,92,1.645,50,44,74
2016-03,101,52~210,轻度污染,67,128,1.229,45,55,98
2016-04,93,49~190,良,57,116,1.01,29,43,122
2016-05,95,56~158,良,46,96,0.768,30,42,146
2016-06,106,0~181,轻度污染,47,81,0.773,25,32,162
2016-07,96,48~151,良,56,75,0.758,18,23,146
2016-08,73,37~126,良,41,61,0.768,14,28,114
2016-09,105,45~161,轻度污染,44,76,0.833,25,43,158
2016-10,102,54~198,轻度污染,73,106,0.939,30,56,85
2016-11,136,48~254,轻度污染,103,153,1.64,43,62,48
2016-12,183,69~363,中度污染,142,201,2.539,67,78,32
2017-01,150,42~298,中度污染,117,168,2.235,57,60,45
2017-02,125,44~285,轻度污染,94,133,1.625,57,58,80
2017-03,95,48~206,良,68,107,0.939,38,51,107
2017-04,90,54~138,良,56,105,0.8,32,43,120
2017-05,145,67~500,轻度污染,44,98,0.723,26,34,175
2017-06,136,59~200,轻度污染,51,84,0.69,22,35,196
2017-07,99,40~182,良,48,68,0.735,16,28,152
2017-08,93,45~146,良,39,62,0.732,16,33,149
2017-09,105,43~158,轻度污染,49,87,0.727,23,44,163
2017-10,93,37~255,良,64,98,0.958,20,56,83
2017-11,91,52~194,良,63,109,1.047,29,57,57
2017-12,125,43~325,轻度污染,90,137,1.619,39,63,25
