month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,98,98~98,良,73,102,1.2,25,42,89
2015-01,93,24~153,良,69,89,1.442,22,27,55
2015-02,88,23~186,良,65,85,1.525,13,24,39
2015-03,72,19~163,良,53,70,1.245,16,16,54
2015-04,73,36~139,良,45,71,1.017,16,16,116
2015-05,55,36~75,良,33,50,1.161,16,12,90
2015-06,40,26~53,优,24,38,1.047,6,12,63
2015-07,54,26~88,良,34,52,1.155,21,15,86
2015-08,63,32~128,良,38,63,1.123,42,18,88
2015-09,59,29~110,良,38,63,1.263,29,24,62
2015-10,76,30~120,良,54,84,1.626,43,31,89
2015-11,56,32~97,良,35,55,1.607,30,25,50
2015-12,60,31~130,良,39,59,1.4,24,29,52
2016-01,58,28~118,良,38,55,1.394,23,27,55
2016-02,80,36~214,良,57,77,1.131,24,28,98
2016-03,67,38~104,良,45,66,1.106,10,32,74
2016-04,52,32~94,良,30,54,1.043,8,28,63
2016-05,47,25~72,优,27,49,0.997,6,25,58
2016-06,41,27~57,优,16,34,0.723,7,21,77
2016-07,43,23~85,优,18,37,0.635,7,22,77
2016-08,48,24~110,优,22,42,0.635,9,21,87
2016-09,64,25~99,良,38,63,0.837,14,30,105
2016-10,54,26~86,良,29,54,0.906,13,27,91
2016-11,49,20~99,优,29,53,0.957,11,24,61
2016-12,87,28~172,良,63,93,1.039,17,35,74
2017-01,87,24~206,良,64,79,1.135,10,26,62
2017-02,73,31~164,良,53,69,0.904,6,25,75
2017-03,56,20~137,良,38,52,0.923,6,24,54
2017-04,56,32~81,良,34,57,0.773,7,23,87
2017-05,58,30~116,良,30,55,0.774,10,26,87
2017-06,41,26~59,优,20,41,0.747,9,19,68
2017-07,42,24~74,优,20,43,0.771,9,21,70
2017-08,41,24~62,优,17,40,0.732,6,19,71
2017-09,48,33~68,优,22,50,0.877,11,22,76
2017-10,57,25~100,良,30,59,0.932,12,26,90
2017-11,65,28~109,良,41,76,0.973,10,30,62
2017-12,76,27~124,良,53,100,1.074,13,36,41
2018-01,72,23~125,良,47,84,1.123,10,27,40
2018-02,79,25~256,良,54,100,1.018,10,23,68
2018-03,59,20~92,良,35,69,0.832,8,25,65
2018-04,54,0~90,良,28,65,0.803,6,22,72
2018-05,41,26~52,优,18,37,0.884,6,18,74
2018-06,39,23~61,优,15,33,1.113,7,17,70
2018-07,37,23~65,优,16,32,0.61,6,15,68
2018-08,40,20~66,优,18,34,0.681,7,14,71
2018-09,44,19~67,优,22,41,0.757,5,18,71
