month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,88,15~166,良,64,98,1.183,32,38,93
2014-01,96,44~166,良,71,100,1.352,24,38,106
2014-02,52,16~100,良,36,47,1.432,11,22,72
2014-03,57,18~98,良,39,58,1.361,15,25,70
2014-04,63,38~111,良,41,58,0.993,15,27,96
2014-05,46,25~101,优,25,37,0.945,11,29,80
2014-06,56,30~116,良,31,47,0.86,14,24,97
2014-07,67,32~149,良,35,50,0.861,15,22,109
2014-08,59,21~110,良,29,42,0.777,12,21,104
2014-09,54,25~107,良,31,48,0.783,12,21,94
2014-10,88,55~133,良,57,88,0.932,18,33,134
2014-11,65,25~95,良,44,63,1.023,16,33,87
2014-12,69,33~119,良,46,75,0.952,23,40,78
2015-01,73,27~110,良,53,78,1.023,17,41,87
2015-02,72,30~141,良,51,67,1.029,10,31,88
2015-03,44,14~78,优,29,39,0.994,7,26,66
2015-04,67,27~144,良,39,55,0.871,11,26,103
2015-05,41,27~68,优,23,32,0.952,7,25,72
2015-06,53,27~89,良,22,35,0.777,8,21,97
2015-07,48,20~95,优,25,37,0.735,7,14,88
2015-08,58,23~133,良,29,45,0.81,9,16,103
2015-09,67,25~130,良,37,56,0.94,9,18,114
2015-10,62,26~96,良,37,58,0.932,13,21,105
2015-11,50,25~82,良,33,51,0.983,11,22,63
2015-12,51,23~92,良,34,49,0.994,10,24,51
2016-01,44,22~83,优,26,37,1.003,7,21,50
2016-02,51,21~124,良,34,45,0.828,6,18,72
2016-03,57,25~118,良,37,52,1.042,7,27,72
2016-04,53,26~113,良,32,45,0.947,7,20,81
2016-05,51,29~82,良,31,46,0.848,8,14,90
2016-06,48,0~109,优,20,33,0.707,7,12,87
2016-07,56,0~130,良,28,43,0.681,7,13,97
2016-08,54,26~123,良,31,45,0.742,6,14,94
2016-09,50,27~87,良,31,45,0.8,7,14,91
2016-10,45,26~63,优,29,43,0.906,7,14,67
2016-11,51,20~97,良,33,53,0.937,8,25,67
2016-12,63,28~89,良,44,68,1.013,9,33,84
2017-01,61,27~149,良,43,58,1.087,6,25,78
2017-02,58,27~100,良,37,50,1.089,6,24,95
2017-03,49,28~71,优,27,47,0.974,6,27,70
2017-04,62,31~138,良,29,53,0.87,7,26,100
2017-05,62,30~110,良,27,51,0.842,7,21,110
2017-06,43,20~80,优,17,33,0.833,5,17,80
2017-07,40,24~80,优,18,34,0.81,6,18,74
2017-08,59,19~144,良,21,39,0.81,6,20,106
2017-09,50,27~77,优,26,46,0.93,7,21,86
2017-10,56,24~96,良,30,49,0.952,9,19,95
2017-11,55,25~103,良,34,52,0.957,9,26,78
2017-12,65,24~101,良,44,66,0.952,13,33,54
2018-01,56,20~104,良,37,54,0.987,8,26,70
2018-02,55,20~168,良,38,49,0.779,7,16,77
2018-03,54,28~94,良,26,41,0.758,7,20,94
2018-04,64,29~128,良,31,54,0.717,8,19,105
2018-05,71,29~126,良,27,37,0.723,7,16,123
2018-06,49,15~90,优,23,29,0.693,7,12,91
2018-07,45,23~108,优,21,33,0.687,8,13,83
2018-08,43,15~75,优,16,29,0.803,7,16,84
2018-09,45,18~85,优,23,38,0.717,7,17,84
2018-10,56,20~79,良,29,50,0.758,10,23,95
2018-11,46,23~73,优,28,43,0.817,9,25,74
2018-12,42,22~77,优,26,40,0.897,7,26,49
2019-01,49,25~92,优,33,45,1.148,7,27,65
2019-02,39,23~70,优,22,29,1.161,5,17,54
2019-03,45,25~64,优,26,35,1.042,6,22,74
2019-04,43,25~74,优,22,34,0.963,6,24,69
2019-05,44,25~87,优,18,35,0.739,6,18,83
2019-06,43,21~68,优,12,27,0.67,6,15,83
2019-07,45,24~75,优,16,33,0.735,7,16,85
2019-08,50,21~107,优,17,32,0.797,7,15,92
2019-09,71,26~122,良,24,44,0.827,10,20,122
2019-10,68,32~111,良,35,62,0.877,11,25,114
2019-11,65,32~97,良,33,66,0.823,13,31,111
2019-12,56,30~77,良,34,60,1.003,13,34,77
2020-01,49,23~84,优,31,43,0.997,9,21,72
2020-02,39,18~59,优,21,26,0.621,6,14,73
2020-03,42,20~65,优,21,32,0.739,7,23,72
2020-04,61,25~125,良,25,41,0.703,8,27,103
2020-05,55,27~90,良,19,33,0.635,7,17,101
2020-06,50,27~82,优,11,24,0.607,4,17,93
2020-07,56,27~130,良,15,32,0.665,5,17,103
2020-08,43,18~88,优,14,31,0.723,5,17,80
2020-09,45,22~90,优,18,32,0.73,6,15,84
2020-10,57,28~91,良,28,43,0.803,9,16,101
2020-11,57,27~95,良,30,51,0.767,10,23,96
2020-12,51,20~75,良,35,50,0.845,10,24,74
2021-01,62,37~102,良,36,63,0.848,10,33,99
2021-02,57,20~92,良,24,38,0.739,6,18,103
2021-03,56,30~92,良,26,50,0.839,7,22,93
2021-04,62,23~120,良,23,43,0.73,7,20,106
2021-05,66,25~169,良,17,37,0.674,6,19,115
2021-06,47,21~83,优,12,27,0.767,6,15,88
2021-07,49,26~102,优,16,36,0.652,6,14,91
2021-08,47,24~85,优,12,30,0.677,6,15,89
2021-09,57,26~117,良,17,37,0.787,6,14,103
2021-10,46,22~75,优,19,31,0.8,7,13,86
2021-11,48,27~61,优,21,39,0.767,9,21,90
2021-12,50,25~79,优,28,39,0.845,8,25,82
2022-01,41,23~72,优,24,30,0.935,4,23,70
2022-02,31,20~62,优,13,14,0.789,3,13,58
2022-03,49,23~79,优,19,33,0.777,4,19,91
2022-04,54,21~112,良,18,33,0.7,4,17,97
2022-05,50,20~133,优,14,25,0.716,3,16,90
2022-06,36,18~74,优,8,18,0.637,3,12,68
2022-07,59,19~124,良,15,32,0.587,3,13,102
2022-08,41,21~100,优,10,25,0.629,4,11,77
2022-09,76,36~106,良,25,48,0.807,5,14,129
2022-10,67,29~113,良,21,44,0.674,6,13,118
2022-11,37,18~63,优,18,31,0.787,5,17,65
