month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,72,19~120,良,50,84,0.853,15,26,83
2014-01,85,41~327,良,57,100,0.881,14,30,84
2014-02,45,17~89,优,27,46,0.793,5,22,61
2014-03,67,26~114,良,39,84,0.9,10,26,68
2014-04,63,41~113,良,33,77,0.827,10,24,74
2014-05,60,26~102,良,34,69,0.913,6,22,69
2014-06,52,24~82,良,26,58,0.607,6,14,56
2014-07,54,24~109,良,24,62,0.594,9,13,53
2014-08,58,20~94,良,31,70,0.565,11,19,64
2014-09,47,28~88,优,26,50,0.54,10,16,67
2014-10,53,35~82,良,29,56,0.6,7,17,86
2014-11,48,33~81,优,28,49,0.633,9,22,72
2014-12,53,27~73,良,33,58,0.587,10,27,69
2015-01,64,29~150,良,42,66,0.771,11,36,84
2015-02,53,32~88,良,35,53,0.671,7,23,85
2015-03,54,25~94,良,29,55,0.645,9,27,87
2015-04,59,31~86,良,29,57,0.703,11,25,94
2015-05,61,30~106,良,29,62,0.697,11,23,91
2015-06,54,30~81,良,22,56,0.537,14,19,85
2015-07,49,22~82,优,21,50,0.565,11,16,82
2015-08,43,18~89,优,19,42,0.574,13,18,74
2015-09,51,30~76,良,24,48,0.607,11,18,89
2015-10,52,26~110,良,26,50,0.606,8,19,87
2015-11,42,25~73,优,22,40,0.687,8,21,75
2015-12,45,27~70,优,25,44,0.768,9,29,54
2016-01,49,25~82,优,28,46,0.852,10,31,59
2016-02,58,25~254,良,38,63,0.703,8,22,70
2016-03,63,31~105,良,38,62,0.794,11,40,84
2016-04,59,35~98,良,32,59,0.723,14,36,80
2016-05,51,25~81,良,27,51,0.51,11,24,80
2016-06,44,22~65,优,21,43,0.433,13,23,64
2016-07,50,16~113,良,23,49,0.442,19,22,81
2016-08,47,19~85,优,25,47,0.494,10,19,75
2016-09,46,23~89,优,22,39,0.39,8,19,83
2016-10,46,25~119,优,24,39,0.419,7,21,76
2016-11,56,28~168,良,30,54,0.71,10,31,77
2016-12,53,35~88,良,31,55,0.697,11,34,72
2017-01,57,33~112,良,38,52,0.8,11,34,74
2017-02,61,38~103,良,36,49,0.746,11,33,95
2017-03,72,41~112,良,37,59,0.732,13,39,118
2017-04,82,45~150,良,34,68,0.743,18,35,121
2017-05,71,39~130,良,24,52,0.739,15,25,122
2017-06,45,25~80,优,16,35,0.727,12,22,81
2017-07,54,26~129,良,19,51,0.565,14,24,86
2017-08,64,28~110,良,24,54,0.658,9,23,110
2017-09,68,32~122,良,25,53,0.65,9,23,118
2017-10,57,29~108,良,21,49,0.645,9,22,102
2017-11,52,26~103,良,25,49,0.61,11,29,87
2017-12,55,21~94,良,34,61,0.626,12,28,52
2018-01,48,30~87,优,26,42,0.558,10,29,72
2018-02,64,35~160,良,40,58,0.589,9,22,95
2018-03,57,34~92,良,30,51,0.616,9,27,91
2018-04,74,47~133,良,32,72,0.56,12,25,115
2018-05,62,24~100,良,22,51,0.481,9,18,106
