month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,203,68~376,重度污染,163,233,2.043,124,77,13
2014-01,181,48~348,中度污染,141,198,2.284,100,62,19
2014-02,116,53~355,轻度污染,87,129,1.643,77,44,25
2014-03,112,55~248,轻度污染,79,142,1.203,66,55,45
2014-04,100,35~195,良,65,136,1.413,44,45,52
2014-05,86,35~150,良,56,109,1.061,36,39,88
2014-06,89,38~118,良,64,99,1.443,32,31,112
2014-07,89,53~168,良,53,97,1.31,23,28,130
2014-08,103,51~148,轻度污染,63,106,1.532,32,34,153
2014-09,84,40~171,良,57,98,1.533,33,32,109
2014-10,97,49~194,良,67,120,1.439,39,42,101
2014-11,124,56~214,轻度污染,90,155,1.933,55,55,53
2014-12,134,60~324,轻度污染,93,188,1.935,78,63,40
2015-01,137,52~315,轻度污染,102,169,1.897,69,57,28
2015-02,110,46~229,轻度污染,80,139,1.8,54,43,45
2015-03,106,58~188,轻度污染,71,144,1.513,44,46,87
2015-04,93,42~158,良,59,118,1.523,34,37,118
2015-05,96,48~161,良,52,106,1.119,34,33,144
2015-06,101,28~169,轻度污染,51,104,1.287,26,32,153
2015-07,106,34~179,轻度污染,46,89,1.435,20,29,159
2015-08,87,47~156,良,44,91,1.394,24,35,137
2015-09,80,46~125,良,50,99,1.08,31,37,103
2015-10,113,52~220,轻度污染,79,150,1.319,34,50,83
2015-11,97,33~231,良,71,113,1.973,45,49,46
2015-12,164,34~384,中度污染,124,203,2.2,62,56,37
2016-01,147,57~398,轻度污染,112,176,2.2,66,61,39
2016-02,113,43~258,轻度污染,83,134,1.493,54,45,86
2016-03,105,57~201,轻度污染,68,142,1.21,49,43,117
2016-04,111,63~198,轻度污染,64,151,1.09,31,40,151
2016-05,109,52~191,轻度污染,41,105,0.758,28,35,155
2016-06,126,74~169,轻度污染,40,88,0.973,25,27,187
2016-07,101,43~165,轻度污染,41,77,0.897,17,22,158
2016-08,90,44~164,良,34,63,1.006,16,25,143
2016-09,116,43~181,轻度污染,60,95,1.057,26,37,170
2016-10,76,35~148,良,54,81,0.906,25,37,84
2016-11,116,33~225,轻度污染,86,122,1.11,42,46,63
2016-12,138,55~345,轻度污染,106,154,1.523,56,50,48
2017-01,136,47~258,轻度污染,106,154,1.823,46,49,64
2017-02,112,40~220,轻度污染,83,122,1.257,43,46,83
2017-03,87,44~142,良,62,104,0.968,35,46,104
2017-04,83,50~139,良,48,101,1.013,21,41,113
2017-05,153,79~203,中度污染,36,72,0.913,25,29,212
2017-06,150,67~211,中度污染,44,85,0.907,19,31,215
2017-07,96,44~175,良,35,76,0.99,9,22,145
2017-08,91,39~165,良,29,50,0.887,9,23,147
2017-09,93,52~162,良,38,71,1.023,12,30,147
2017-10,78,28~149,良,54,87,1.213,17,40,82
2017-11,86,31~157,良,62,96,1.153,27,47,63
2017-12,121,27~244,轻度污染,90,130,1.526,35,61,29
2018-01,124,35~298,轻度污染,93,135,1.384,29,50,49
2018-02,89,51~165,良,63,105,1.039,23,38,70
2018-03,81,41~134,良,55,91,0.99,16,33,98
2018-04,75,0~124,良,36,83,0.75,14,27,120
2018-05,89,46~146,良,31,73,0.742,11,25,145
2018-06,116,48~183,轻度污染,28,74,0.577,15,22,176
2018-07,81,28~146,良,25,58,0.426,12,16,134
2018-08,79,15~134,良,25,52,0.558,10,14,130
2018-09,70,44~94,良,28,74,0.647,13,32,111
2018-10,81,46~137,良,43,106,0.787,19,44,97
2018-11,100,0~203,轻度污染,74,123,1.073,17,49,64
2018-12,114,44~246,轻度污染,80,143,1.245,22,51,42
