month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,179,69~368,中度污染,142,204,1.763,55,28,45
2014-01,146,53~272,轻度污染,112,164,1.935,38,23,47
2014-02,91,24~197,良,67,91,1.657,23,12,51
2014-03,108,50~243,轻度污染,78,130,1.658,33,20,60
2014-04,88,41~182,良,64,102,1.287,31,17,80
2014-05,114,52~293,轻度污染,83,155,1.323,35,25,121
2014-06,107,39~226,轻度污染,80,115,1.133,26,21,100
2014-07,88,39~184,良,63,86,0.974,24,18,94
2014-08,72,26~168,良,53,70,0.874,24,17,77
2014-09,62,29~116,良,44,60,0.72,27,17,71
2014-10,86,57~144,良,62,101,0.713,31,31,87
2014-11,104,38~207,轻度污染,78,119,1.03,32,33,72
2014-12,112,63~186,轻度污染,83,134,1.168,44,39,47
2015-01,134,43~264,轻度污染,101,153,1.23,39,38,46
2015-02,99,32~211,良,73,116,0.904,27,25,58
2015-03,86,35~154,良,60,103,0.961,26,27,74
2015-04,85,42~181,良,59,100,0.897,27,34,107
2015-05,84,49~142,良,51,87,0.8,25,25,131
2015-06,102,43~189,轻度污染,54,91,0.86,26,29,156
2015-07,82,40~182,良,48,78,0.723,14,24,123
2015-08,79,26~161,良,37,74,0.858,18,20,126
2015-09,74,52~160,良,35,68,0.873,20,23,128
2015-10,95,51~228,良,64,119,1.194,26,36,131
2015-11,82,31~208,良,57,100,1.04,19,35,72
2015-12,122,63~238,轻度污染,89,151,1.194,29,51,56
2016-01,110,41~219,轻度污染,80,132,1.135,27,40,75
2016-02,115,39~212,轻度污染,85,136,1.431,26,36,88
2016-03,105,46~225,轻度污染,74,143,1.106,29,44,101
2016-04,89,50~152,良,58,119,1.02,16,39,109
2016-05,85,47~208,良,46,99,0.842,15,29,120
2016-06,75,47~163,良,39,75,0.84,15,24,117
2016-07,83,34~195,良,39,70,0.729,13,19,125
2016-08,73,29~165,良,25,48,0.594,12,14,122
2016-09,83,31~171,良,41,69,0.797,17,19,130
2016-10,51,29~83,良,30,48,0.774,13,22,86
2016-11,84,40~221,良,59,89,1.123,20,49,90
2016-12,107,34~206,轻度污染,79,114,1.171,21,51,82
2017-01,96,37~236,良,71,97,1.139,15,35,80
2017-02,105,43~182,轻度污染,79,107,1.207,19,47,93
2017-03,81,44~155,良,59,86,0.974,17,40,111
2017-04,104,46~158,轻度污染,57,91,1.047,20,40,151
2017-05,112,39~200,轻度污染,43,80,1.019,17,33,164
2017-06,103,42~202,轻度污染,47,76,1.003,10,25,156
2017-07,80,36~185,良,33,60,0.806,8,29,129
2017-08,70,32~125,良,28,51,0.823,7,20,119
2017-09,65,34~151,良,34,55,0.793,8,23,111
2017-10,56,25~113,良,34,56,0.716,9,26,89
2017-11,82,29~157,良,58,98,1,14,50,75
2017-12,114,49~266,轻度污染,70,106,1.284,18,57,30
2018-01,108,0~240,轻度污染,80,104,1.197,13,41,58
2018-02,85,0~204,良,61,90,0.775,12,35,76
2018-03,83,39~142,良,59,85,0.855,12,39,97
2018-04,81,0~153,良,47,89,0.783,12,36,131
2018-05,70,0~142,良,38,64,0.803,9,27,124
2018-06,97,31~189,良,36,61,0.747,8,22,153
2018-07,74,24~122,良,25,44,0.735,6,17,121
2018-08,56,31~101,良,19,35,0.71,5,14,103
2018-09,61,33~111,良,30,49,0.727,6,20,107
2018-10,69,39~127,良,39,63,0.648,9,29,112
2018-11,83,29~254,良,61,80,0.92,8,34,80
2018-12,77,35~155,良,54,78,0.745,11,36,53
2019-01,96,36~170,良,70,98,0.932,9,41,61
2019-02,84,37~163,良,61,79,0.9,6,25,83
2019-03,86,48~163,良,60,92,0.868,10,35,107
2019-04,74,34~160,良,44,69,0.827,8,28,120
2019-05,95,38~181,良,42,76,0.613,10,30,143
2019-06,101,39~196,轻度污染,40,58,0.683,6,20,156
2019-07,83,25~173,良,34,48,0.732,5,17,134
2019-08,76,25~170,良,21,36,0.639,5,16,125
2019-09,64,26~111,良,24,41,0.613,6,17,113
2019-10,72,31~162,良,39,77,0.684,8,28,109
2019-11,68,33~140,良,41,85,0.607,8,35,86
2019-12,84,34~135,良,61,86,0.858,9,42,62
2020-01,90,34~215,良,66,84,0.974,6,25,66
2020-02,58,28~89,良,39,54,0.797,6,17,82
2020-03,61,38~107,良,34,60,0.69,7,27,102
2020-04,79,43~128,良,40,69,0.757,8,28,133
2020-05,89,39~144,良,40,60,0.761,6,22,141
2020-06,71,39~171,良,28,37,0.623,5,18,118
2020-07,54,30~98,良,26,32,0.652,3,14,96
2020-08,75,26~157,良,23,34,0.635,6,18,126
2020-09,79,34~158,良,27,42,0.72,7,21,133
2020-10,58,32~102,良,27,47,0.761,7,24,101
2020-11,56,26~101,良,33,62,0.81,7,28,77
2020-12,88,28~204,良,63,91,0.89,11,40,55
2021-01,83,45~129,良,49,77,0.748,9,38,59
2021-02,63,31~102,良,37,58,0.675,6,21,82
2021-03,78,36~330,良,34,53,0.677,5,25,88
2021-04,63,31~113,良,27,50,0.677,6,23,104
2021-05,83,25~149,良,26,46,0.755,6,22,131
2021-06,88,29~169,良,26,45,0.627,5,18,140
2021-07,53,24~113,良,18,31,0.548,4,12,96
2021-08,62,29~106,良,21,34,0.548,5,12,110
2021-09,72,35~161,良,21,36,0.593,7,17,123
2021-10,62,22~141,良,25,45,0.532,8,20,106
2021-11,64,32~100,良,38,76,0.697,10,33,84
2021-12,72,30~150,良,50,85,0.881,11,38,66
2022-01,83,35~172,良,60,85,0.752,6,27,76
2022-02,61,39~119,良,41,62,0.696,6,20,93
2022-03,75,34~129,良,28,48,0.806,7,30,115
2022-04,89,32~159,良,33,58,0.81,7,21,143
2022-05,86,40~148,良,30,51,0.703,7,20,141
2022-06,84,36~176,良,23,40,0.693,7,19,139
2022-07,70,25~139,良,21,31,0.723,8,13,122
