month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,177,177~177,中度污染,134,163,0.9,33,55,30
2014-01,212,104~359,重度污染,168,210,1.358,54,55,45
2014-02,131,32~269,轻度污染,100,123,0.979,35,39,53
2014-03,90,39~169,良,64,98,1.01,44,40,90
2014-04,74,47~104,良,50,76,0.95,20,29,104
2014-05,94,45~130,良,64,100,0.842,22,27,116
2014-06,68,38~150,良,44,62,0.763,13,26,94
2014-07,73,38~142,良,36,55,0.552,13,24,117
2014-08,71,32~135,良,38,57,0.484,10,25,113
2014-09,57,25~96,良,39,57,0.547,9,25,78
2014-10,79,38~181,良,57,84,0.629,13,29,71
2014-11,56,24~85,良,39,58,0.577,19,32,35
2014-12,101,52~190,轻度污染,74,119,0.684,28,40,32
2015-01,164,41~310,中度污染,127,175,0.903,37,43,37
2015-02,127,32~256,轻度污染,96,137,0.775,26,31,54
2015-03,89,46~132,良,66,100,0.968,25,28,85
2015-04,78,28~155,良,54,83,0.713,20,27,103
2015-05,81,50~129,良,54,83,0.639,17,27,107
2015-06,66,35~98,良,47,63,0.687,14,23,82
2015-07,63,31~109,良,37,57,0.61,23,27,103
2015-08,74,25~145,良,47,65,0.626,17,27,104
2015-09,55,30~142,良,34,52,0.497,15,27,73
2015-10,82,29~160,良,57,89,0.506,20,34,74
2015-11,73,36~105,良,52,75,0.68,19,35,34
2015-12,80,33~168,良,58,83,0.5,25,39,29
2016-01,98,27~202,良,72,101,0.519,18,35,40
2016-02,112,46~314,轻度污染,84,114,0.652,17,33,73
2016-03,107,32~192,轻度污染,79,107,0.652,26,33,95
2016-04,75,40~135,良,51,68,0.587,15,26,92
2016-05,92,30~198,良,60,80,0.574,14,24,127
2016-06,87,37~153,良,51,63,0.547,12,23,125
2016-07,79,32~144,良,39,51,0.458,12,25,126
2016-08,86,42~156,良,55,65,0.465,20,22,123
2016-09,90,54~179,良,67,80,0.547,20,29,82
2016-10,77,37~138,良,53,90,0.548,18,28,70
2016-11,95,28~172,良,70,110,0.567,22,32,50
2016-12,117,53~196,轻度污染,87,126,0.461,24,37,34
2017-01,146,40~258,轻度污染,113,152,0.703,27,40,36
2017-02,104,47~177,轻度污染,78,108,0.604,23,37,57
2017-03,83,31~148,良,61,90,0.635,22,38,64
2017-04,67,26~116,良,43,76,0.487,19,32,94
2017-05,81,45~136,良,48,88,0.581,18,35,112
2017-06,66,27~106,良,33,63,0.547,15,30,98
2017-07,88,39~161,良,27,46,0.439,14,27,143
2017-08,74,24~121,良,27,43,0.426,9,24,125
2017-09,57,23~105,良,32,49,0.473,12,29,81
2017-10,48,22~96,优,30,43,0.552,12,34,43
2017-11,82,40~134,良,60,91,0.793,17,45,57
2017-12,115,53~233,轻度污染,75,106,1.042,20,52,17
2018-01,91,33~188,良,65,93,0.703,19,45,26
2018-02,86,40~165,良,63,92,0.621,14,31,59
2018-03,61,31~110,良,41,62,0.487,16,35,79
2018-04,60,25~96,良,33,60,0.42,15,34,103
2018-05,69,31~145,良,28,53,0.381,15,28,113
2018-06,61,28~163,良,19,35,0.377,12,25,102
2018-07,65,32~130,良,16,30,0.374,12,26,113
2018-08,73,41~122,良,20,33,0.445,11,26,126
2018-09,44,28~87,优,18,29,0.363,12,29,65
2018-10,47,30~97,优,26,37,0.494,12,34,40
2018-11,66,22~112,良,47,63,0.683,16,34,44
2018-12,69,28~166,良,48,63,0.777,15,34,24
2019-01,106,42~179,轻度污染,79,97,0.926,16,42,37
2019-02,77,28~142,良,57,69,0.904,10,28,48
2019-03,74,34~165,良,54,70,0.677,13,35,77
2019-04,75,35~127,良,40,52,0.623,11,28,116
2019-05,54,33~95,良,32,43,0.639,8,23,86
2019-06,59,26~147,良,26,38,0.64,9,25,96
2019-07,56,30~97,良,20,30,0.726,10,25,100
2019-08,91,32~177,良,30,43,0.739,14,27,145
2019-09,56,27~130,良,31,42,0.747,11,28,90
2019-10,46,24~120,优,28,37,0.713,11,27,62
2019-11,57,32~97,良,38,54,0.703,10,33,35
2019-12,83,38~148,良,61,78,0.803,10,41,36
2020-01,87,46~144,良,64,79,0.935,8,34,41
2020-02,84,43~150,良,61,71,0.855,5,16,60
2020-03,64,28~114,良,40,56,0.81,11,26,90
2020-04,63,26~129,良,35,48,0.79,11,31,91
2020-05,75,27~130,良,30,45,0.748,11,29,122
2020-06,62,30~128,良,23,34,0.8,10,25,108
2020-07,53,20~102,良,18,26,0.794,8,20,97
2020-08,74,40~147,良,22,30,0.735,9,21,127
2020-09,43,26~98,优,23,28,0.753,8,24,74
2020-10,38,18~87,优,26,31,0.713,8,26,41
2020-11,68,32~112,良,49,63,0.747,13,39,61
2020-12,78,30~160,良,57,68,0.774,13,35,22
2021-01,98,38~160,良,73,90,0.871,12,41,39
2021-02,102,30~188,轻度污染,76,92,0.771,12,34,66
2021-03,66,35~101,良,43,61,0.774,14,32,83
2021-04,49,25~126,优,29,42,0.757,12,28,68
2021-05,64,35~122,良,33,44,0.616,10,25,104
2021-06,63,23~124,良,27,34,0.693,11,22,110
2021-07,68,35~123,良,18,24,0.765,8,19,119
2021-08,64,27~157,良,18,24,0.732,8,17,110
2021-09,59,22~106,良,21,28,0.743,9,17,105
2021-10,48,19~124,优,29,36,0.561,12,22,59
2021-11,74,30~145,良,53,68,0.66,15,30,40
2021-12,92,38~202,良,68,82,0.726,15,37,38
2022-01,89,25~155,良,66,77,0.871,10,35,38
2022-02,58,28~92,良,42,53,0.614,8,26,62
2022-03,74,22~119,良,43,78,0.69,14,32,108
2022-04,62,23~111,良,27,50,0.557,13,25,108
2022-05,57,23~125,良,20,39,0.568,11,21,100
2022-06,62,24~130,良,21,46,0.643,10,21,105
2022-07,87,38~142,良,20,38,0.545,8,18,143
2022-08,75,38~127,良,18,28,0.513,7,16,129
2022-09,61,23~131,良,33,44,0.627,9,17,100
2022-10,79,18~189,良,57,76,0.661,13,28,81
2022-11,90,18~142,良,67,85,0.72,13,25,70
2022-12,99,20~231,良,73,97,0.658,9,29,30
2023-01,123,64~240,轻度污染,90,132,0.826,7,29,53
2023-02,107,32~232,轻度污染,80,106,0.911,12,32,57
2023-03,67,27~117,良,45,67,0.706,12,28,79
2023-04,66,20~130,良,31,57,0.633,11,21,106
2023-05,74,28~119,良,37,59,0.652,11,20,119
2023-06,63,25~109,良,22,38,0.673,8,19,112
2023-07,70,29~108,良,18,34,0.694,8,16,121
2023-08,69,29~102,良,18,33,0.606,5,13,121
2023-09,60,19~130,良,25,41,0.553,7,17,102
2023-10,48,20~109,优,28,44,0.613,6,20,69
2023-11,77,19~163,良,55,81,0.687,7,28,63
2023-12,106,20~224,轻度污染,78,102,0.755,6,29,25
2024-01,111,23~219,轻度污染,83,100,0.839,6,28,46
2024-02,82,18~192,良,59,81,0.693,5,20,64
2024-03,84,38~124,良,56,80,0.639,9,26,99
2024-04,61,28~109,良,28,42,0.437,7,15,103
2024-05,66,26~120,良,25,40,0.4,6,17,112
2024-06,52,26~101,良,22,34,0.437,6,17,93
2024-07,60,31~85,良,19,29,0.41,5,14,108
2024-08,88,33~119,良,27,42,0.423,7,17,144
2024-09,76,28~111,良,30,40,0.527,6,18,127
2024-10,52,23~97,良,33,45,0.584,5,20,72
2024-11,47,22~83,优,33,43,0.58,5,23,43
2024-12,92,32~192,良,68,83,0.655,4,28,46
2025-01,114,45~199,轻度污染,84,102,0.839,4,27,54
2025-02,59,22~104,良,41,61,0.614,5,20,56
2025-03,65,23~148,良,41,66,0.526,7,25,77
2025-04,68,44~113,良,38,57,0.667,7,22,107
