month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,264,93~500,重度污染,0,71,812.805,27,26,0
2013-06,155,60~500,中度污染,0,106,84.337,69,54,0
2013-07,178,62~500,中度污染,0,71,2.303,51,55,0
2013-08,203,59~500,重度污染,0,62,24.1,42,41,256
2013-09,143,36~216,轻度污染,0,96,4.197,45,45,152
2013-10,97,52~140,良,0,126,3.161,62,66,113
2013-11,154,38~352,中度污染,115,142,0.997,78,58,65
2013-12,196,52~500,中度污染,153,186,3.494,77,65,87
2014-01,180,58~406,中度污染,140,194,3.142,59,53,47
2014-02,162,56~345,中度污染,122,157,2.318,57,40,56
2014-03,107,54~259,轻度污染,75,132,1.958,52,46,73
2014-04,115,70~204,轻度污染,84,87,2.427,37,46,111
2014-05,106,65~173,轻度污染,51,85,1.813,35,42,147
2014-06,91,34~224,良,58,83,1.97,28,38,104
2014-07,71,29~199,良,39,62,1.477,20,30,103
2014-08,71,34~120,良,42,66,1.503,23,35,105
2014-09,69,35~119,良,41,71,1.51,24,35,84
2014-10,98,39~192,良,70,108,1.4,45,43,38
2014-11,133,54~278,轻度污染,96,136,1.987,61,48,34
2014-12,93,54~160,良,59,78,1.668,117,42,31
2015-01,151,63~294,中度污染,114,187,2.677,98,63,32
2015-02,132,63~220,轻度污染,95,171,1.875,69,45,52
2015-03,124,68~281,轻度污染,87,161,1.539,43,49,67
2015-04,97,41~170,良,65,122,1.493,35,38,87
2015-05,111,55~204,轻度污染,75,127,1.426,38,32,125
2015-06,90,40~140,良,60,106,1.63,24,28,121
2015-07,87,55~156,良,56,94,1.577,16,23,128
2015-08,78,43~141,良,52,90,1.539,24,25,104
2015-09,66,41~113,良,42,75,1.73,25,34,94
2015-10,82,32~208,良,52,87,1.7,36,45,65
2015-11,95,35~205,良,66,100,2.453,45,55,43
2015-12,149,34~405,轻度污染,102,186,2.855,75,69,46
2016-01,215,56~492,重度污染,174,244,3.006,76,68,45
2016-02,113,52~255,轻度污染,80,132,2.452,66,44,66
2016-03,103,53~183,轻度污染,66,144,2.065,58,58,100
2016-04,110,45~180,轻度污染,76,148,1.87,40,47,125
2016-05,107,43~173,轻度污染,47,83,1.6,33,41,161
2016-06,113,67~166,轻度污染,39,70,1.71,22,33,172
2016-07,86,54~152,良,39,72,1.568,11,22,132
2016-08,83,44~126,良,31,56,1.797,14,24,136
2016-09,106,56~204,轻度污染,49,89,2.23,29,41,153
2016-10,79,47~152,良,53,93,1.729,26,46,78
2016-11,147,46~284,轻度污染,110,193,2.01,36,57,50
2016-12,185,69~499,中度污染,146,221,1.987,41,63,41
2017-01,134,0~386,轻度污染,105,152,1.974,40,60,36
2017-02,128,0~408,轻度污染,99,142,1.521,42,49,67
2017-03,102,0~225,轻度污染,74,118,1.187,31,50,83
2017-04,85,0~169,良,57,98,1.243,27,40,116
2017-05,82,0~168,良,36,69,1.187,24,33,166
2017-06,118,0~190,轻度污染,57,101,1.273,17,28,185
2017-07,122,59~193,轻度污染,51,92,1.397,11,22,180
2017-08,110,30~174,轻度污染,51,90,1.413,17,29,160
2017-09,83,53~144,良,46,95,1.473,19,40,115
2017-10,79,26~148,良,55,98,1.506,17,43,52
2017-11,64,0~149,良,42,85,1.313,26,56,53
2017-12,99,0~269,良,66,120,1.513,30,55,51
2018-01,130,0~262,轻度污染,96,147,1.59,23,49,45
2018-02,107,0~244,轻度污染,74,124,1.339,23,37,71
2018-03,100,0~258,轻度污染,73,119,1.255,19,42,89
2018-04,46,0~125,优,22,51,1.04,19,35,113
2018-05,72,0~140,良,35,75,1.113,16,32,129
2018-06,106,45~149,轻度污染,34,65,1.077,14,30,164
2018-07,87,43~150,良,37,62,1.197,10,24,137
