month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,195,79~395,中度污染,149,259,1.653,127,82,33
2014-01,184,61~489,中度污染,138,247,1.9,117,67,45
2014-02,152,60~289,中度污染,115,190,1.879,123,62,56
2014-03,135,76~309,轻度污染,88,197,1.11,75,58,100
2014-04,137,61~229,轻度污染,91,190,1.073,70,51,122
2014-05,119,55~177,轻度污染,66,171,0.816,47,42,162
2014-06,126,65~195,轻度污染,76,135,1.037,48,41,175
2014-07,117,63~190,轻度污染,71,125,0.9,37,40,164
2014-08,114,71~157,轻度污染,72,134,1.055,49,48,161
2014-09,114,57~231,轻度污染,80,145,1.213,46,52,125
2014-10,116,63~202,轻度污染,81,167,1.039,48,59,107
2014-11,139,66~368,轻度污染,101,188,1.24,67,65,48
2014-12,123,62~229,轻度污染,84,180,1.3,97,66,39
2015-01,153,60~322,中度污染,113,210,1.952,92,73,37
2015-02,131,61~238,轻度污染,95,172,1.607,79,53,62
2015-03,124,63~190,轻度污染,81,185,1.333,63,55,85
2015-04,115,59~215,轻度污染,77,158,1.197,39,43,114
2015-05,113,53~182,轻度污染,74,155,1.213,37,41,143
2015-06,117,68~186,轻度污染,73,139,1.063,27,33,168
2015-07,123,74~182,轻度污染,75,133,1.032,28,38,168
2015-08,92,39~140,良,57,98,0.939,22,39,141
2015-09,99,50~158,良,69,128,1.133,27,52,125
2015-10,128,64~243,轻度污染,91,174,1.313,34,61,96
2015-11,147,42~337,轻度污染,114,158,1.89,43,59,41
2015-12,199,56~496,中度污染,158,232,2.11,71,70,34
2016-01,164,63~436,中度污染,126,193,2.003,80,68,39
2016-02,112,37~241,轻度污染,81,140,1.362,57,44,74
2016-03,123,71~237,轻度污染,80,185,1.11,51,48,101
2016-04,128,72~211,轻度污染,82,202,1.09,40,45,128
2016-05,110,63~295,轻度污染,58,129,0.906,28,38,143
2016-06,118,77~171,轻度污染,51,103,0.933,24,33,178
2016-07,100,37~170,轻度污染,61,109,0.99,21,35,143
2016-08,81,51~148,良,42,88,1.029,23,35,119
2016-09,109,59~173,轻度污染,60,132,1.107,27,56,155
2016-10,88,50~160,良,58,118,1.158,22,53,70
2016-11,111,34~226,轻度污染,79,151,1.33,31,57,46
2016-12,164,62~500,中度污染,126,203,1.877,46,63,41
2017-01,172,58~416,中度污染,130,209,2.139,49,61,46
2017-02,114,55~236,轻度污染,83,148,1.286,44,50,81
2017-03,100,60~149,良,68,141,1.071,31,54,93
2017-04,99,72~207,良,60,134,1.017,22,47,108
2017-05,125,69~222,轻度污染,42,98,0.826,21,35,168
2017-06,130,49~202,轻度污染,54,108,0.887,21,37,190
2017-07,99,51~207,良,51,98,0.974,13,35,136
2017-08,93,42~152,良,37,75,0.858,12,39,145
2017-09,99,58~169,良,39,93,0.803,14,46,156
2017-10,86,28~157,良,56,111,1.113,16,54,84
2017-11,93,41~155,良,55,133,0.99,23,54,67
2017-12,125,52~310,轻度污染,88,163,1.435,35,63,27
2018-01,126,51~264,轻度污染,93,152,1.303,33,57,49
2018-02,101,60~183,轻度污染,67,124,1.064,28,38,77
2018-03,94,55~205,良,61,116,0.894,22,40,106
2018-04,88,0~141,良,42,107,0.747,18,34,130
2018-05,93,0~142,良,38,92,0.732,13,35,151
2018-06,126,68~174,轻度污染,32,76,0.58,9,26,187
2018-07,95,43~182,良,31,61,0.629,8,27,149
2018-08,92,22~173,良,31,60,0.726,9,30,144
2018-09,76,48~103,良,34,80,0.75,11,43,118
2018-10,83,55~137,良,43,108,0.735,12,57,102
2018-11,90,0~176,良,66,114,1.107,15,59,63
2018-12,105,0~260,轻度污染,73,137,1.158,24,59,41
2019-01,132,61~328,轻度污染,95,168,1.297,29,67,48
2019-02,125,53~207,轻度污染,92,142,1.111,20,53,76
2019-03,92,52~182,良,51,122,0.623,13,50,108
2019-04,92,42~139,良,54,119,0.777,15,45,121
2019-05,102,57~159,轻度污染,36,97,0.632,13,34,154
2019-06,143,59~198,轻度污染,36,84,0.63,12,28,206
2019-07,120,66~178,轻度污染,36,67,0.706,9,29,180
2019-08,75,29~132,良,26,53,0.732,8,33,125
2019-09,104,44~157,轻度污染,39,86,0.82,11,45,149
2019-10,87,39~159,良,49,108,0.806,11,48,97
2019-11,96,50~170,良,61,132,0.95,14,53,59
2019-12,114,49~269,轻度污染,84,127,1.268,19,54,42
2020-01,141,57~252,轻度污染,107,143,1.545,24,51,59
2020-02,77,38~137,良,53,75,0.848,12,24,84
2020-03,78,42~140,良,45,97,0.735,11,33,103
2020-04,85,56~139,良,40,93,0.733,12,35,125
2020-05,101,44~170,轻度污染,32,85,0.687,11,26,156
2020-06,123,48~202,轻度污染,36,87,0.737,10,27,183
2020-07,96,45~168,良,35,61,0.758,9,23,152
2020-08,81,27~185,良,30,52,0.735,9,24,132
2020-09,92,38~165,良,33,70,0.74,11,37,147
2020-10,79,51~122,良,47,102,0.906,13,51,88
2020-11,89,39~180,良,59,109,1.003,14,50,64
2020-12,116,42~248,轻度污染,84,129,1.184,20,49,50
2021-01,122,58~261,轻度污染,65,95,1.287,23,52,51
2021-02,75,42~129,良,45,81,0.807,15,30,87
2021-03,135,39~500,轻度污染,34,60,0.832,13,38,100
2021-04,90,41~486,良,33,58,0.633,10,30,118
2021-05,114,45~500,轻度污染,26,50,0.658,10,23,143
2021-06,122,40~197,轻度污染,29,65,0.65,10,23,182
2021-07,79,25~136,良,22,40,0.558,7,18,131
2021-08,99,42~149,良,29,54,0.69,8,24,156
2021-09,73,29~153,良,21,40,0.613,7,24,121
2021-10,73,30~152,良,44,82,0.723,9,40,93
2021-11,82,28~145,良,53,104,0.847,12,46,69
2021-12,82,30~196,良,53,99,0.939,14,46,52
2022-01,109,55~246,轻度污染,80,119,1.103,17,48,55
2022-02,67,40~153,良,42,70,0.821,16,28,92
2022-03,86,38~177,良,32,54,0.774,12,30,97
2022-04,86,54~118,良,34,64,0.663,13,21,135
