month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,229,95~436,重度污染,185,284,1.623,162,67,27
2014-01,199,76~417,中度污染,152,260,1.839,132,65,36
2014-02,145,61~384,轻度污染,111,173,1.461,92,49,63
2014-03,133,75~326,轻度污染,93,183,1.194,79,49,100
2014-04,119,68~221,轻度污染,83,166,1.137,62,45,121
2014-05,113,63~190,轻度污染,68,149,0.845,55,33,159
2014-06,134,67~377,轻度污染,88,128,1.09,55,34,176
2014-07,110,67~155,轻度污染,65,97,1.029,46,31,163
2014-08,109,53~172,轻度污染,66,95,1.1,50,37,160
2014-09,91,34~183,良,64,96,1.18,53,40,116
2014-10,107,57~204,轻度污染,78,136,1.181,55,50,110
2014-11,135,73~322,轻度污染,99,188,1.65,81,63,54
2014-12,128,77~201,轻度污染,92,187,1.574,108,64,40
2015-01,139,64~297,轻度污染,104,187,1.823,90,61,42
2015-02,117,65~186,轻度污染,86,157,1.657,69,47,66
2015-03,109,61~261,轻度污染,73,157,1.361,63,44,84
2015-04,94,48~166,良,61,120,1.217,45,37,121
2015-05,105,58~178,轻度污染,65,122,1.135,50,34,152
2015-06,119,37~213,轻度污染,72,130,1.073,46,29,170
2015-07,91,46~145,良,53,101,1.048,34,29,138
2015-08,87,44~133,良,52,85,0.961,41,35,135
2015-09,88,53~152,良,57,98,0.953,49,42,130
2015-10,145,70~279,轻度污染,109,161,1.197,59,56,109
2015-11,134,48~264,轻度污染,101,143,1.44,58,51,41
2015-12,178,65~494,中度污染,137,220,1.835,85,66,32
2016-01,189,66~429,中度污染,147,215,1.787,89,62,35
2016-02,129,47~254,轻度污染,97,153,1.3,63,45,75
2016-03,102,56~185,轻度污染,72,140,1.216,65,51,109
2016-04,99,62~166,良,63,136,1.093,40,38,128
2016-05,94,54~174,良,49,98,0.961,30,30,134
2016-06,104,70~140,轻度污染,39,77,0.96,24,25,163
2016-07,83,38~158,良,40,69,0.8,20,19,135
2016-08,78,47~137,良,38,63,0.981,31,30,123
2016-09,97,47~163,良,55,90,1.07,34,46,144
2016-10,64,39~89,良,41,67,1.045,25,43,67
2016-11,94,37~172,良,67,108,1.133,34,55,50
2016-12,164,79~410,中度污染,127,170,1.761,49,63,41
2017-01,127,51~272,轻度污染,97,144,1.935,45,50,47
2017-02,110,50~195,轻度污染,80,135,1.454,44,44,86
2017-03,82,53~131,良,53,112,0.923,34,45,106
2017-04,86,57~125,良,46,109,0.9,24,37,123
2017-05,147,58~500,轻度污染,34,77,0.865,22,33,176
2017-06,143,46~202,轻度污染,43,102,0.897,19,32,204
2017-07,90,42~165,良,32,76,0.919,15,25,135
2017-08,98,37~187,良,32,56,0.961,18,25,154
2017-09,99,50~171,良,38,71,0.99,20,34,154
2017-10,73,33~108,良,45,92,1.116,21,50,97
2017-11,90,50~132,良,60,123,1.043,26,55,71
2017-12,132,58~256,轻度污染,98,155,1.416,31,64,30
2018-01,135,57~291,轻度污染,102,157,1.31,27,50,50
2018-02,91,54~137,良,63,116,0.964,25,34,76
2018-03,78,47~116,良,43,96,0.887,18,29,106
2018-04,88,0~146,良,38,109,0.723,21,27,127
2018-05,95,50~152,良,38,97,0.684,18,26,147
2018-06,120,45~172,轻度污染,32,76,0.65,12,22,180
2018-07,82,32~137,良,24,48,0.665,12,20,136
2018-08,81,19~127,良,29,49,0.797,12,22,133
2018-09,76,34~104,良,34,65,0.813,16,35,123
2018-10,81,53~127,良,44,95,0.784,21,51,104
2018-11,68,0~144,良,47,89,1.127,16,46,63
2018-12,104,50~206,轻度污染,71,140,1.168,19,52,37
2019-01,124,64~214,轻度污染,90,156,1.371,23,55,52
2019-02,112,53~195,轻度污染,83,137,1.257,18,37,85
2019-03,85,55~134,良,54,108,0.806,17,37,116
2019-04,94,47~150,良,64,98,0.813,18,33,126
2019-05,104,55~158,轻度污染,41,85,0.739,20,28,160
2019-06,133,58~171,轻度污染,35,68,0.73,19,19,195
2019-07,109,48~185,轻度污染,31,55,0.723,13,18,168
2019-08,79,27~148,良,25,50,0.742,13,25,128
2019-09,99,50~150,良,40,73,0.883,14,35,146
2019-10,90,39~163,良,55,97,0.813,14,46,93
2019-11,104,43~210,轻度污染,70,116,0.843,17,47,69
2019-12,126,53~267,轻度污染,94,108,1.048,18,51,44
2020-01,158,57~271,中度污染,120,134,1.368,16,49,65
2020-02,84,37~165,良,60,69,0.797,10,19,89
2020-03,79,42~134,良,52,80,0.732,11,28,105
2020-04,84,59~141,良,46,81,0.76,13,30,129
2020-05,103,37~192,轻度污染,36,86,0.848,12,23,155
2020-06,114,37~198,轻度污染,33,74,0.853,10,21,171
2020-07,91,43~161,良,29,52,0.894,8,18,146
2020-08,74,26~156,良,27,50,0.981,6,17,125
2020-09,91,45~166,良,32,64,0.94,12,31,148
2020-10,83,49~128,良,54,86,0.968,14,49,86
2020-11,93,33~186,良,66,90,0.987,15,46,67
2020-12,116,41~239,轻度污染,86,108,1.103,15,46,57
2021-01,138,63~285,轻度污染,88,126,1.239,17,49,58
2021-02,78,46~129,良,53,80,0.914,12,24,87
2021-03,128,35~500,轻度污染,51,77,0.942,11,31,97
2021-04,86,41~416,良,39,57,0.827,10,23,113
2021-05,107,38~500,轻度污染,33,44,0.865,11,18,139
2021-06,119,28~202,轻度污染,30,60,0.777,10,15,178
2021-07,67,27~108,良,18,36,0.642,7,11,117
2021-08,84,23~142,良,26,48,0.726,6,19,136
2021-09,70,28~130,良,22,44,0.667,7,19,117
2021-10,80,23~178,良,51,77,0.748,9,37,96
2021-11,99,29~189,良,68,110,0.763,12,46,74
2021-12,94,33~198,良,65,104,0.894,14,48,54
2022-01,120,62~211,轻度污染,90,115,1.129,13,42,60
2022-02,71,43~142,良,49,71,0.714,12,25,90
2022-03,86,51~153,良,38,61,0.806,11,27,100
2022-04,83,57~118,良,38,62,0.8,11,18,130
2022-05,96,60~149,良,30,68,0.671,12,20,151
2022-06,128,39~202,轻度污染,26,63,0.643,10,15,189
2022-07,81,29~134,良,23,41,0.674,7,13,133
2022-08,84,35~131,良,20,42,0.597,8,14,138
2022-09,108,46~154,轻度污染,27,59,0.58,13,20,166
2022-10,68,25~113,良,37,62,0.616,10,28,111
2022-11,83,33~179,良,58,78,0.867,10,30,76
2022-12,105,43~226,轻度污染,73,106,0.816,16,40,60
2023-01,128,38~289,轻度污染,93,136,0.813,15,35,74
