month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2017-01,164,56~361,中度污染,126,193,3.139,71,57,44
2017-02,107,54~318,轻度污染,74,129,2.05,69,48,76
2017-03,96,50~163,良,67,116,1.387,43,41,74
2017-04,89,42~168,良,53,118,1.197,49,32,96
2017-05,111,53~385,轻度污染,54,141,1,49,29,141
2017-06,103,28~187,轻度污染,54,100,1.113,25,26,150
2017-07,102,38~153,轻度污染,49,82,1.203,17,21,157
2017-08,90,30~148,良,51,80,1.274,29,26,135
2017-09,80,44~110,良,54,89,1.45,47,41,107
2017-10,71,25~166,良,48,84,1.41,38,41,52
2017-11,102,59~185,轻度污染,70,121,1.51,51,57,55
2017-12,122,53~307,轻度污染,88,125,1.929,43,56,55
2018-01,145,0~403,轻度污染,111,145,1.861,40,51,47
2018-02,116,0~270,轻度污染,86,124,1.554,43,40,69
2018-03,96,0~231,良,69,118,1.303,28,42,92
2018-04,38,0~130,优,20,49,0.973,26,35,105
2018-05,67,0~118,良,33,78,1.052,23,30,123
2018-06,106,52~160,轻度污染,35,68,1.023,15,28,164
2018-07,89,32~173,良,34,57,0.923,6,20,144
2018-08,98,39~144,良,36,59,0.961,11,21,155
2018-09,61,31~97,良,28,57,1.033,19,29,95
2018-10,78,0~112,良,49,93,1.103,25,42,98
2018-11,92,0~239,良,69,88,1.427,24,49,56
2018-12,92,0~255,良,66,105,1.429,36,49,42
2019-01,180,57~305,中度污染,139,177,1.984,34,63,42
2019-02,178,65~363,中度污染,137,164,1.629,22,40,77
2019-03,96,52~185,良,59,112,0.958,22,41,100
2019-04,84,0~152,良,51,93,1.013,16,32,113
2019-05,104,62~153,轻度污染,41,108,0.842,15,28,151
2019-06,126,48~174,轻度污染,34,75,0.983,12,26,187
2019-07,113,42~177,轻度污染,31,60,0.923,8,21,173
2019-08,95,42~152,良,32,56,1.035,8,20,149
2019-09,94,24~156,良,36,66,1.221,13,27,142
2019-10,72,28~164,良,43,80,1.206,14,36,87
2019-11,106,46~202,轻度污染,74,110,1.28,19,46,68
2019-12,123,42~312,轻度污染,93,102,1.616,19,46,46
2020-01,159,61~354,中度污染,122,121,1.987,19,41,54
2020-02,80,0~178,良,56,66,1.1,15,20,74
2020-03,84,34~148,良,53,94,1.129,18,36,87
2020-04,84,52~116,良,50,95,1.033,18,36,114
2020-05,84,0~176,良,33,81,0.984,13,27,131
2020-06,96,0~157,良,34,83,0.94,9,24,147
2020-07,90,39~150,良,32,60,0.797,6,20,146
2020-08,77,29~151,良,27,58,0.968,7,25,123
2020-09,87,50~140,良,34,78,1.07,12,37,141
2020-10,84,31~138,良,54,104,1.158,14,47,70
2020-11,98,32~170,良,69,101,1.266,11,43,63
2020-12,105,0~334,轻度污染,76,107,1.474,16,41,51
2021-01,155,47~354,中度污染,100,187,1.613,19,48,60
2021-02,103,60~199,轻度污染,70,107,1.168,16,32,86
2021-03,144,0~500,轻度污染,68,190,0.993,9,34,77
2021-04,96,50~459,良,49,113,0.86,8,31,107
2021-05,104,35~215,轻度污染,39,112,0.84,9,24,149
2021-06,130,37~191,轻度污染,31,70,0.867,8,24,189
2021-07,82,0~147,良,22,43,0.748,5,17,132
2021-08,86,42~135,良,33,57,1.057,7,18,141
2021-09,71,28~146,良,27,51,1.225,9,21,117
2021-10,64,23~124,良,37,70,1.132,12,34,81
2021-11,99,41~204,良,65,110,1.227,15,39,74
2021-12,83,33~222,良,56,83,1.166,14,38,58
2022-01,180,76~270,中度污染,137,144,1.621,11,39,47
2022-02,95,45~156,良,68,89,0.968,11,31,78
2022-03,119,54~382,轻度污染,65,147,0.997,10,30,84
2022-04,84,53~139,良,49,107,0.963,12,29,120
2022-05,84,0~124,良,35,75,0.929,12,24,132
2022-06,131,58~191,轻度污染,31,76,0.772,10,21,192
2022-07,86,0~135,良,24,46,0.79,7,14,138
2022-08,72,0~118,良,27,53,0.845,6,16,125
2022-09,93,53~133,良,33,76,1.047,14,32,146
2022-10,70,25~124,良,47,77,1.065,12,33,94
2022-11,87,32~134,良,61,92,1.12,11,34,66
2022-12,113,52~311,轻度污染,77,126,1.319,15,42,54
2023-01,139,43~332,轻度污染,101,157,1.445,17,36,67
2023-02,136,49~293,轻度污染,101,129,1.196,13,36,71
2023-03,124,48~500,轻度污染,63,187,0.8,13,34,105
2023-04,130,32~500,轻度污染,56,170,0.813,10,25,120
2023-05,52,35~89,良,19,41,0.72,7,17,87
2023-09,50,27~84,优,21,41,0.975,8,24,83
2023-10,65,38~110,良,38,75,1.242,9,37,98
2023-11,86,38~179,良,54,94,1.159,10,38,67
2023-12,93,38~243,良,64,96,1.297,10,38,59
2024-01,109,34~317,轻度污染,82,106,1.387,11,42,58
2024-02,111,38~272,轻度污染,80,109,1.086,11,26,86
2024-03,94,50~143,良,61,112,0.987,12,34,103
2024-04,82,47~122,良,44,93,0.913,11,27,126
2024-05,107,52~158,轻度污染,38,92,0.994,13,22,163
2024-06,98,86~110,良,27,74,0.75,11,20,157
