month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,104,104~104,轻度污染,55,157,1.9,48,85,83
2015-01,101,68~159,轻度污染,62,131,1.839,41,44,62
2015-02,96,64~187,良,69,97,1.214,41,26,92
2015-03,112,74~400,轻度污染,67,160,1.29,32,34,110
2015-04,97,71~163,良,66,120,1.07,23,39,125
2015-05,109,71~500,轻度污染,61,133,1.31,29,38,142
2015-06,100,77~144,良,66,115,1.107,36,46,129
2015-07,77,55~107,良,55,78,0.932,24,35,109
2015-08,66,50~90,良,42,53,0.848,25,34,99
2015-09,54,45~67,良,36,47,0.92,34,35,80
2015-10,60,41~87,良,37,57,1.123,29,38,68
2015-11,100,47~216,轻度污染,62,118,1.81,38,50,49
2015-12,105,57~169,轻度污染,66,136,2.155,43,52,49
2016-01,95,48~176,良,46,127,1.806,43,42,53
2016-02,75,33~120,良,34,98,1.221,31,27,63
2016-03,107,51~293,轻度污染,52,153,1.113,22,30,105
2016-04,76,55~118,良,38,94,0.966,16,31,110
2016-05,93,55~197,良,55,134,0.871,16,30,107
2016-06,79,62~92,良,41,88,0.943,19,55,120
2016-07,80,50~106,良,42,91,1.229,15,42,113
2016-08,72,44~104,良,35,83,1.123,16,47,99
2016-09,67,0~95,良,36,60,1.373,16,49,60
2016-10,74,0~131,良,44,99,1.648,16,34,60
2016-11,122,0~389,轻度污染,66,190,1.89,27,53,51
2016-12,0,0~0,无,0,0,0,0,0,0
2017-01,95,0~500,良,13,25,1.394,23,27,51
2017-02,96,57~135,良,42,80,1.893,30,42,93
2017-03,86,57~311,良,44,90,1.819,21,36,112
2017-04,91,50~500,良,30,71,2.017,17,35,116
2017-05,87,54~152,良,31,75,1.016,14,32,134
2017-06,66,49~85,良,31,68,1.11,14,32,113
2017-07,91,44~138,良,33,75,0.945,13,30,145
2017-08,75,49~115,良,34,58,1.31,10,32,124
2017-09,65,47~88,良,29,51,1.013,11,32,107
2017-10,66,42~94,良,44,78,1.565,18,35,93
2017-11,78,61~106,良,52,102,1.55,26,35,79
2017-12,120,70~683,轻度污染,61,101,1.652,34,48,40
2018-01,64,0~148,良,45,79,1.252,28,40,64
2018-02,60,0~86,良,37,73,1.289,20,29,83
2018-03,51,0~106,良,24,60,1.326,16,39,96
2018-04,46,0~81,优,20,46,1.027,13,34,102
2018-05,75,45~112,良,29,75,0.877,12,34,122
2018-06,77,0~109,良,21,45,1.013,12,32,133
2018-07,78,39~117,良,26,42,1.203,10,30,130
2018-08,63,0~91,良,26,38,1.235,9,34,113
2018-09,55,0~74,良,26,42,0.853,10,39,98
2018-10,48,0~118,优,29,52,0.594,13,29,74
2018-11,58,0~83,良,38,66,0.78,23,41,71
2018-12,84,0~133,良,58,93,1.003,24,43,58
2019-01,77,52~125,良,55,83,1.361,24,39,69
2019-02,83,53~206,良,48,86,0.761,17,26,101
2019-03,73,52~130,良,44,89,0.577,14,35,100
2019-04,74,45~108,良,38,79,0.613,13,37,121
2019-05,92,42~500,良,45,106,0.542,9,32,104
2019-06,69,41~105,良,27,47,0.527,8,36,120
2019-07,72,50~122,良,26,46,0.545,10,45,111
2019-08,86,43~207,良,25,36,0.571,9,42,142
2019-09,67,49~92,良,24,39,0.57,10,42,117
2019-10,56,34~72,良,27,51,0.648,12,43,83
2019-11,76,47~125,良,47,81,0.83,17,45,78
2019-12,71,52~89,良,46,70,0.997,21,51,58
2020-01,82,46~122,良,60,78,1.087,18,41,81
2020-02,65,42~136,良,37,74,0.555,15,30,92
2020-03,68,51~120,良,38,84,0.432,11,34,99
2020-04,74,52~107,良,37,86,0.617,11,36,110
2020-05,71,46~111,良,30,61,0.71,10,28,122
2020-06,71,39~109,良,29,55,0.7,10,29,119
2020-07,74,44~102,良,25,45,0.742,12,33,126
2020-08,65,39~105,良,26,43,0.826,11,32,113
2020-09,55,35~88,良,30,46,0.803,11,28,98
2020-10,62,46~81,良,40,71,0.781,15,31,92
2020-11,83,53~124,良,60,90,1.007,20,43,70
2020-12,71,0~109,良,51,68,0.984,20,33,59
2021-01,70,54~103,良,47,79,1.029,24,37,62
2021-02,51,0~114,良,34,51,0.7,17,27,76
2021-03,136,0~500,轻度污染,28,78,0.506,14,31,85
2021-04,60,0~279,良,22,38,0.383,9,21,85
2021-05,61,0~102,良,25,49,0.406,12,29,103
2021-06,61,0~91,良,26,47,0.31,11,26,107
2021-07,70,0~108,良,20,42,0.416,11,30,127
2021-08,68,0~106,良,21,37,0.439,10,26,113
2021-09,59,0~80,良,27,44,0.587,14,35,108
2021-10,54,0~75,良,34,55,0.668,13,30,85
2021-11,77,51~179,良,43,103,0.787,20,41,67
2021-12,47,0~112,优,32,55,0.681,14,17,28
2022-01,69,0~107,良,51,73,1.006,20,22,64
2022-02,60,41~99,良,40,59,0.604,15,18,92
2022-03,94,56~185,良,42,127,0.503,14,21,107
2022-04,87,47~300,良,47,108,0.4,11,17,111
2022-05,78,47~165,良,33,62,0.419,10,17,128
2022-06,79,52~119,良,28,44,0.407,10,17,134
2022-07,77,39~105,良,25,45,0.452,10,18,128
2022-08,67,37~147,良,21,35,0.49,9,13,118
2022-09,62,40~81,良,19,36,0.463,9,16,108
2022-10,56,39~82,良,29,57,0.526,14,19,92
2022-11,66,48~117,良,35,79,0.55,17,21,84
2022-12,85,52~134,良,54,111,0.871,22,32,61
2023-01,85,54~303,良,49,111,0.906,17,27,68
2023-02,70,50~104,良,45,79,0.718,18,30,85
2023-03,102,47~500,轻度污染,50,160,0.506,12,22,94
2023-04,116,47~500,轻度污染,49,157,0.52,10,20,102
2023-05,77,41~273,良,35,76,0.565,10,17,118
2023-06,80,49~120,良,21,39,0.63,11,17,136
2023-07,84,51~100,良,18,39,0.529,11,17,139
2023-08,82,49~130,良,20,46,0.565,11,16,134
