month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,54,54~54,良,24,57,1.6,32,16,95
2015-01,73,42~164,良,43,84,1.274,29,16,95
2015-02,74,43~109,良,39,88,0.786,28,12,104
2015-03,107,64~176,轻度污染,50,162,0.653,32,12,119
2015-04,90,50~171,良,42,97,0.533,43,12,124
2015-05,83,65~156,良,20,76,0.732,9,14,134
2015-06,88,59~111,良,31,52,0.917,9,17,144
2015-07,63,29~130,良,32,50,0.683,9,17,58
2015-08,106,68~208,轻度污染,34,77,0.675,11,17,160
2015-09,78,52~136,良,38,67,0.7,12,17,124
2015-10,73,52~118,良,43,85,0.67,15,16,109
2015-11,69,42~138,良,45,70,0.73,21,15,99
2015-12,63,43~153,良,39,59,0.732,22,13,96
2016-01,72,45~136,良,40,83,0.752,16,14,100
2016-02,83,47~183,良,43,106,0.779,19,12,107
2016-03,96,60~256,良,52,133,0.729,21,13,117
2016-04,82,62~104,良,30,88,0.66,23,13,131
2016-05,92,57~190,良,30,95,0.658,14,11,137
2016-06,90,70~103,良,22,49,0.62,13,10,148
2016-07,93,50~124,良,26,54,0.713,21,12,150
2016-08,83,51~115,良,27,56,0.765,15,12,139
2016-09,69,49~92,良,18,42,0.627,13,13,122
2016-10,67,49~99,良,34,73,0.684,14,15,109
2016-11,73,40~207,良,33,80,0.89,22,15,104
2016-12,61,36~207,良,23,54,0.639,34,14,98
2017-01,76,40~321,良,25,56,0.523,16,13,99
2017-02,67,0~162,良,27,68,0.561,16,8,94
2017-03,71,42~107,良,34,67,0.523,16,11,121
2017-04,70,42~119,良,28,57,0.41,21,10,116
2017-05,75,62~97,良,24,46,0.49,12,8,130
2017-06,75,60~88,良,22,37,0.647,11,9,131
2017-07,74,41~96,良,26,42,0.7,13,10,128
2017-08,62,40~94,良,21,31,0.735,7,12,114
2017-09,55,43~77,良,25,35,0.687,11,17,104
2017-10,50,33~67,良,29,45,0.742,12,20,89
2017-11,53,34~76,良,25,47,0.667,13,19,87
2017-12,63,29~220,良,34,70,0.752,24,24,58
2018-01,53,0~86,良,24,49,0.629,20,22,90
2018-02,49,0~66,优,18,41,0.561,15,19,100
2018-03,47,0~80,优,13,29,0.477,12,20,114
2018-04,53,0~83,良,15,29,0.473,13,17,121
2018-05,70,50~83,良,19,45,0.529,16,10,123
2018-06,72,48~100,良,17,28,0.56,13,9,126
2018-07,58,0~84,良,15,23,0.59,12,8,113
2018-08,38,0~82,优,14,20,0.681,13,9,80
2018-09,52,0~78,良,15,23,0.443,14,13,96
2018-10,41,15~62,优,16,30,0.535,14,15,70
2018-11,38,0~54,优,13,24,0.753,13,16,80
2018-12,53,0~121,良,20,42,0.848,15,19,94
2019-01,52,37~82,良,24,43,0.897,17,17,96
2019-02,61,44~96,良,27,61,0.882,20,14,101
2019-03,66,53~85,良,23,53,0.416,15,13,116
2019-04,75,50~103,良,23,48,0.497,15,12,128
2019-05,87,62~174,良,25,50,0.597,16,11,140
2019-06,79,48~107,良,19,28,0.423,16,10,134
2019-07,82,19~106,良,13,24,0.703,8,11,136
2019-08,84,54~123,良,11,18,0.742,8,13,141
2019-09,69,55~102,良,20,25,0.62,13,14,123
2019-10,54,39~85,良,20,29,0.613,20,16,102
