month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,59,59~59,良,38,69,0.4,19,20,88
2015-01,75,39~190,良,46,93,0.452,13,16,87
2015-02,74,48~113,良,44,89,1.311,11,11,106
2015-03,110,68~333,轻度污染,57,160,0.4,13,12,117
2015-04,93,64~183,良,47,104,0.32,15,13,135
2015-05,92,74~176,良,40,96,0.252,16,11,141
2015-06,92,72~110,良,47,67,0.273,14,13,147
2015-07,93,71~110,良,35,59,0.316,13,9,151
2015-08,89,73~100,良,43,69,0.373,14,9,145
2015-09,71,49~151,良,37,64,0.42,15,12,118
2015-10,70,52~98,良,39,85,0.45,15,16,106
2015-11,63,48~112,良,40,67,0.507,12,17,91
2015-12,59,43~115,良,39,63,0.555,14,15,87
2016-01,64,44~242,良,36,74,0.577,16,14,89
2016-02,68,48~148,良,34,83,0.521,13,13,94
2016-03,98,54~327,良,45,133,0.484,15,18,109
2016-04,86,64~143,良,36,94,0.43,11,12,132
2016-05,98,69~347,良,35,91,0.414,13,11,137
2016-06,83,0~110,良,23,41,0.347,10,9,135
2016-07,79,42~120,良,24,49,0.461,6,13,133
2016-08,63,40~104,良,27,47,0.629,6,12,113
2016-09,55,44~74,良,18,33,0.53,9,15,105
2016-10,58,44~99,良,27,64,0.552,13,19,94
2016-11,66,0~134,良,32,83,0.677,19,25,80
2016-12,53,42~75,良,28,57,0.674,23,26,74
2017-01,69,0~330,良,36,85,0.884,18,21,77
2017-02,69,43~265,良,28,63,0.879,23,18,92
2017-03,66,52~95,良,29,67,0.948,30,17,113
2017-04,72,44~166,良,25,63,0.453,26,20,115
2017-05,85,25~130,良,22,50,0.477,25,18,135
2017-06,53,31~71,良,22,40,0.573,16,19,101
2017-07,73,35~311,良,24,38,0.642,14,16,117
2017-08,54,34~96,良,17,27,0.626,12,15,101
2017-09,44,37~55,优,17,28,0.61,11,19,89
2017-10,46,32~62,优,23,45,0.706,10,27,83
2017-11,53,38~78,良,30,57,0.833,14,26,82
2017-12,61,30~127,良,35,76,1.003,12,24,46
2018-01,50,0~121,良,26,57,0.839,9,18,73
2018-02,44,0~90,优,22,51,0.932,9,13,72
2018-03,39,0~88,优,17,37,0.565,9,13,75
2018-04,42,0~65,优,15,32,0.517,7,16,95
2018-05,43,0~82,优,18,44,0.606,6,15,86
2018-06,52,0~67,良,16,24,0.94,7,16,99
2018-07,56,0~86,良,12,20,0.781,6,16,104
2018-08,50,0~87,良,11,15,0.823,7,17,95
2018-09,48,38~60,优,13,24,0.753,8,18,95
2018-10,43,0~53,优,16,31,0.668,8,24,85
2018-11,42,35~51,优,17,32,0.917,10,24,78
2018-12,50,35~123,优,20,47,0.913,11,23,84
2019-01,54,35~123,良,25,51,0.945,12,21,94
2019-02,65,44~139,良,29,74,0.671,12,12,99
