month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,86,17~173,良,63,86,0.963,15,20,92
2014-01,78,41~152,良,55,79,0.916,9,19,95
2014-02,36,21~60,优,21,34,0.7,5,13,38
2014-03,40,19~57,优,20,40,0.7,4,15,38
2014-04,37,27~61,优,17,35,0.677,4,11,45
2014-05,32,25~43,优,13,29,0.635,4,13,58
2014-06,33,14~78,优,14,30,0.623,5,15,59
2014-07,26,18~38,优,10,25,0.574,5,14,40
2014-08,25,13~37,优,11,25,0.568,4,14,33
2014-09,30,14~66,优,16,30,0.633,5,14,50
2014-10,59,31~104,良,34,57,0.713,6,17,100
2014-11,44,25~90,优,23,42,0.747,5,15,68
2014-12,53,16~93,良,35,56,0.839,8,13,71
2015-01,58,30~112,良,38,59,0.835,7,13,79
2015-02,57,22~147,良,38,57,0.771,5,7,58
2015-03,34,18~51,优,17,34,0.639,4,10,46
2015-04,40,16~76,优,20,39,0.713,4,13,62
2015-05,31,21~46,优,13,30,0.571,3,14,52
2015-06,27,18~42,优,10,25,0.51,4,13,52
2015-07,34,22~55,优,15,31,0.584,6,14,63
2015-08,40,23~75,优,17,34,0.603,6,16,77
2015-09,40,21~80,优,16,33,0.627,5,13,76
2015-10,66,23~140,良,34,54,0.713,7,17,112
2015-11,42,24~89,优,17,35,0.637,5,10,80
2015-12,45,25~83,优,23,40,0.813,6,17,78
2016-01,42,23~62,优,21,38,0.797,5,19,74
2016-02,52,25~160,良,31,48,0.783,6,14,85
2016-03,49,23~110,优,24,45,0.668,6,18,83
2016-04,48,35~63,优,24,46,0.63,6,20,82
2016-05,45,22~102,优,18,36,0.597,6,17,78
2016-06,33,21~48,优,12,29,0.517,5,18,64
2016-07,32,20~52,优,12,31,0.49,4,16,58
2016-08,33,19~52,优,14,30,0.555,5,18,58
2016-09,41,15~61,优,20,37,0.613,6,17,72
2016-10,43,22~69,优,23,38,0.61,7,13,80
2016-11,38,13~67,优,18,34,0.6,6,12,69
2016-12,61,41~111,良,36,60,0.739,8,13,105
2017-01,54,25~98,良,28,46,0.758,6,10,95
2017-02,49,22~95,优,26,41,0.721,6,12,90
2017-03,47,28~95,优,24,45,0.7,5,15,79
2017-04,49,29~102,优,20,40,0.663,7,14,88
2017-05,45,24~103,优,15,30,0.635,7,11,87
2017-06,33,22~46,优,12,28,0.583,6,12,64
2017-07,26,17~36,优,10,22,0.584,6,12,50
2017-08,31,18~65,优,11,25,0.635,6,12,61
2017-09,30,18~44,优,13,26,0.61,5,11,59
2017-10,57,16~150,良,24,41,0.774,7,10,98
2017-11,55,24~139,良,28,46,0.77,7,12,93
2017-12,55,32~86,良,34,55,0.69,9,12,58
2018-01,41,18~69,优,22,38,0.555,5,14,65
2018-02,51,20~77,良,33,50,0.561,6,13,69
2018-03,38,19~75,优,18,35,0.5,4,12,64
2018-04,36,16~80,优,18,38,0.563,4,11,56
2018-05,32,19~44,优,12,24,0.494,4,15,62
2018-06,32,20~52,优,11,24,0.52,4,14,62
2018-07,23,15~39,优,7,18,0.484,4,10,45
2018-08,31,18~49,优,10,21,0.513,4,14,61
2018-09,40,18~85,优,15,28,0.547,5,12,75
2018-10,64,31~130,良,21,39,0.639,6,10,111
2018-11,47,22~98,优,18,33,0.623,5,11,87
2018-12,38,23~74,优,19,35,0.687,6,14,56
2019-01,49,26~102,优,25,43,0.752,6,14,81
2019-02,30,22~48,优,14,27,0.482,5,9,55
2019-03,34,22~51,优,16,33,0.548,5,12,59
2019-04,37,22~54,优,14,28,0.47,4,13,72
2019-05,43,25~61,优,13,27,0.539,5,16,84
2019-06,36,22~51,优,10,23,0.483,5,14,71
2019-07,36,25~60,优,11,23,0.487,4,12,70
2019-08,31,20~46,优,11,23,0.565,5,15,61
2019-09,64,22~131,良,20,36,0.647,5,15,109
2019-10,59,21~143,良,21,36,0.648,5,9,106
2019-11,79,35~132,良,26,46,0.633,5,12,132
2019-12,62,30~132,良,22,39,0.7,6,13,110
2020-01,46,25~66,优,15,29,0.684,3,9,89
2020-02,43,29~57,优,14,29,0.521,3,5,84
2020-03,36,22~52,优,13,27,0.565,3,10,70
2020-04,48,24~104,优,15,31,0.643,4,10,89
2020-05,44,30~74,优,13,29,0.555,4,13,87
2020-06,30,21~40,优,8,20,0.443,3,10,60
2020-07,30,19~47,优,8,20,0.394,4,11,59
2020-08,26,15~54,优,9,20,0.455,3,13,49
2020-09,26,15~50,优,9,19,0.49,4,13,51
2020-10,58,17~130,良,17,34,0.529,5,8,105
2020-11,67,27~115,良,22,43,0.497,6,12,116
2020-12,57,25~87,良,30,46,0.681,7,15,98
2021-01,64,32~98,良,32,50,0.581,6,19,109
2021-02,49,28~72,优,18,31,0.507,3,10,93
2021-03,41,23~123,优,13,29,0.532,3,12,78
2021-04,42,20~71,优,13,28,0.553,3,12,81
2021-05,32,22~78,优,10,21,0.419,3,9,63
2021-06,36,23~78,优,11,25,0.457,3,11,72
2021-07,28,16~44,优,8,18,0.413,4,10,55
2021-08,29,16~49,优,8,19,0.413,4,9,58
2021-09,27,15~58,优,9,18,0.433,3,10,54
2021-10,40,20~84,优,11,23,0.468,4,6,77
2021-11,61,25~113,良,18,35,0.423,5,8,107
2021-12,61,22~110,良,23,38,0.519,5,9,108
2022-01,48,32~84,优,17,30,0.571,4,8,91
2022-02,39,20~90,优,14,23,0.568,4,7,73
2022-03,36,21~65,优,14,28,0.455,4,10,69
2022-04,44,22~98,优,14,28,0.443,4,7,84
2022-05,36,22~74,优,10,21,0.439,3,6,70
2022-06,30,19~40,优,9,20,0.39,3,8,59
2022-07,31,18~49,优,9,18,0.49,3,8,61
2022-08,28,15~46,优,8,17,0.561,3,9,56
2022-09,60,13~119,良,19,32,0.63,5,11,106
2022-10,68,17~125,良,17,35,0.584,5,8,116
