month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,95,95~95,良,65,139,1.6,51,42,114
2015-01,77,51~229,良,40,92,0.771,22,12,113
2015-02,79,51~185,良,45,87,0.818,15,12,118
2015-03,107,63~244,轻度污染,52,153,0.673,17,11,130
2015-04,122,83~426,轻度污染,50,118,0.477,14,11,156
2015-05,99,68~188,良,37,99,0.468,13,9,149
2015-06,78,57~100,良,33,62,0.927,20,10,131
2015-07,65,51~104,良,30,43,0.713,20,9,115
2015-08,70,50~355,良,40,76,0.923,21,10,105
2015-09,60,46~128,良,38,67,0.77,12,14,92
2015-10,71,46~145,良,35,91,1.028,13,13,82
2015-11,60,40~76,良,34,69,1.115,27,16,87
2015-12,61,48~97,良,34,66,1.194,34,16,87
2016-01,55,37~128,良,26,60,1.203,33,13,77
2016-02,61,34~148,良,28,73,1.245,33,9,5
2016-03,85,39~216,良,38,119,1.142,27,9,62
2016-04,69,40~126,良,32,88,0.697,22,12,69
2016-05,70,38~151,良,37,91,0.484,14,14,69
2016-06,49,0~118,优,20,41,0.497,14,8,79
2016-07,69,49~115,良,27,62,0.387,14,5,107
2016-08,58,41~111,良,18,43,0.416,14,15,104
2016-09,48,0~71,优,12,26,0.353,14,11,87
2016-10,58,43~95,良,23,63,0.574,22,18,90
2016-11,63,41~163,良,28,77,0.69,22,21,74
2016-12,51,38~90,良,23,55,0.91,26,24,66
2017-01,57,37~157,良,22,56,1.042,35,19,81
2017-02,108,44~500,轻度污染,18,45,0.889,30,14,91
2017-03,62,45~130,良,20,51,0.861,22,10,110
2017-04,98,51~500,良,20,54,0.753,20,14,112
2017-05,72,48~124,良,19,53,0.648,18,13,122
2017-06,64,46~95,良,19,34,0.653,19,22,117
2017-07,70,49~95,良,21,38,0.645,12,11,122
2017-08,66,41~94,良,18,32,0.648,12,11,119
2017-09,55,43~75,良,20,34,0.643,16,11,105
2017-10,54,39~131,良,26,57,0.735,18,14,90
2017-11,45,37~69,优,19,40,0.85,19,16,85
2017-12,67,24~395,良,28,75,0.926,22,20,49
2018-01,41,0~81,优,17,38,0.816,20,15,76
2018-02,41,0~65,优,15,31,0.968,20,13,83
2018-03,42,0~76,优,14,31,0.806,18,11,86
2018-04,43,0~76,优,16,39,0.703,19,11,84
2018-05,46,0~88,优,17,38,0.581,17,9,101
2018-06,50,0~74,优,12,18,0.567,17,8,99
2018-07,54,0~85,良,14,20,0.59,16,9,107
2018-08,49,0~75,优,7,18,0.619,15,9,102
2018-09,53,0~74,良,10,29,0.613,11,11,107
2018-10,48,0~60,优,9,30,0.794,8,14,99
2018-11,46,0~65,优,10,30,0.763,12,14,95
2018-12,43,0~70,优,9,27,0.8,12,15,93
2019-01,49,35~154,优,13,45,0.852,8,12,82
2019-02,92,39~500,良,24,141,0.661,9,12,86
2019-03,64,47~152,良,20,71,0.426,7,21,99
2019-04,81,39~260,良,24,94,0.493,9,10,107
2019-05,83,58~118,良,19,63,0.574,8,13,137
2019-06,90,70~145,良,14,38,0.597,10,14,144
2019-07,96,76~112,良,13,26,0.658,10,13,155
2019-08,96,50~290,良,18,47,0.703,11,11,142
2019-09,79,60~129,良,13,29,0.653,12,10,132
2019-10,54,45~76,良,12,30,0.552,11,14,103
2019-11,51,41~72,良,10,35,0.47,9,18,95
2019-12,46,39~57,优,9,24,0.481,10,18,91
2020-01,49,40~57,优,10,29,0.565,9,17,94
2020-02,53,37~186,良,11,46,0.49,10,10,92
2020-03,58,0~199,良,12,60,0.49,7,9,92
2020-04,71,49~149,良,16,67,0.527,8,10,113
2020-05,74,60~123,良,14,51,0.439,8,5,124
2020-06,84,46~433,良,20,63,0.307,12,5,123
2020-07,77,54~156,良,15,39,0.358,11,5,129
2020-08,72,44~134,良,14,43,0.458,14,9,120
2020-09,63,48~115,良,12,46,0.433,10,14,110
2020-10,51,41~75,良,12,46,0.532,14,23,97
2020-11,60,35~463,良,15,61,0.547,15,24,81
2020-12,41,34~52,优,11,29,0.587,16,25,80
2021-01,59,37~191,良,11,33,0.6,17,27,78
2021-02,67,36~435,良,11,25,0.411,15,15,84
2021-03,92,42~500,良,10,29,0.419,16,17,95
2021-04,61,47~126,良,12,32,0.49,15,16,107
2021-05,69,44~141,良,11,27,0.468,15,12,118
2021-06,61,46~77,良,13,30,0.373,14,15,112
2021-07,74,0~121,良,11,20,0.416,14,11,129
2021-08,70,0~94,良,13,29,0.552,14,12,120
2021-09,65,44~87,良,14,32,0.42,15,13,117
2021-10,54,40~94,良,18,42,0.426,14,16,93
2021-11,45,33~84,优,13,33,0.337,16,17,87
2021-12,38,0~46,优,13,27,0.348,15,18,76
2022-01,50,36~207,良,12,25,0.326,9,13,96
2022-02,50,44~65,优,13,27,0.329,7,11,97
2022-03,58,43~76,良,20,59,0.345,7,16,98
2022-04,69,48~263,良,23,61,0.3,6,6,112
2022-05,80,55~272,良,19,51,0.306,6,6,127
2022-06,84,0~204,良,14,23,0.29,9,5,139
2022-07,77,47~113,良,19,36,0.326,5,4,132
2022-08,63,45~108,良,16,37,0.377,5,6,110
2022-09,65,49~88,良,11,22,0.293,5,5,117
2022-10,51,43~101,良,12,27,0.339,5,5,98
2022-11,51,37~104,良,15,42,0.393,7,7,85
2022-12,42,27~64,优,13,32,0.448,11,10,79
2023-01,67,29~500,良,23,88,0.568,11,12,71
2023-02,47,31~127,优,15,43,0.611,12,9,77
2023-03,52,42~87,良,22,45,0.519,11,8,94
2023-04,107,34~500,轻度污染,39,124,0.617,8,8,108
2023-05,69,53~166,良,17,39,0.487,9,8,118
2023-06,77,49~98,良,11,21,0.43,6,5,131
2023-07,73,48~110,良,16,31,0.445,9,9,126
2023-08,71,42~90,良,16,32,0.474,11,9,123
2023-09,57,42~70,良,15,38,0.433,10,9,108
2023-10,45,37~59,优,12,25,0.571,12,8,89
2023-11,55,0~500,良,17,66,0.477,10,11,70
2023-12,39,25~70,优,13,36,0.41,12,15,44
2024-01,51,35~164,良,12,35,0.535,13,11,95
2024-02,83,43~496,良,27,76,0.493,12,7,99
2024-03,77,45~362,良,18,76,0.542,11,10,109
2024-04,83,59~295,良,22,85,0.547,12,10,123
2024-05,83,64~115,良,21,57,0.529,7,8,136
2024-06,79,61~99,良,13,24,0.537,14,8,135
2024-07,80,50~110,良,18,37,0.526,9,8,132
2024-08,70,48~97,良,14,33,0.442,9,9,122
2024-09,66,44~327,良,17,49,0.433,9,9,104
2024-10,52,42~63,良,13,27,0.455,9,7,100
2024-11,47,41~61,优,13,34,0.483,13,8,91
2024-12,44,37~60,优,14,33,0.527,17,10,85
2025-01,48,36~125,优,14,45,0.503,16,9,85
2025-02,50,43~57,良,15,38,0.479,17,7,97
2025-03,76,49~169,良,27,95,0.458,14,5,105
2025-04,73,58~101,良,26,90,0.456,9,5,117
