month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,148,148~148,轻度污染,113,228,1.3,41,70,53
2014-01,114,44~262,轻度污染,84,124,0.79,20,33,73
2014-02,77,34~210,良,53,71,0.621,10,16,84
2014-03,84,45~180,良,58,93,0.697,22,29,105
2014-04,79,45~117,良,44,69,0.623,15,23,128
2014-05,108,52~201,轻度污染,62,114,0.673,25,31,160
2014-06,87,43~193,良,53,63,0.38,15,18,134
2014-07,79,32~151,良,40,56,0.4,13,18,122
2014-08,70,32~176,良,34,48,0.603,14,13,120
2014-09,69,42~105,良,32,46,0.544,14,13,119
2014-10,84,50~154,良,45,76,0.548,17,25,126
2014-11,83,40~170,良,58,89,0.632,19,24,96
2014-12,104,45~218,轻度污染,75,128,0.903,34,31,57
2015-01,119,31~300,轻度污染,89,129,0.984,31,41,62
2015-02,94,37~234,良,67,101,0.85,19,20,85
2015-03,79,41~176,良,52,82,0.739,20,28,105
2015-04,84,46~161,良,50,84,0.817,22,31,130
2015-05,76,39~157,良,35,61,0.555,19,20,126
2015-06,76,29~165,良,40,68,0.743,17,21,97
2015-07,81,32~190,良,38,60,0.558,24,19,130
2015-08,81,25~193,良,33,49,0.545,14,15,131
2015-09,76,43~153,良,31,46,0.593,14,12,130
2015-10,89,46~147,良,53,81,0.758,22,16,136
2015-11,74,32~170,良,53,63,0.973,17,21,81
2015-12,111,48~258,轻度污染,83,103,1.281,27,32,64
2016-01,100,30~226,良,73,92,0.929,25,31,64
2016-02,89,45~201,良,66,86,0.909,16,22,81
2016-03,79,33~130,良,56,77,0.687,21,26,99
2016-04,89,46~161,良,58,81,0.633,18,24,129
2016-05,93,43~157,良,49,69,0.555,17,19,141
2016-06,78,44~175,良,37,46,0.62,18,19,130
2016-07,105,24~202,轻度污染,36,47,0.732,20,17,158
2016-08,59,26~161,良,19,33,0.442,16,9,105
2016-09,72,27~168,良,34,47,0.577,18,13,121
2016-10,49,37~72,优,21,34,0.529,13,12,94
2016-11,65,32~118,良,43,68,0.737,19,26,78
2016-12,76,30~155,良,54,82,0.826,21,29,72
2017-01,66,32~147,良,46,66,0.774,15,19,73
2017-02,69,30~130,良,48,69,0.832,16,23,84
2017-03,63,37~102,良,42,65,0.681,17,21,95
2017-04,76,45~125,良,40,73,0.69,17,25,119
2017-05,83,38~142,良,33,60,0.51,15,18,129
2017-06,73,34~150,良,32,43,0.577,14,15,123
2017-07,99,26~204,良,32,47,0.665,19,26,154
2017-08,84,24~183,良,28,45,0.687,18,17,136
2017-09,71,36~191,良,23,42,0.593,16,14,122
2017-10,55,41~82,良,22,42,0.516,15,15,102
2017-11,69,38~114,良,42,75,0.643,18,37,86
2017-12,87,35~243,良,61,93,0.787,17,43,41
2018-01,85,33~242,良,57,81,0.897,13,33,71
2018-02,71,38~155,良,46,78,0.879,12,28,85
2018-03,63,39~117,良,39,60,0.826,11,30,93
2018-04,81,41~169,良,40,81,0.833,13,30,124
2018-05,80,39~148,良,37,62,0.684,11,25,128
2018-06,83,38~183,良,31,46,0.627,12,19,135
2018-07,61,22~163,良,20,33,0.552,11,14,103
2018-08,53,23~110,良,17,27,0.584,13,13,90
2018-09,66,24~201,良,25,39,0.683,21,16,98
2018-10,75,46~108,良,32,55,0.694,25,21,126
2018-11,71,32~129,良,43,63,0.867,9,25,104
2018-12,64,37~160,良,38,66,0.861,9,30,72
2019-01,76,34~143,良,50,78,1.135,11,31,84
2019-02,75,35~156,良,47,64,0.589,9,18,100
2019-03,77,39~139,良,49,79,0.452,13,31,115
2019-04,67,35~132,良,30,49,0.58,15,27,114
2019-05,78,28~171,良,28,53,0.635,19,17,98
2019-06,66,30~139,良,22,33,0.62,13,13,108
2019-07,82,23~148,良,23,34,0.558,14,17,134
2019-08,76,23~200,良,21,33,0.906,16,17,125
2019-09,62,18~133,良,19,33,0.843,15,14,110
2019-10,70,24~127,良,33,63,0.906,17,16,113
2019-11,60,31~118,良,30,68,0.91,12,17,92
2019-12,64,0~137,良,46,74,0.435,7,22,33
2020-01,78,21~201,良,54,73,1.219,18,18,57
2020-02,53,30~127,良,30,42,1.255,18,20,87
2020-03,58,38~100,良,24,45,1.068,9,25,103
2020-04,74,41~187,良,32,59,0.943,6,25,124
2020-05,84,34~151,良,26,49,0.781,8,22,138
2020-06,70,34~167,良,19,29,0.613,9,21,120
2020-07,67,33~153,良,15,25,0.79,6,17,116
2020-08,74,25~144,良,17,30,0.574,6,17,123
2020-09,82,36~194,良,21,36,0.87,7,21,135
2020-10,58,38~85,良,19,37,0.665,7,18,105
2020-11,51,23~105,良,25,48,0.83,7,22,84
2020-12,74,26~238,良,51,72,0.732,8,29,67
2021-01,70,35~108,良,43,80,0.758,10,34,67
2021-02,56,34~107,良,32,52,0.746,7,19,91
2021-03,69,35~263,良,33,73,0.658,8,23,107
2021-04,67,38~102,良,23,47,0.713,8,20,115
2021-05,98,29~201,良,24,58,0.687,7,22,152
2021-06,72,33~204,良,17,29,0.427,7,15,123
2021-07,65,0~152,良,15,26,0.371,8,16,108
2021-08,66,23~140,良,14,25,0.455,6,15,115
2021-09,70,18~146,良,16,29,0.483,7,18,121
2021-10,56,26~130,良,17,33,0.558,9,18,99
2021-11,66,34~105,良,33,64,0.697,12,37,87
2021-12,42,0~134,优,28,46,0.523,6,23,45
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
