month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,60,60~60,良,9,70,0.4,15,34,58
2015-01,126,51~234,轻度污染,91,123,1.265,27,49,47
2015-02,116,37~232,轻度污染,85,128,1.214,25,40,72
2015-03,82,46~132,良,55,86,1.697,21,35,85
2015-04,85,39~177,良,54,91,1.883,30,36,119
2015-05,90,57~150,良,49,92,0.913,26,24,141
2015-06,99,35~203,良,53,71,0.943,23,21,145
2015-07,80,46~163,良,40,64,0.803,20,22,129
2015-08,89,30~161,良,40,64,0.994,28,22,144
2015-09,86,43~134,良,46,84,1.013,28,28,135
2015-10,105,47~205,轻度污染,69,121,1.158,33,49,128
2015-11,79,37~138,良,54,81,1.273,31,48,56
2015-12,100,49~182,轻度污染,68,110,1.587,48,63,52
2016-01,121,47~234,轻度污染,89,113,1.503,41,66,49
2016-02,97,34~158,良,71,98,1.241,35,54,82
2016-03,101,52~198,轻度污染,70,105,1.152,34,47,115
2016-04,95,45~152,良,56,107,1.293,25,32,140
2016-05,96,48~139,良,42,87,0.813,15,31,150
2016-06,81,40~130,良,25,50,0.75,14,33,135
2016-07,54,29~115,良,26,49,0.752,16,29,91
2016-08,58,35~88,良,30,55,0.829,14,22,93
2016-09,81,36~130,良,39,75,0.98,19,30,126
2016-10,76,40~176,良,52,77,0.997,17,40,69
2016-11,105,35~240,轻度污染,77,116,1.167,23,50,63
2016-12,150,52~290,轻度污染,114,155,1.555,37,60,52
2017-01,139,55~301,轻度污染,107,139,1.584,26,52,60
2017-02,128,60~182,轻度污染,98,132,1.164,32,46,91
2017-03,101,48~201,轻度污染,74,118,1.042,23,43,110
2017-04,101,53~151,轻度污染,59,108,1.047,20,33,136
2017-05,143,50~500,轻度污染,41,83,0.865,18,27,173
2017-06,127,49~201,轻度污染,54,92,0.9,17,28,187
2017-07,80,32~137,良,37,56,0.806,15,22,124
2017-08,77,28~150,良,36,57,0.89,14,21,129
2017-09,79,31~122,良,47,62,0.883,19,26,124
2017-10,84,32~215,良,60,85,0.942,21,42,92
2017-11,105,55~204,轻度污染,76,122,0.917,26,53,71
2017-12,138,53~324,轻度污染,104,147,1.216,27,61,32
2018-01,150,53~253,轻度污染,114,145,1.058,24,49,57
2018-02,97,49~182,良,68,113,0.796,19,36,76
2018-03,89,48~172,良,62,92,0.845,17,33,102
2018-04,84,0~142,良,45,96,0.77,14,29,123
2018-05,68,0~117,良,35,56,0.768,13,24,129
2018-06,113,50~180,轻度污染,35,67,0.733,17,20,173
2018-07,67,21~130,良,23,43,0.681,12,15,113
2018-08,73,23~121,良,29,47,0.706,13,16,124
2018-09,74,39~110,良,33,59,0.707,14,26,123
2018-10,88,45~192,良,52,91,0.681,18,42,119
2018-11,99,0~301,良,73,95,0.953,13,41,71
2018-12,112,50~211,轻度污染,81,118,0.874,14,48,40
2019-01,141,55~245,轻度污染,106,140,1.258,18,49,49
2019-02,131,49~227,轻度污染,99,120,1.079,15,35,79
2019-03,89,50~170,良,61,102,0.7,15,35,104
2019-04,71,28~105,良,44,78,0.667,11,25,113
2019-05,89,47~162,良,36,81,0.503,11,23,140
2019-06,118,69~164,轻度污染,30,62,0.6,8,15,178
2019-07,96,36~174,良,26,47,0.658,7,16,153
2019-08,78,21~150,良,21,40,0.668,7,13,129
2019-09,97,52~157,良,34,63,0.8,10,20,152
2019-10,97,28~440,良,56,110,0.813,12,35,104
2019-11,98,51~163,良,68,120,0.79,12,40,82
2019-12,112,47~189,轻度污染,84,113,0.948,11,47,52
2020-01,145,57~253,轻度污染,109,132,1.21,10,36,62
2020-02,76,32~134,良,54,69,0.766,7,16,81
2020-03,78,41~133,良,52,85,0.69,8,28,91
2020-04,82,54~128,良,43,82,0.547,8,27,133
2020-05,95,33~174,良,35,77,0.645,7,19,148
2020-06,94,32~147,良,30,65,0.61,5,15,147
2020-07,71,28~141,良,24,37,0.555,4,12,123
2020-08,66,25~141,良,23,42,0.681,4,13,116
2020-09,90,48~151,良,35,64,0.683,8,23,147
2020-10,77,52~137,良,47,93,0.668,10,41,96
2020-11,90,43~199,良,62,105,0.727,10,42,68
2020-12,107,38~179,轻度污染,78,129,0.868,11,52,55
2021-01,113,64~246,轻度污染,59,95,0.952,10,43,61
2021-02,72,30~124,良,49,84,0.725,6,18,82
2021-03,102,33~484,轻度污染,41,70,0.652,6,23,88
2021-04,74,32~216,良,34,51,0.553,6,20,102
2021-05,87,30~456,良,27,53,0.558,5,15,117
2021-06,105,37~176,轻度污染,26,58,0.573,5,13,163
2021-07,50,21~100,良,15,26,0.506,4,9,94
2021-08,61,32~99,良,22,36,0.597,5,10,110
2021-09,69,29~112,良,23,45,0.6,7,14,119
2021-10,74,38~132,良,45,77,0.603,8,32,98
2021-11,86,28~178,良,60,104,0.71,10,42,78
2021-12,102,35~202,轻度污染,74,115,0.829,9,43,59
2022-01,131,46~203,轻度污染,98,130,1.081,6,42,64
2022-02,81,48~139,良,58,85,0.675,6,23,84
2022-03,85,42~165,良,33,58,0.665,7,23,95
2022-04,73,49~95,良,37,68,0.6,7,18,118
2022-05,88,49~136,良,33,62,0.523,8,16,144
2022-06,104,33~165,轻度污染,47,85,0.537,7,14,163
2022-07,72,35~118,良,20,30,0.6,6,10,125
2022-08,78,26~131,良,20,37,0.655,7,11,131
2022-09,87,43~131,良,25,53,0.593,9,18,142
2022-10,66,22~112,良,34,61,0.597,8,26,109
2022-11,68,26~144,良,46,70,0.657,7,26,76
2022-12,105,48~228,轻度污染,73,118,0.69,9,35,63
2023-01,109,46~226,轻度污染,80,123,0.765,10,31,83
2023-02,80,39~138,良,56,86,0.593,8,27,85
2023-03,109,43~500,轻度污染,58,150,0.665,9,27,115
2023-04,102,39~500,轻度污染,44,122,0.623,7,18,120
2023-05,81,28~126,良,28,56,0.6,7,15,131
2023-06,102,37~166,轻度污染,23,46,0.52,6,16,160
2023-07,70,24~124,良,16,28,0.445,4,11,120
2023-08,88,33~140,良,23,41,0.61,5,12,144
2023-09,79,40~121,良,27,47,0.567,6,15,133
2023-10,83,43~129,良,50,86,0.606,10,34,129
2023-11,83,32~163,良,53,100,0.6,8,35,79
2023-12,100,40~236,轻度污染,71,112,0.823,7,35,35
2024-01,114,36~231,轻度污染,84,120,0.829,8,38,66
2024-02,94,35~326,良,68,94,0.652,7,19,90
2024-03,85,58~131,良,54,101,0.6,7,23,109
2024-04,84,37~128,良,41,80,0.56,7,18,133
2024-05,106,50~177,轻度污染,34,77,0.539,7,14,163
2024-06,122,51~190,轻度污染,26,69,0.537,7,12,183
2024-07,63,31~115,良,18,30,0.568,5,7,111
2024-08,82,46~123,良,21,41,0.587,5,8,136
2024-09,67,27~116,良,21,38,0.547,6,9,116
2024-10,71,32~137,良,41,64,0.445,4,21,112
2024-11,63,38~114,良,39,66,0.503,3,24,81
2024-12,98,57~158,良,72,114,0.652,6,40,60
2025-01,103,42~207,轻度污染,74,116,0.748,8,32,76
2025-02,85,41~150,良,59,91,0.761,6,23,88
2025-03,85,39~159,良,51,97,0.755,7,24,107
2025-04,83,59~102,良,43,91,0.767,8,24,136
