month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,42,42~42,优,10,42,0.6,22,21,49
2015-01,88,43~169,良,62,102,1.016,29,27,49
2015-02,94,42~205,良,66,111,0.879,29,29,70
2015-03,67,45~107,良,44,78,0.719,21,23,66
2015-04,65,41~95,良,43,73,0.723,22,26,81
2015-05,78,52~145,良,53,91,0.852,18,30,102
2015-06,67,32~123,良,37,72,0.747,15,20,102
2015-07,57,32~134,良,29,57,0.752,13,18,87
2015-08,57,33~88,良,30,65,0.768,11,21,87
2015-09,66,36~110,良,40,72,0.81,13,24,82
2015-10,97,45~222,良,69,112,0.971,17,37,82
2015-11,79,35~202,良,54,84,1.053,20,35,44
2015-12,99,52~206,良,71,112,1.406,21,42,37
2016-01,100,44~225,轻度污染,74,102,1.265,20,40,43
2016-02,101,40~206,轻度污染,75,92,1.372,17,32,75
2016-03,98,38~206,良,66,96,1.077,17,32,96
2016-04,76,38~123,良,37,72,0.847,16,32,124
2016-05,77,42~147,良,45,83,0.752,24,29,118
2016-06,63,39~109,良,32,59,0.74,16,27,102
2016-07,52,32~79,良,29,57,0.758,16,26,72
2016-08,66,40~113,良,30,68,0.723,18,32,101
2016-09,84,33~139,良,44,79,0.85,17,34,130
2016-10,61,40~93,良,39,68,0.861,18,32,57
2016-11,88,38~211,良,63,106,0.96,17,41,58
2016-12,133,47~239,轻度污染,100,144,1.316,22,50,49
2017-01,127,45~251,轻度污染,96,135,1.374,22,43,57
2017-02,113,54~181,轻度污染,85,121,1.018,21,37,92
2017-03,94,48~155,良,69,118,0.858,21,38,104
2017-04,94,42~144,良,54,114,0.857,14,27,131
2017-05,133,56~500,轻度污染,39,88,0.716,18,27,165
2017-06,116,42~184,轻度污染,48,95,0.773,13,17,177
2017-07,70,35~143,良,31,69,0.652,9,15,118
2017-08,72,32~130,良,34,69,0.681,12,18,121
2017-09,78,38~140,良,38,79,0.74,16,25,119
2017-10,80,33~184,良,54,100,0.794,19,28,104
2017-11,109,51~239,轻度污染,82,137,0.887,22,43,79
2017-12,149,57~331,轻度污染,109,149,1.126,27,52,35
2018-01,138,54~231,轻度污染,104,128,0.987,19,36,58
2018-02,91,0~180,良,67,93,0.704,15,28,69
2018-03,81,42~178,良,57,84,0.697,15,27,95
2018-04,78,0~130,良,46,83,0.623,15,24,123
2018-05,72,0~132,良,38,59,0.626,13,19,128
2018-06,104,48~180,轻度污染,38,61,0.587,12,18,162
2018-07,66,23~105,良,27,44,0.542,11,16,113
2018-08,72,28~146,良,28,46,0.603,11,17,123
2018-09,72,33~112,良,32,66,0.647,16,22,119
2018-10,82,52~156,良,44,90,0.652,16,31,121
2018-11,91,0~236,良,67,98,0.85,15,38,77
2018-12,101,52~220,轻度污染,73,110,0.855,14,39,45
2019-01,134,53~222,轻度污染,101,136,0.971,15,42,50
2019-02,109,38~209,轻度污染,81,105,0.818,12,26,69
2019-03,96,55~175,良,68,121,0.648,16,33,103
2019-04,79,44~137,良,51,96,0.653,12,25,112
2019-05,89,47~138,良,36,86,0.552,13,22,141
2019-06,100,39~133,良,32,68,0.627,11,17,157
2019-07,81,37~141,良,27,55,0.584,12,16,134
2019-08,82,27~157,良,22,49,0.594,12,17,134
2019-09,83,43~141,良,34,71,0.717,15,23,134
2019-10,87,31~226,良,52,111,0.632,14,30,101
2019-11,94,49~188,良,63,121,0.643,15,37,82
2019-12,111,53~209,轻度污染,83,114,0.852,15,48,51
2020-01,121,49~241,轻度污染,90,112,0.984,11,33,56
2020-02,73,30~148,良,52,71,0.603,8,18,80
2020-03,76,40~123,良,49,85,0.606,10,27,94
2020-04,78,55~115,良,42,79,0.527,12,29,126
2020-05,97,38~182,良,35,75,0.577,10,22,150
2020-06,76,29~172,良,26,56,0.533,8,19,124
