month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,103,21~173,轻度污染,77,109,1.433,19,51,87
2014-01,82,43~130,良,60,90,1.248,14,42,96
2014-02,47,20~66,优,31,45,1.157,7,30,63
2014-03,56,27~90,良,37,61,0.919,8,37,64
2014-04,52,29~71,良,32,53,0.92,8,34,81
2014-05,34,22~51,优,17,32,0.874,6,28,51
2014-06,42,23~82,优,20,42,0.943,6,26,61
2014-07,44,26~105,优,20,43,1.097,7,27,70
2014-08,36,24~73,优,15,36,0.929,6,27,57
2014-09,52,27~125,良,26,51,1.13,7,30,83
2014-10,73,52~116,良,45,76,1.213,9,32,122
2014-11,62,38~93,良,43,66,1.187,9,37,87
2014-12,70,26~99,良,50,77,1.223,11,44,72
2015-01,70,30~131,良,49,80,1.226,10,45,91
2015-02,67,25~131,良,47,72,1.082,9,33,85
2015-03,49,32~70,优,31,52,0.977,7,33,65
2015-04,52,25~95,良,27,52,0.853,8,34,79
2015-05,36,24~76,优,16,33,0.829,7,29,58
2015-06,28,23~37,优,11,26,0.743,8,25,49
2015-07,43,29~83,优,19,34,0.835,8,27,73
2015-08,56,29~109,良,25,43,0.829,10,36,84
2015-09,61,30~114,良,30,46,0.743,8,30,101
2015-10,68,25~137,良,38,59,0.758,9,34,115
2015-11,54,30~94,良,32,52,0.82,8,32,97
2015-12,53,29~82,良,32,50,0.977,8,37,67
2016-01,54,33~99,良,30,44,0.981,7,38,67
2016-02,51,30~88,良,30,46,0.821,8,30,79
2016-03,62,31~119,良,35,53,0.855,10,43,86
2016-04,55,32~85,良,26,40,0.757,10,36,77
2016-05,53,29~112,良,22,36,0.81,9,26,91
2016-06,38,26~59,优,13,25,0.627,8,27,66
2016-07,51,24~167,良,17,30,0.668,9,27,84
2016-08,62,29~132,良,24,38,0.768,8,32,103
2016-09,64,35~134,良,27,42,0.783,8,30,102
2016-10,46,23~68,优,24,38,0.771,6,27,82
2016-11,55,33~111,良,31,49,0.85,7,36,85
2016-12,67,33~95,良,45,71,0.974,9,43,103
2017-01,61,37~85,良,38,55,0.997,8,33,92
2017-02,59,35~89,良,32,45,0.875,7,30,101
2017-03,54,36~87,良,31,51,0.832,7,34,90
2017-04,58,32~112,良,27,44,0.797,8,33,88
2017-05,67,30~149,良,27,42,0.848,8,31,110
2017-06,32,21~48,优,12,22,0.69,7,25,47
2017-07,39,21~151,优,14,24,0.671,7,23,62
2017-08,49,23~168,优,18,30,0.713,8,28,81
2017-09,64,23~187,良,25,39,0.76,7,29,104
2017-10,64,24~121,良,30,49,0.823,7,22,111
2017-11,59,32~102,良,37,58,0.85,8,33,91
2017-12,70,36~114,良,46,75,0.842,11,34,63
2018-01,58,27~125,良,37,58,0.755,7,34,80
2018-02,52,22~82,良,34,51,0.629,7,25,83
2018-03,53,23~75,良,26,43,0.558,7,27,92
2018-04,49,28~76,优,27,49,0.577,7,26,81
2018-05,46,24~123,优,16,28,0.471,7,23,84
2018-06,45,24~127,优,15,26,0.52,6,23,79
2018-07,32,19~85,优,11,23,0.445,6,21,56
2018-08,53,23~160,良,18,29,0.558,6,27,86
2018-09,53,22~90,良,22,36,0.543,7,27,92
2018-10,69,34~115,良,29,50,0.584,8,26,116
2018-11,50,36~87,优,28,47,0.61,7,29,83
2018-12,48,31~68,优,27,47,0.694,6,32,57
2019-01,59,39~99,良,38,62,0.91,6,36,73
2019-02,37,21~50,优,19,30,0.671,5,18,66
2019-03,46,29~75,优,23,36,0.655,4,26,77
2019-04,46,22~102,优,20,32,0.577,4,23,84
2019-05,46,24~98,优,17,30,0.574,4,20,85
2019-06,38,20~110,优,10,19,0.533,4,20,66
2019-07,40,21~150,优,14,27,0.535,4,20,69
2019-08,61,23~176,良,17,30,0.574,4,22,104
2019-09,86,19~169,良,24,42,0.58,5,24,138
2019-10,88,45~180,良,33,54,0.677,6,24,143
2019-11,81,41~110,良,36,69,0.6,7,31,135
2019-12,62,46~93,良,38,69,0.7,7,41,86
2020-01,47,19~67,优,27,45,0.674,5,24,80
2020-02,41,24~75,优,19,30,0.552,5,17,77
2020-03,44,29~66,优,21,38,0.619,5,24,73
2020-04,56,29~134,良,23,41,0.587,6,29,93
2020-05,40,20~80,优,14,26,0.552,5,23,74
2020-06,25,20~32,优,7,16,0.47,5,18,46
2020-07,27,19~69,优,7,16,0.513,6,17,52
2020-08,42,19~139,优,13,23,0.535,6,20,73
2020-09,54,19~138,良,16,28,0.617,6,22,93
2020-10,63,32~108,良,24,45,0.626,6,18,112
2020-11,63,32~103,良,27,53,0.647,7,27,107
2020-12,57,35~98,良,34,62,0.716,7,34,79
2021-01,67,44~101,良,36,72,0.694,7,42,94
2021-02,53,28~86,良,20,34,0.618,6,22,97
2021-03,48,24~93,优,19,41,0.629,6,27,80
2021-04,57,23~96,良,19,42,0.59,6,22,98
2021-05,35,21~111,优,10,22,0.535,6,19,65
2021-06,40,23~156,优,10,24,0.527,5,17,70
2021-07,44,18~168,优,10,22,0.519,5,18,76
2021-08,35,20~72,优,11,23,0.581,6,22,63
2021-09,60,19~164,良,16,29,0.593,6,22,102
2021-10,47,17~75,优,16,32,0.606,6,17,87
2021-11,57,29~79,良,23,49,0.54,7,29,103
2021-12,56,30~95,良,27,52,0.684,6,33,88
2022-01,48,25~69,优,26,41,0.71,5,27,85
2022-02,40,18~114,优,13,22,0.661,5,17,76
2022-03,49,23~84,优,17,31,0.626,5,22,90
2022-04,56,24~122,良,16,34,0.563,5,20,97
