month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,109,21~207,轻度污染,80,107,1.58,57,50,96
2014-01,132,50~240,轻度污染,100,117,1.758,49,52,105
2014-02,71,13~210,良,51,49,1.396,32,31,65
2014-03,84,22~180,良,58,91,1.768,32,27,69
2014-04,75,30~135,良,54,88,1.413,28,31,82
2014-05,57,32~151,良,33,61,1.429,25,32,69
2014-06,52,21~99,良,27,50,1.223,21,25,75
2014-07,43,20~68,优,16,40,1.271,16,23,74
2014-08,49,13~115,优,23,33,1.084,19,22,89
2014-09,53,23~119,良,32,48,1.167,18,24,91
2014-10,89,35~176,良,60,88,1.455,35,39,131
2014-11,55,16~125,良,29,55,1.557,32,44,82
2014-12,47,26~75,优,28,47,1.171,32,43,68
2015-01,82,24~162,良,60,91,1.506,32,57,78
2015-02,91,38~204,良,68,87,1.382,22,42,72
2015-03,51,14~83,良,34,50,1.571,19,43,44
2015-04,63,25~133,良,36,57,0.958,21,39,100
2015-05,40,22~59,优,15,31,0.919,17,34,73
2015-06,38,22~67,优,14,31,0.723,17,26,73
2015-07,54,27~156,良,27,43,0.639,15,26,94
2015-08,61,36~108,良,33,52,0.897,18,31,99
2015-09,55,27~99,良,28,47,0.953,12,26,91
2015-10,61,23~107,良,42,65,1.055,13,30,94
2015-11,43,28~82,优,24,42,1.143,11,28,50
2015-12,39,22~79,优,21,36,1,9,25,28
2016-01,51,28~103,良,29,44,1.226,15,37,49
2016-02,56,25~117,良,38,51,0.975,13,29,73
2016-03,74,20~152,良,51,70,1.213,15,48,66
2016-04,67,44~152,良,44,61,1.113,14,48,64
2016-05,68,33~163,良,35,57,1.106,14,38,104
2016-06,71,35~179,良,29,46,0.897,14,34,116
2016-07,65,33~162,良,28,48,0.865,12,31,104
2016-08,67,27~189,良,32,48,0.894,12,26,111
2016-09,70,30~168,良,37,54,0.93,14,29,114
2016-10,54,28~111,良,29,42,1.01,13,28,91
2016-11,67,32~165,良,34,59,1.287,13,44,80
2016-12,72,36~109,良,49,73,1.358,16,52,80
2017-01,79,29~180,良,51,71,1.487,12,38,76
2017-02,71,24~126,良,42,66,1.307,13,35,90
2017-03,68,36~122,良,37,70,1.594,10,53,54
2017-04,78,33~202,良,37,68,1.147,13,50,94
2017-05,85,35~188,良,38,58,1.087,11,41,133
2017-06,71,41~124,良,28,38,0.95,12,40,119
2017-07,75,37~180,良,25,41,1.026,11,43,118
2017-08,87,24~260,良,30,50,0.913,15,33,144
2017-09,83,40~155,良,39,59,0.957,15,35,129
2017-10,58,23~97,良,28,45,0.894,15,25,106
2017-11,57,25~109,良,36,53,1.073,15,33,62
2017-12,65,28~127,良,45,72,1.097,18,41,55
2018-01,73,26~200,良,49,70,1.184,13,48,65
2018-02,71,25~204,良,50,59,0.914,11,32,84
2018-03,79,27~148,良,50,65,0.997,12,47,102
2018-04,79,27~158,良,43,76,0.867,13,44,97
2018-05,62,33~126,良,24,45,0.7,11,32,104
2018-06,50,0~109,优,19,31,0.687,9,26,91
2018-07,54,20~118,良,20,35,0.635,10,27,96
2018-08,55,24~128,良,25,39,0.848,9,29,95
2018-09,52,0~90,良,26,42,0.763,10,27,95
2018-10,67,23~125,良,36,54,0.897,13,32,99
2018-11,61,27~103,良,41,56,1.003,11,37,68
2018-12,58,23~178,良,40,52,1.029,8,36,40
2019-01,62,28~127,良,44,55,1.306,9,33,58
2019-02,46,23~102,优,29,39,1.239,8,25,39
2019-03,55,20~94,良,33,50,0.955,9,39,55
2019-04,50,28~80,良,26,42,0.873,8,36,64
2019-05,57,29~167,良,25,39,0.732,7,30,92
2019-06,57,27~108,良,19,36,0.59,7,27,100
2019-07,54,22~100,良,19,38,0.561,7,27,98
2019-08,57,20~153,良,23,42,0.606,7,25,102
2019-09,83,32~139,良,31,58,0.707,9,31,136
2019-10,75,28~131,良,41,68,0.755,12,34,123
2019-11,82,33~150,良,45,81,0.757,13,45,129
2019-12,73,38~148,良,48,80,0.932,13,49,80
2020-01,69,25~183,良,47,66,1.023,8,40,70
2020-02,54,22~100,良,35,42,0.728,7,24,78
2020-03,50,25~75,优,28,43,0.752,7,35,54
2020-04,71,25~189,良,37,56,0.733,10,37,99
2020-05,59,30~139,良,24,46,0.639,7,26,105
2020-06,49,33~92,优,16,34,0.52,7,27,89
2020-07,65,34~106,良,20,40,0.484,9,25,115
2020-08,64,23~130,良,19,41,0.594,7,25,110
2020-09,56,25~161,良,21,40,0.84,7,26,96
2020-10,59,33~111,良,26,48,0.865,9,25,104
2020-11,61,28~119,良,34,56,0.923,10,33,99
2020-12,51,18~99,良,33,45,1.019,10,27,71
2021-01,68,33~128,良,40,72,0.961,11,38,99
2021-02,71,23~128,良,28,46,0.879,9,25,115
2021-03,64,27~120,良,30,60,0.977,11,36,87
2021-04,69,27~153,良,25,46,0.933,7,31,106
