month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,120,20~239,轻度污染,91,148,1.667,32,71,61
2014-01,103,44~269,轻度污染,76,119,1.423,21,63,63
2014-02,54,12~97,良,38,52,1.179,13,42,58
2014-03,78,31~149,良,56,91,1.587,21,64,79
2014-04,73,34~121,良,50,87,1.317,20,70,94
2014-05,82,35~131,良,53,90,1.265,17,63,104
2014-06,65,23~146,良,37,60,0.95,13,38,104
2014-07,54,28~105,良,28,51,0.777,9,29,89
2014-08,55,29~93,良,31,48,1.006,9,38,97
2014-09,65,29~114,良,32,50,0.927,10,34,111
2014-10,75,45~141,良,47,78,0.877,16,42,121
2014-11,68,27~108,良,47,76,1.133,19,52,76
2014-12,82,51~122,良,59,100,1.094,28,61,59
2015-01,100,22~193,良,73,117,1.155,26,67,58
2015-02,72,25~136,良,51,75,0.811,9,40,75
2015-03,66,24~105,良,45,71,0.874,17,52,83
2015-04,82,40~162,良,55,96,1.09,21,60,101
2015-05,72,38~95,良,46,76,0.932,18,47,109
2015-06,70,41~116,良,40,71,0.883,15,39,112
2015-07,58,23~120,良,27,46,0.735,10,28,98
2015-08,61,24~105,良,30,48,0.71,9,27,101
2015-09,77,30~128,良,34,54,0.71,9,36,117
2015-10,70,40~155,良,40,68,0.768,13,41,101
2015-11,67,38~103,良,39,65,1.07,15,51,46
2015-12,72,40~130,良,45,72,1.084,16,49,44
2016-01,78,33~193,良,51,81,1.068,12,48,45
2016-02,67,31~130,良,45,72,0.797,8,32,86
2016-03,80,34~109,良,53,95,0.877,19,57,91
2016-04,83,55~126,良,48,89,1.08,20,60,82
2016-05,77,55~112,良,43,81,0.952,16,41,113
2016-06,66,39~120,良,32,63,0.903,13,37,103
2016-07,64,25~119,良,28,52,0.732,10,25,107
2016-08,63,25~148,良,23,44,0.735,9,21,106
2016-09,62,17~127,良,27,47,0.693,9,28,99
2016-10,55,27~80,良,26,52,0.829,11,37,73
2016-11,69,27~102,良,40,72,0.953,16,52,60
2016-12,75,38~118,良,47,88,1.003,16,54,65
2017-01,67,41~132,良,41,68,0.768,8,39,70
2017-02,70,36~140,良,49,76,0.854,10,41,87
2017-03,75,47~133,良,50,80,0.829,12,52,88
2017-04,88,52~129,良,47,84,0.947,17,56,116
2017-05,79,47~157,良,32,63,0.794,14,40,121
2017-06,66,45~103,良,35,53,0.81,11,46,92
2017-07,69,28~160,良,26,50,0.61,12,30,118
2017-08,67,22~123,良,26,48,0.648,11,29,115
2017-09,66,32~141,良,25,45,0.707,10,29,116
2017-10,56,30~98,良,27,47,0.635,11,27,98
2017-11,64,31~101,良,37,66,0.73,12,48,58
2017-12,83,24~148,良,56,97,0.839,15,53,37
2018-01,67,25~124,良,42,70,0.742,11,47,50
2018-02,62,31~93,良,39,65,0.646,9,27,81
2018-03,58,39~87,良,32,54,0.648,9,41,82
2018-04,76,42~117,良,41,87,0.693,10,43,103
2018-05,63,33~105,良,30,59,0.745,7,31,106
2018-06,61,34~104,良,25,46,0.65,6,31,104
2018-07,46,20~106,优,19,38,0.574,6,23,78
2018-08,43,18~84,优,18,33,0.623,6,21,82
2018-09,50,27~107,优,18,37,0.597,6,25,89
2018-10,65,37~102,良,26,55,0.603,8,36,105
2018-11,54,30~80,良,25,51,0.74,7,40,58
2018-12,57,22~102,良,28,61,0.777,8,41,40
2019-01,65,32~114,良,37,71,0.929,7,43,47
2019-02,43,21~79,优,23,36,0.754,6,24,54
2019-03,63,35~88,良,37,64,0.761,8,46,80
2019-04,60,40~80,良,27,50,0.73,8,42,85
2019-05,71,41~103,良,29,62,0.603,9,37,114
2019-06,55,33~118,良,23,40,0.7,7,30,93
2019-07,45,24~94,优,19,38,0.655,6,27,72
2019-08,47,14~102,优,19,37,0.69,6,20,83
2019-09,68,23~140,良,22,41,0.567,7,23,116
2019-10,67,18~112,良,29,56,0.635,7,28,111
2019-11,59,28~90,良,30,65,0.547,9,37,82
2019-12,67,30~94,良,41,77,0.794,11,48,57
2020-01,55,25~87,良,30,49,0.723,8,28,62
2020-02,51,21~90,良,24,38,0.497,6,9,92
2020-03,54,28~77,良,24,47,0.594,7,33,79
2020-04,78,50~115,良,34,69,0.543,8,39,122
2020-05,70,36~104,良,25,56,0.51,6,30,111
2020-06,57,39~90,良,23,50,0.57,5,33,96
2020-07,64,23~110,良,22,49,0.523,5,25,107
2020-08,45,21~92,优,16,37,0.452,6,20,78
2020-09,66,36~134,良,23,46,0.667,6,33,105
2020-10,61,38~94,良,21,49,0.465,6,29,109
2020-11,57,32~100,良,25,59,0.57,7,38,77
2020-12,60,32~95,良,36,67,0.506,8,44,53
2021-01,65,33~100,良,38,78,0.629,8,44,61
2021-02,54,27~84,良,31,53,0.557,5,22,85
2021-03,57,31~80,良,30,59,0.565,6,39,79
2021-04,62,36~101,良,26,52,0.517,6,37,97
2021-05,64,38~100,良,26,51,0.59,5,36,100
2021-06,52,29~101,良,20,39,0.493,4,29,90
2021-07,46,19~84,优,17,36,0.468,4,20,82
