month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,168,55~267,中度污染,129,189,1.797,63,67,62
2014-01,202,76~362,重度污染,159,218,1.758,57,55,71
2014-02,98,27~212,良,74,102,1.161,29,29,49
2014-03,88,50~156,良,64,101,1.165,36,37,70
2014-04,82,42~151,良,58,101,0.97,31,41,93
2014-05,90,42~150,良,62,115,0.894,33,35,85
2014-06,95,37~288,良,70,101,1.1,24,30,108
2014-07,70,39~116,良,47,76,0.903,27,33,95
2014-08,65,31~117,良,45,67,1.177,21,29,91
2014-09,68,30~102,良,47,73,0.98,30,34,84
2014-10,120,39~248,轻度污染,90,142,1.061,37,57,110
2014-11,94,47~261,良,68,110,1.19,30,50,40
2014-12,99,60~222,良,73,115,1.01,40,51,45
2015-01,139,44~254,轻度污染,106,156,1.361,37,53,44
2015-02,106,24~187,轻度污染,79,123,1.286,26,39,61
2015-03,73,28~186,良,50,88,1.165,18,38,51
2015-04,67,33~97,良,46,80,0.993,23,41,73
2015-05,79,45~177,良,55,86,1.113,21,32,95
2015-06,55,30~112,良,30,52,1.06,19,25,90
2015-07,63,30~162,良,42,64,0.997,14,25,93
2015-08,68,26~121,良,39,65,1.035,16,27,109
2015-09,79,34~127,良,51,83,0.967,20,31,120
2015-10,95,32~140,良,68,113,0.952,23,44,120
2015-11,61,32~98,良,42,67,1.12,20,38,44
2015-12,107,39~227,轻度污染,78,114,1.061,22,45,43
2016-01,113,64~214,轻度污染,83,122,1.126,22,46,44
2016-02,96,43~220,良,68,114,1.024,24,37,77
2016-03,88,36~153,良,63,107,1.071,32,44,88
2016-04,63,36~95,良,41,71,0.92,24,33,84
2016-05,64,43~112,良,39,68,0.903,24,28,97
2016-06,59,37~98,良,33,57,0.92,22,22,98
2016-07,54,27~90,良,31,57,0.961,21,22,81
2016-08,68,43~117,良,37,64,1.071,20,23,105
2016-09,85,32~142,良,51,84,1.08,21,30,130
2016-10,64,28~134,良,43,69,0.9,18,29,65
2016-11,75,25~155,良,52,90,1.033,21,38,49
2016-12,109,44~199,轻度污染,80,136,1.277,30,60,57
2017-01,121,48~264,轻度污染,91,139,1.3,25,46,58
2017-02,84,34~167,良,62,93,1.036,26,40,77
2017-03,72,31~198,良,44,82,0.913,20,43,62
2017-04,69,32~108,良,37,75,0.933,23,37,108
2017-05,92,42~197,良,37,68,0.916,19,35,133
2017-06,53,31~122,良,24,42,0.817,19,26,90
2017-07,56,22~113,良,25,45,0.79,19,21,101
2017-08,52,33~86,良,23,43,0.784,19,21,97
2017-09,75,34~146,良,35,59,0.82,17,27,120
2017-10,67,20~157,良,46,67,0.787,13,32,90
2017-11,119,42~250,轻度污染,91,112,1.04,21,53,67
2017-12,127,65~220,轻度污染,95,126,1.071,26,63,34
2018-01,108,30~287,轻度污染,81,98,0.939,20,44,48
2018-02,101,39~216,轻度污染,73,104,0.843,18,35,74
2018-03,71,28~138,良,50,69,0.813,19,40,79
2018-04,60,0~100,良,35,61,0.727,17,31,96
2018-05,50,0~89,优,25,44,0.739,13,24,99
2018-06,63,30~139,良,24,41,0.763,14,25,107
2018-07,52,23~84,良,21,35,0.703,16,21,96
2018-08,68,30~129,良,22,38,0.781,12,21,119
2018-09,66,27~110,良,30,52,0.737,11,22,113
2018-10,81,30~160,良,49,68,0.752,12,36,110
2018-11,74,23~176,良,52,64,0.86,16,41,60
2018-12,111,33~332,轻度污染,82,88,0.961,12,40,36
2019-01,139,40~250,轻度污染,105,117,1.29,14,44,41
2019-02,76,20~229,良,56,65,1,12,23,46
2019-03,68,32~104,良,48,65,0.971,12,39,71
2019-04,56,26~85,良,36,51,0.88,11,28,83
2019-05,69,34~118,良,35,64,0.826,11,29,104
2019-06,55,27~125,良,24,36,0.823,9,26,95
2019-07,57,29~122,良,21,34,0.745,6,21,103
2019-08,91,36~140,良,28,49,0.79,8,27,147
2019-09,112,41~172,轻度污染,38,66,0.803,9,29,170
2019-10,74,20~161,良,46,67,0.874,10,35,94
2019-11,88,28~195,良,61,86,0.76,10,41,88
2019-12,105,46~259,轻度污染,78,91,0.99,10,51,50
2020-01,80,32~163,良,58,61,0.897,6,33,46
2020-02,59,20~125,良,40,44,0.748,7,20,62
2020-03,54,23~100,良,36,45,0.684,6,27,68
2020-04,76,35~124,良,41,59,0.753,10,36,116
2020-05,68,37~129,良,29,55,0.723,9,26,114
2020-06,42,29~81,优,16,30,0.697,9,20,79
2020-07,49,27~88,优,19,35,0.706,8,20,91
2020-08,59,25~133,良,17,33,0.642,9,20,106
2020-09,51,29~106,良,25,39,0.737,6,26,88
2020-10,72,22~156,良,46,63,0.706,7,30,87
2020-11,72,32~134,良,48,70,0.757,7,43,70
2020-12,123,39~200,轻度污染,92,107,1.01,9,50,46
2021-01,108,55~235,轻度污染,74,98,0.984,11,50,55
2021-02,79,23~158,良,58,65,0.971,7,28,65
2021-03,63,25~107,良,39,49,0.874,7,32,59
2021-04,64,23~105,良,44,40,0.807,6,29,69
2021-05,53,32~94,良,28,41,0.739,7,24,86
2021-06,60,24~113,良,24,37,0.707,8,21,106
2021-07,57,26~104,良,20,33,0.665,11,18,104
2021-08,55,30~154,良,19,32,0.697,7,17,100
2021-09,82,37~130,良,28,45,0.76,8,23,136
2021-10,73,25~180,良,45,52,0.668,6,26,89
2021-11,79,28~182,良,53,73,0.753,8,40,78
2021-12,103,39~219,轻度污染,76,91,0.884,9,46,61
2022-01,100,26~219,轻度污染,74,79,0.977,6,35,42
2022-02,67,33~155,良,48,55,0.736,6,28,56
2022-03,57,20~115,良,38,57,0.635,9,28,78
2022-04,67,31~105,良,35,55,0.69,11,24,110
2022-05,64,27~100,良,36,48,0.768,8,24,97
2022-06,49,23~117,优,17,30,0.597,8,14,89
2022-07,52,22~105,良,16,28,0.539,10,14,96
2022-08,56,33~115,良,17,30,0.571,10,13,103
2022-09,112,46~162,轻度污染,38,66,0.58,8,21,171
2022-10,79,17~144,良,41,56,0.465,8,24,115
2022-11,66,28~112,良,43,55,0.583,7,29,78
2022-12,83,41~129,良,60,88,0.755,8,37,56
2023-01,112,28~281,轻度污染,83,112,0.935,7,28,76
2023-02,84,27~144,良,61,54,0.729,6,31,56
2023-03,79,22~158,良,49,77,0.781,8,27,81
2023-04,59,21~94,良,27,54,0.657,9,20,98
2023-05,61,32~118,良,29,47,0.474,8,18,106
2023-06,63,32~123,良,20,35,0.523,8,13,111
2023-07,53,39~99,良,16,31,0.51,9,14,100
2023-08,77,33~126,良,22,39,0.561,7,17,130
2023-09,51,28~102,良,19,36,0.523,7,15,92
2023-10,66,21~106,良,39,58,0.774,9,29,103
2023-11,65,25~97,良,43,71,0.86,9,33,76
2023-12,82,23~251,良,59,81,0.852,7,35,35
2024-01,88,29~192,良,65,78,1.01,6,35,56
2024-02,73,22~247,良,53,63,0.803,5,15,70
2024-03,74,33~124,良,47,61,0.829,8,25,87
2024-04,67,40~92,良,42,46,0.85,6,22,94
2024-05,74,37~142,良,31,51,0.842,7,19,121
2024-06,44,24~95,优,16,24,0.79,7,12,84
2024-07,51,26~97,良,13,24,0.645,9,10,97
2024-08,60,37~102,良,18,34,0.81,7,14,110
2024-09,80,35~137,良,32,54,0.727,6,16,133
2024-10,88,25~200,良,55,69,0.613,6,22,111
2024-11,87,25~173,良,62,75,0.677,6,29,97
2024-12,101,55~185,轻度污染,75,97,0.645,8,37,68
2025-01,108,25~270,轻度污染,80,110,0.997,8,38,88
2025-02,74,36~129,良,52,69,0.889,5,24,57
2025-03,65,24~113,良,38,58,0.732,6,25,88
2025-04,84,70~99,良,52,87,0.956,10,32,124
