month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2015-01,108,27~179,轻度污染,81,118,0.871,29,29,44
2015-02,91,22~156,良,68,92,0.743,18,18,58
2015-03,69,34~141,良,49,74,0.713,16,19,57
2015-04,60,32~109,良,41,65,0.567,9,16,73
2015-05,60,35~115,良,38,62,0.452,9,13,79
2015-06,48,27~76,优,27,46,0.47,11,12,73
2015-07,51,29~75,良,28,47,0.774,10,12,83
2015-08,52,34~82,良,30,51,0.558,10,13,79
2015-09,65,26~102,良,45,66,0.413,9,15,85
2015-10,76,37~122,良,54,87,0.332,11,21,85
2015-11,53,23~94,良,36,55,0.487,10,22,36
2015-12,78,28~137,良,56,88,0.439,18,27,52
2016-01,95,46~173,良,70,103,0.442,19,27,63
2016-02,89,43~206,良,63,104,0.338,19,21,73
2016-03,86,44~128,良,61,99,0.481,13,26,78
2016-04,62,32~103,良,36,70,0.483,11,19,77
2016-05,57,31~87,良,32,63,0.519,11,13,86
2016-06,49,27~77,优,22,49,0.507,8,11,70
2016-07,48,27~68,优,24,51,0.894,6,11,67
2016-08,57,28~83,良,29,64,0.619,5,17,86
2016-09,76,35~98,良,45,92,0.573,7,21,115
2016-10,52,25~84,良,31,59,0.729,5,16,74
2016-11,64,29~113,良,43,75,0.787,7,18,39
2016-12,93,32~155,良,67,112,0.887,5,27,51
2017-01,108,34~250,轻度污染,82,126,0.932,6,21,62
2017-02,77,35~174,良,56,84,0.789,3,19,57
2017-03,61,27~98,良,40,69,0.748,4,20,66
2017-04,63,24~91,良,37,78,0.81,4,18,71
2017-05,63,21~112,良,26,70,0.8,3,15,87
2017-06,47,30~66,优,17,42,1.337,3,15,69
2017-07,56,35~76,良,24,61,1.732,3,14,75
2017-08,51,30~73,良,24,51,1.261,3,13,77
2017-09,57,31~106,良,29,58,0.733,2,17,86
2017-10,48,19~102,优,29,51,0.542,2,15,70
2017-11,72,39~111,良,47,88,0.487,6,28,65
2017-12,92,52~142,良,66,119,0.529,10,39,30
2018-01,79,23~135,良,58,89,0.558,5,22,43
2018-02,89,35~152,良,65,108,0.679,7,22,64
2018-03,54,22~89,良,36,60,0.523,5,21,56
2018-04,57,29~81,良,33,64,0.49,5,23,70
2018-05,51,25~91,良,28,55,0.942,4,13,66
2018-06,41,25~69,优,22,39,0.747,3,12,68
2018-07,32,21~43,优,16,29,0.684,2,9,57
2018-08,39,25~64,优,18,30,0.903,2,10,75
2018-09,37,20~58,优,18,30,0.99,3,13,66
2018-10,46,23~82,优,24,40,0.768,3,15,77
2018-11,45,15~83,优,29,43,0.673,4,19,44
2018-12,67,23~155,良,47,71,0.574,4,25,39
2019-01,93,28~172,良,69,95,0.813,5,29,34
2019-02,61,20~173,良,43,57,0.964,6,14,52
2019-03,48,23~65,优,28,50,0.871,10,20,63
2019-04,43,20~60,优,24,42,0.717,8,18,64
2019-05,45,22~86,优,22,47,0.677,6,13,62
2019-06,39,23~69,优,17,30,0.77,6,11,71
2019-07,39,26~75,优,16,30,0.79,4,8,73
2019-08,55,25~87,良,21,35,0.855,4,7,100
2019-09,66,42~94,良,27,43,0.87,5,12,117
2019-10,43,25~99,优,22,37,0.887,6,16,77
2019-11,52,15~72,良,32,54,0.757,6,20,65
2019-12,65,34~163,良,45,69,0.932,6,25,50
2020-01,54,23~94,良,37,50,1.09,5,16,47
2020-02,49,20~79,优,33,42,0.783,5,13,48
2020-03,49,28~73,优,29,48,0.613,6,16,68
2020-04,55,31~92,良,27,44,0.543,7,19,97
2020-05,44,27~80,优,22,38,0.819,7,16,78
2020-06,32,21~46,优,12,26,0.827,5,13,55
2020-07,32,20~43,优,12,25,0.919,5,9,56
2020-08,39,23~90,优,12,24,0.906,6,8,74
2020-09,38,25~79,优,12,22,0.87,5,13,73
2020-10,45,18~80,优,23,43,0.958,6,17,76
2020-11,50,20~87,优,29,51,0.943,7,20,70
2020-12,69,38~115,良,48,78,0.765,9,25,55
2021-01,76,27~129,良,52,92,0.868,9,29,59
2021-02,53,26~132,良,36,50,0.75,8,14,67
2021-03,43,22~89,优,22,37,0.668,6,17,56
2021-04,39,20~64,优,16,26,0.647,9,14,72
2021-05,43,20~82,优,15,30,0.587,8,11,79
2021-06,49,22~101,优,15,24,0.603,6,8,90
2021-07,41,26~74,优,12,20,0.51,6,6,80
2021-08,42,24~71,优,13,22,0.619,6,5,81
2021-09,49,27~92,优,16,25,0.617,5,7,94
2021-10,42,21~64,优,19,29,0.542,4,10,76
2021-11,46,25~72,优,28,44,0.513,8,16,58
2021-12,59,27~99,良,41,60,0.755,7,23,59
2022-01,60,20~134,良,43,54,0.913,5,21,45
2022-02,48,23~149,优,33,41,0.521,5,11,61
2022-03,48,22~75,优,25,41,0.648,6,12,73
2022-04,54,33~95,良,20,32,0.783,6,9,99
2022-05,45,23~82,优,17,26,0.69,7,12,84
2022-06,40,14~92,优,14,22,0.49,6,8,77
2022-07,38,24~59,优,10,16,0.542,6,6,75
2022-08,44,33~72,优,13,19,0.603,6,6,87
2022-09,79,28~105,良,24,38,0.493,7,11,132
2022-10,55,18~108,良,19,29,0.526,7,13,97
2022-11,43,25~77,优,24,35,0.47,8,16,75
2022-12,60,38~80,良,41,62,0.397,8,19,62
2023-01,81,29~163,良,58,81,0.526,8,16,73
2023-02,56,20~99,良,38,51,0.539,8,16,65
2023-03,48,18~89,优,25,45,0.503,7,14,74
2023-04,51,28~84,良,24,45,0.537,7,12,87
2023-05,45,27~64,优,20,30,0.461,7,11,86
2023-06,47,21~79,优,14,22,0.553,6,9,89
2023-07,40,21~97,优,12,20,0.61,7,9,78
2023-08,54,32~79,良,16,24,0.606,6,8,100
2023-09,46,17~84,优,16,23,0.523,6,9,88
2023-10,45,26~80,优,19,25,0.503,7,11,85
2023-11,42,15~59,优,25,38,0.457,9,14,63
2023-12,53,15~158,良,37,48,0.523,8,18,26
2024-01,72,20~137,良,52,57,0.594,7,18,51
2024-02,60,23~148,良,40,54,0.614,6,11,65
2024-03,56,29~97,良,33,49,0.571,7,14,84
2024-04,44,32~59,优,20,29,0.66,8,9,83
2024-05,55,30~104,良,21,31,0.671,8,8,98
2024-06,40,20~64,优,12,19,0.71,7,7,78
2024-07,33,20~55,优,11,16,0.619,6,7,66
2024-08,42,21~65,优,16,24,0.561,7,7,82
2024-09,55,33~95,良,26,33,0.667,8,10,103
2024-10,50,18~86,优,24,34,0.697,8,13,88
2024-11,50,19~84,良,30,40,0.71,7,17,79
2024-12,71,30~134,良,51,66,0.658,7,24,67
2025-01,92,25~216,良,67,88,0.903,8,26,68
2025-02,57,24~112,良,37,52,0.743,7,16,62
2025-03,52,32~83,良,29,44,0.529,7,15,80
2025-04,65,46~79,良,42,63,0.544,8,16,94
