month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-01,153,67~296,中度污染,119,178,0.707,38,65,42
2014-02,102,27~262,轻度污染,76,105,0.746,26,37,78
2014-03,103,53~181,轻度污染,75,123,0.706,31,52,124
2014-04,105,52~203,轻度污染,60,90,0.537,25,40,143
2014-05,128,50~323,轻度污染,76,134,0.673,30,42,175
2014-06,108,48~201,轻度污染,68,99,0.9,16,38,152
2014-07,94,28~159,良,52,74,0.861,18,31,141
2014-08,67,33~140,良,40,66,1.377,25,32,106
2014-09,63,38~125,良,32,61,0.7,15,35,104
2014-10,74,31~106,良,41,75,1.042,19,51,114
2014-11,93,44~217,良,68,112,1.13,33,63,63
2014-12,78,54~144,良,51,95,0.945,39,59,55
2015-01,125,53~221,轻度污染,93,153,0.839,30,58,57
2015-02,100,37~180,良,72,116,0.739,19,37,87
2015-03,89,41~203,良,58,98,0.674,21,42,102
2015-04,94,51~158,良,55,100,0.647,35,44,130
2015-05,103,47~187,轻度污染,54,89,0.719,20,36,152
2015-06,68,25~168,良,46,73,0.843,23,34,81
2015-07,58,24~125,良,38,56,0.661,17,26,73
2015-08,68,21~147,良,36,58,0.71,28,25,114
2015-09,70,34~112,良,38,63,0.793,21,33,118
2015-10,84,38~158,良,58,102,0.839,17,51,107
2015-11,82,38~147,良,60,88,1.077,18,52,58
2015-12,131,66~268,轻度污染,98,150,1.061,26,59,41
2016-01,106,43~226,轻度污染,77,116,0.781,23,49,52
2016-02,86,34~142,良,61,100,0.628,16,30,75
2016-03,87,34~175,良,62,100,0.777,24,44,74
2016-04,69,40~113,良,40,69,0.653,14,38,103
2016-05,78,32~185,良,44,83,1.039,12,29,109
2016-06,54,25~105,良,35,56,0.86,10,23,81
2016-07,78,28~162,良,29,44,0.845,12,19,131
2016-08,79,39~128,良,27,42,0.916,14,19,132
2016-09,65,22~110,良,36,53,1.023,11,25,110
2016-10,50,31~84,良,30,45,1.013,15,32,70
2016-11,74,31~158,良,52,77,1.217,27,40,61
2016-12,100,36~208,轻度污染,74,105,1.171,18,47,62
2017-01,91,42~180,良,67,88,1.213,13,37,62
2017-02,94,40~156,良,69,89,1.336,16,37,85
2017-03,73,40~124,良,51,75,1.023,16,39,93
2017-04,80,38~117,良,46,75,1.05,26,36,120
2017-05,86,38~157,良,42,66,0.99,15,28,134
2017-06,69,28~115,良,36,47,0.81,12,23,113
2017-07,56,26~140,良,23,33,0.687,12,21,96
2017-08,59,28~131,良,23,34,0.729,10,17,105
2017-09,63,28~140,良,31,42,0.8,17,22,103
2017-10,59,29~115,良,35,51,0.9,18,32,93
2017-11,72,32~129,良,46,76,0.863,20,44,73
2017-12,114,52~252,轻度污染,83,114,1.032,25,58,33
2018-01,114,40~253,轻度污染,84,105,1.068,17,51,63
2018-02,90,35~236,良,65,86,1.171,14,35,77
2018-03,74,43~140,良,51,67,1.139,13,32,101
2018-04,91,39~188,良,47,80,1.22,17,31,138
2018-05,93,34~155,良,42,59,1.123,16,25,141
2018-06,108,39~203,轻度污染,31,41,0.883,13,23,167
2018-07,87,28~148,良,24,33,0.852,11,21,141
2018-08,85,37~165,良,23,31,1.084,11,19,139
2018-09,87,34~145,良,29,43,1.02,9,30,141
2018-10,81,44~183,良,36,62,0.955,8,41,130
2018-11,77,29~205,良,52,76,1.203,7,47,78
2018-12,79,34~155,良,55,84,1.177,7,46,42
2019-01,101,36~170,轻度污染,74,107,1.387,8,49,51
2019-02,88,37~207,良,64,89,1.437,6,30,78
2019-03,82,38~132,良,56,91,1.165,10,35,105
2019-04,74,35~193,良,37,65,1.09,7,32,109
2019-05,88,32~155,良,32,60,1.039,7,28,138
2019-06,97,34~173,良,29,46,0.943,8,23,153
2019-07,68,24~102,良,24,38,0.735,8,20,120
2019-08,87,24~172,良,23,40,0.974,6,22,141
2019-09,79,34~155,良,25,47,0.85,8,30,130
2019-10,69,36~155,良,40,76,0.845,10,37,96
2019-11,70,32~109,良,42,87,0.773,10,44,77
2019-12,73,43~144,良,50,87,0.926,8,45,52
2020-01,90,29~193,良,66,88,0.987,6,29,56
2020-02,55,22~108,良,36,52,0.634,6,14,84
2020-03,59,27~89,良,34,59,0.648,9,30,93
2020-04,78,42~110,良,37,63,0.857,11,37,130
2020-05,89,42~175,良,31,52,0.987,12,22,143
2020-06,75,32~155,良,18,28,0.977,10,19,125
2020-07,68,28~159,良,20,31,0.897,9,20,115
2020-08,72,29~126,良,20,36,0.81,9,15,122
2020-09,81,35~142,良,27,48,0.823,12,33,135
2020-10,65,35~109,良,28,54,0.687,13,38,108
2020-11,59,24~99,良,34,60,0.847,11,42,71
2020-12,96,28~178,良,70,99,0.919,12,51,48
2021-01,83,52~142,良,57,94,0.881,9,42,54
2021-02,59,29~115,良,39,59,0.836,7,17,77
2021-03,71,28~127,良,45,76,0.932,8,33,82
2021-04,64,29~115,良,31,59,0.863,9,29,100
2021-05,73,34~128,良,28,55,0.858,9,22,119
2021-06,86,31~188,良,22,41,0.873,8,18,139
2021-07,46,0~113,优,15,27,0.816,5,13,87
2021-08,66,33~119,良,21,35,0.939,5,17,115
2021-09,75,24~136,良,22,41,0.797,8,18,128
2021-10,60,30~131,良,25,47,0.729,8,28,97
2021-11,59,30~93,良,31,62,0.74,8,38,76
2021-12,48,0~139,优,34,56,0.629,7,29,42
2022-01,0,0~0,无,0,0,0,0,0,0
2022-02,0,0~0,无,0,0,0,0,0,0
2022-03,0,0~0,无,0,0,0,0,0,0
2022-04,0,0~0,无,0,0,0,0,0,0
