month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2014-12,73,73~73,良,30,96,0.6,11,13,36
2015-01,106,41~214,轻度污染,78,128,1.171,14,22,38
2015-02,91,21~196,良,68,89,1.093,11,21,39
2015-03,61,22~102,良,43,58,1.323,10,20,36
2015-04,74,29~172,良,54,79,1.273,10,22,45
2015-05,95,54~151,良,71,98,0.781,20,33,46
2015-06,82,25~156,良,60,90,0.73,16,30,39
2015-07,68,38~142,良,48,71,0.548,14,28,39
2015-08,67,24~108,良,47,73,0.597,16,28,43
2015-09,71,50~118,良,49,79,0.72,12,22,44
2015-10,101,33~258,轻度污染,74,115,0.916,14,32,44
2015-11,81,28~173,良,59,74,1.097,14,33,40
2015-12,127,59~252,轻度污染,95,115,1.248,22,53,61
2016-01,129,38~232,轻度污染,97,118,1.152,26,51,52
2016-02,108,26~203,轻度污染,80,104,1.086,15,38,58
2016-03,105,31~220,轻度污染,78,102,0.971,16,43,74
2016-04,86,46~129,良,62,88,0.867,15,41,120
2016-05,88,49~223,良,63,84,0.8,21,32,121
2016-06,74,44~133,良,46,62,0.737,22,27,114
2016-07,69,38~121,良,36,56,0.665,14,25,114
2016-08,91,42~151,良,34,53,0.7,20,27,148
2016-09,90,36~155,良,37,62,0.73,19,38,143
2016-10,58,30~105,良,38,53,0.613,14,35,79
2016-11,83,40~156,良,57,88,0.86,19,52,88
2016-12,110,38~169,轻度污染,82,115,1.11,17,61,81
2017-01,107,41~215,轻度污染,79,96,1.142,14,49,83
2017-02,105,51~148,轻度污染,80,108,1.05,14,50,106
2017-03,86,48~134,良,62,90,0.861,15,49,118
2017-04,98,44~124,良,56,86,0.837,13,39,143
2017-05,119,42~203,轻度污染,44,68,0.761,12,34,173
2017-06,112,37~200,轻度污染,54,76,0.8,12,29,168
2017-07,71,35~158,良,35,56,0.629,11,22,121
2017-08,67,35~128,良,28,49,0.645,9,25,120
2017-09,80,37~154,良,36,61,0.823,11,36,122
2017-10,68,33~152,良,42,70,0.748,14,36,103
2017-11,89,29~168,良,63,105,0.863,12,53,88
2017-12,117,42~231,轻度污染,83,118,1.129,18,64,35
2018-01,125,38~271,轻度污染,94,119,0.913,13,47,61
2018-02,81,0~185,良,58,87,0.736,11,43,75
2018-03,79,34~124,良,57,89,0.719,10,43,96
2018-04,83,0~141,良,47,103,0.683,11,40,123
2018-05,68,0~134,良,31,60,0.639,9,32,123
2018-06,104,47~174,轻度污染,33,64,0.617,10,31,161
2018-07,73,29~141,良,25,49,0.523,11,24,118
2018-08,69,30~161,良,22,40,0.494,10,20,118
2018-09,68,35~110,良,27,49,0.577,8,25,119
2018-10,76,48~139,良,40,70,0.6,10,39,119
2018-11,95,28~238,良,68,87,0.897,9,51,76
2018-12,91,35~203,良,65,83,0.781,10,46,48
2019-01,114,39~211,轻度污染,86,119,1.097,12,49,60
2019-02,98,36~190,良,73,89,0.896,9,30,72
2019-03,92,52~152,良,66,102,0.806,12,45,97
