month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,151,62~324,中度污染,116,180,1.673,147,85,30
2014-01,173,44~316,中度污染,135,195,2.874,133,66,31
2014-02,125,35~264,轻度污染,94,114,1.907,87,43,46
2014-03,145,61~307,轻度污染,103,167,1.777,89,63,66
2014-04,116,38~227,轻度污染,83,136,1.39,74,51,100
2014-05,103,42~189,轻度污染,70,122,1.743,65,38,99
2014-06,91,50~192,良,64,88,1.447,51,29,116
2014-07,96,28~152,良,64,122,1.548,43,32,117
2014-08,98,39~158,良,71,113,1.458,44,30,90
2014-09,97,29~190,良,71,109,2.21,44,38,62
2014-10,113,49~218,轻度污染,83,132,2.652,46,46,44
2014-11,121,51~237,轻度污染,88,161,2.353,53,54,26
2014-12,129,46~315,轻度污染,93,155,3.01,99,59,34
2015-01,136,42~300,轻度污染,102,148,2.661,106,61,42
2015-02,124,41~210,轻度污染,90,131,2.661,87,47,52
2015-03,129,48~383,轻度污染,87,161,2.503,77,49,72
2015-04,106,50~211,轻度污染,76,121,2.117,56,45,98
2015-05,84,26~146,良,56,98,1.665,52,37,120
2015-06,96,47~152,良,63,101,1.74,47,33,144
2015-07,93,44~132,良,66,103,1.252,36,25,128
2015-08,71,36~124,良,46,78,1.616,30,29,111
2015-09,75,27~189,良,50,84,1.447,36,34,99
2015-10,123,45~260,轻度污染,90,134,2.068,44,48,61
2015-11,113,39~313,轻度污染,82,124,2.447,47,44,33
2015-12,178,50~396,中度污染,139,217,2.99,69,52,26
2016-01,124,55~258,轻度污染,91,144,2.752,53,42,31
2016-02,100,55~189,良,69,109,2.676,37,30,41
2016-03,121,56~246,轻度污染,84,161,2.013,44,38,61
2016-04,113,54~176,轻度污染,71,169,1.13,41,30,81
2016-05,93,54~162,良,63,123,1.216,38,28,100
2016-06,84,44~140,良,55,93,1.227,27,23,126
2016-07,86,46~163,良,60,89,1.355,19,18,121
2016-08,70,39~128,良,45,75,1.284,24,23,98
2016-09,101,45~173,轻度污染,71,113,1.213,37,39,128
2016-10,93,38~215,良,67,107,1.361,27,40,76
2016-11,122,42~222,轻度污染,90,153,1.813,38,58,49
2016-12,159,37~269,中度污染,122,176,2.687,56,69,38
2017-01,152,44~375,中度污染,117,161,2.842,52,56,46
2017-02,126,46~246,轻度污染,93,132,2.475,51,48,67
2017-03,103,48~194,轻度污染,76,118,1.368,39,41,85
2017-04,100,48~181,良,73,120,1.073,21,31,99
2017-05,124,54~386,轻度污染,44,91,1.184,29,34,143
2017-06,112,51~184,轻度污染,58,87,1.307,24,31,170
2017-07,103,47~189,轻度污染,52,68,1.284,11,25,151
2017-08,90,37~194,良,37,58,1.148,11,26,145
