month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2021-12,85,57~97,良,60,105,1.15,13,35,91
2022-01,109,42~217,轻度污染,81,127,1.103,11,28,59
2022-02,69,36~112,良,48,81,1.089,9,18,79
2022-03,76,25~266,良,40,97,0.879,9,18,89
2022-04,70,42~108,良,27,54,0.85,8,12,119
2022-05,79,43~133,良,32,55,0.852,8,14,132
2022-06,63,24~134,良,16,33,0.8,7,8,111
2022-07,55,26~96,良,14,28,0.843,7,8,102
2022-08,60,31~95,良,16,30,0.68,7,8,109
2022-09,91,45~135,良,29,68,0.803,11,15,143
2022-10,72,23~195,良,41,70,0.794,11,18,107
2022-11,63,29~97,良,41,65,0.864,10,22,83
2022-12,93,53~193,良,66,106,1.176,11,30,68
2023-01,132,30~254,轻度污染,97,159,1.407,11,28,75
2023-02,81,40~145,良,57,92,0.948,11,25,69
2023-03,83,32~143,良,46,99,1.017,11,18,101
2023-04,83,29~310,良,32,88,0.804,8,13,115
2023-05,64,34~106,良,24,41,0.733,8,13,113
2023-06,71,29~129,良,19,29,0.69,8,11,122
2023-07,50,33~84,良,12,25,0.706,7,8,97
2023-08,75,39~106,良,20,40,0.89,8,10,130
2023-09,56,26~86,良,18,31,0.821,10,11,102
2023-10,77,29~284,良,45,78,0.948,11,21,111
2023-11,71,41~121,良,36,87,0.896,9,28,83
2023-12,67,25~172,良,40,79,0.952,9,27,65
2024-01,74,26~158,良,51,87,0.914,9,29,68
2024-02,68,24~192,良,47,71,0.836,7,15,78
2024-03,65,37~99,良,33,72,0.6,8,16,95
2024-04,59,23~96,良,26,45,0.593,8,12,103
2024-05,81,44~120,良,27,52,0.636,8,10,135
2024-06,61,26~95,良,15,26,0.73,7,8,111
2024-07,46,26~81,优,14,26,0.79,7,7,90
2024-08,59,28~90,良,17,36,0.79,7,7,108
2024-09,74,34~144,良,29,52,0.686,8,10,126
2024-10,70,23~112,良,40,69,0.89,12,16,109
2024-11,57,22~95,良,31,60,1.007,15,21,80
2024-12,62,44~80,良,39,73,1.106,11,27,59
