month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,164,164~164,中度污染,125,191,1.7,42,80,141
2014-01,93,43~171,良,70,102,1.206,18,34,103
2014-02,68,14~142,良,50,55,1.457,10,23,60
2014-03,82,39~156,良,60,75,1.706,17,31,81
2014-04,83,53~143,良,58,74,1.73,15,24,104
2014-05,56,32~119,良,37,51,0.874,13,18,80
2014-06,56,30~99,良,32,41,1.133,11,14,92
2014-07,64,29~363,良,40,42,1.313,15,10,98
2014-08,61,33~128,良,35,42,1.29,18,12,107
2014-09,73,25~135,良,40,39,1.017,13,9,123
2014-10,109,53~175,轻度污染,59,74,1.303,15,15,167
2014-11,87,26~150,良,57,63,1.143,16,17,128
2014-12,69,32~109,良,45,69,1.119,14,23,105
2015-01,95,43~156,良,66,89,1.261,14,33,125
2015-02,85,47~132,良,58,75,1.086,9,19,126
2015-03,87,40~152,良,57,66,1.216,13,23,120
2015-04,84,24~158,良,41,53,1.04,14,24,129
2015-05,67,37~168,良,32,44,1.216,12,16,116
2015-06,55,29~93,良,21,37,1.033,12,11,101
2015-07,55,26~135,良,26,44,0.994,11,13,93
2015-08,60,35~105,良,29,50,1.023,15,16,103
2015-09,79,34~129,良,32,53,1.127,13,14,132
2015-10,75,31~157,良,39,63,1.126,16,18,125
2015-11,64,32~109,良,33,57,1.027,15,20,111
2015-12,52,24~112,良,33,51,1.187,12,24,67
2016-01,55,23~95,良,35,52,1.319,11,27,64
2016-02,54,26~100,良,35,56,1.017,9,16,76
2016-03,79,32~152,良,54,76,1.416,16,33,94
2016-04,69,28~126,良,42,64,1.12,17,22,97
2016-05,64,31~110,良,32,52,1.035,16,15,111
2016-06,46,30~70,优,20,41,1.177,15,17,83
2016-07,65,26~153,良,27,51,1.11,18,15,106
2016-08,54,29~100,良,25,41,1.119,11,15,96
2016-09,59,32~112,良,28,45,0.957,11,15,104
2016-10,50,20~97,良,27,44,1.029,11,17,82
2016-11,58,22~111,良,37,56,1.073,14,22,86
2016-12,62,31~109,良,42,66,1.123,17,27,93
2017-01,59,23~92,良,39,58,1.052,14,20,91
2017-02,60,20~96,良,36,53,0.954,12,17,101
2017-03,70,30~102,良,44,71,1.135,15,29,97
2017-04,70,23~151,良,31,55,1.013,15,20,114
2017-05,70,34~126,良,30,50,0.929,14,15,116
2017-06,42,25~79,优,18,34,1.003,13,14,78
2017-07,39,19~72,优,19,30,0.816,11,11,72
2017-08,61,23~121,良,21,43,0.89,13,15,107
2017-09,71,26~121,良,27,48,0.907,14,14,123
2017-10,62,25~114,良,26,47,0.903,13,14,108
2017-11,55,21~101,良,29,49,0.97,14,19,92
2017-12,60,25~98,良,38,65,0.981,17,26,62
2018-01,55,19~97,良,34,51,0.887,13,25,82
2018-02,56,29~74,良,36,53,0.832,9,15,90
2018-03,77,25~111,良,37,57,0.829,15,20,121
2018-04,76,25~122,良,32,59,0.823,15,15,124
2018-05,80,25~140,良,24,45,0.816,14,13,134
2018-06,59,24~127,良,17,31,0.847,11,12,106
2018-07,51,28~94,良,16,34,0.777,12,12,95
2018-08,50,21~72,优,16,28,0.819,10,11,95
2018-09,58,23~108,良,20,36,0.86,9,12,104
