month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,63,42~92,良,0,76,0,21,30,0
2013-06,71,33~169,良,0,92,0,23,34,0
2013-07,75,44~124,良,0,99,0,17,29,0
2013-08,65,34~136,良,0,79,0,29,31,0
2013-09,77,40~137,良,0,102,0,32,41,0
2013-10,121,42~367,轻度污染,0,184,0,47,56,0
2013-11,95,54~155,良,0,138,0,81,67,0
2013-12,209,92~469,重度污染,154,228,1.523,68,94,27
2014-01,183,67~304,中度污染,142,202,2.326,62,63,43
2014-02,131,63~282,轻度污染,96,127,3.221,64,38,70
2014-03,133,71~320,轻度污染,93,155,3.003,48,38,95
2014-04,138,54~284,轻度污染,102,125,1.24,32,36,112
2014-05,104,49~180,轻度污染,65,115,1.513,35,28,144
2014-06,112,63~216,轻度污染,52,68,2.097,21,25,145
2014-07,81,41~144,良,43,66,1.657,14,22,131
2014-08,82,38~145,良,51,77,1.523,22,25,74
2014-09,81,30~195,良,52,88,1.193,23,32,47
2014-10,100,52~232,良,62,109,1.655,38,49,53
2014-11,147,66~336,轻度污染,111,159,2.733,43,61,37
2014-12,108,49~268,轻度污染,71,115,1.681,60,63,35
2015-01,148,58~362,轻度污染,113,155,2.045,57,66,47
2015-02,141,68~315,轻度污染,105,175,1.65,40,42,76
2015-03,118,66~209,轻度污染,82,152,1.287,30,40,100
2015-04,100,44~159,良,70,107,1.327,23,33,115
2015-05,105,52~151,轻度污染,69,117,1.168,23,35,140
2015-06,98,40~153,良,65,116,1.053,17,32,115
2015-07,77,51~122,良,48,95,1.113,11,35,98
2015-08,87,53~155,良,54,94,1.332,12,28,125
2015-09,88,39~182,良,60,102,1.537,24,32,98
2015-10,105,51~235,轻度污染,71,135,1.8,30,41,76
2015-11,126,32~270,轻度污染,94,144,1.95,33,43,53
2015-12,193,60~500,中度污染,143,270,2.929,54,71,51
2016-01,158,71~500,中度污染,120,216,2.565,57,63,52
2016-02,126,49~256,轻度污染,87,174,2.39,52,45,72
2016-03,124,63~220,轻度污染,75,192,1.474,48,50,85
2016-04,120,61~240,轻度污染,65,183,1.11,28,42,120
2016-05,86,51~142,良,35,101,0.855,20,32,130
2016-06,102,59~173,轻度污染,33,89,0.863,15,33,160
2016-07,92,38~169,良,33,76,0.858,8,26,144
2016-08,84,44~161,良,28,67,0.997,14,24,137
2016-09,115,60~168,轻度污染,55,107,1.207,29,37,166
2016-10,72,39~127,良,45,82,1.171,21,44,75
2016-11,126,37~244,轻度污染,93,149,1.583,23,50,51
2016-12,194,82~426,中度污染,153,210,2.335,33,55,45
2017-01,136,0~299,轻度污染,105,147,2.171,34,55,33
2017-02,128,0~303,轻度污染,97,134,1.796,35,49,69
2017-03,90,0~219,良,64,97,1.345,26,44,83
2017-04,84,0~142,良,54,101,1.41,20,37,108
2017-05,84,0~172,良,29,75,1.116,16,30,158
2017-06,109,0~171,轻度污染,40,86,1.233,13,27,174
2017-07,83,41~148,良,33,68,1.187,5,17,134
2017-08,87,34~159,良,34,67,1.21,10,25,136
2017-09,84,0~139,良,42,89,1.173,17,35,136
2017-10,70,0~147,良,46,83,1.242,16,41,74
2017-11,73,0~226,良,51,88,1.327,23,54,64
2017-12,129,0~314,轻度污染,98,133,1.884,26,62,49
2018-01,150,53~378,轻度污染,116,145,1.558,19,46,51
2018-02,105,0~248,轻度污染,74,116,1.229,19,30,83
2018-03,104,47~245,轻度污染,72,107,1.042,13,30,102
2018-04,61,0~129,良,34,68,0.853,14,27,118
2018-05,84,0~152,良,36,83,0.806,13,24,140
2018-06,118,46~169,轻度污染,34,79,0.813,10,22,178
2018-07,81,41~148,良,30,55,0.81,7,17,133
2018-08,86,29~160,良,30,55,0.913,9,18,140
2018-09,74,36~109,良,29,66,0.91,15,31,121
2018-10,91,57~143,良,58,103,1.035,22,48,116
2018-11,109,0~286,轻度污染,83,98,1.2,17,47,64
2018-12,129,0~292,轻度污染,98,133,1.394,22,54,46
2019-01,173,68~377,中度污染,134,165,1.616,22,57,52
2019-02,180,44~474,中度污染,145,162,1.325,14,33,80
2019-03,88,57~180,良,56,100,0.829,12,30,108
2019-04,79,0~129,良,47,89,0.803,10,25,110
2019-05,88,52~127,良,33,92,0.742,10,24,140
2019-06,124,65~171,轻度污染,33,80,0.78,7,21,185
2019-07,107,60~176,轻度污染,29,60,0.723,5,20,166
2019-08,78,30~131,良,23,49,0.729,10,23,131
2019-09,95,25~152,良,35,76,0.813,12,34,142
2019-10,82,37~196,良,44,100,0.845,12,38,89
2019-11,107,46~252,轻度污染,73,123,0.963,16,45,63
2019-12,146,54~283,轻度污染,112,126,1.319,13,51,38
2020-01,188,83~336,中度污染,146,156,1.597,12,44,61
2020-02,95,33~215,良,69,81,0.89,7,15,75
2020-03,82,38~160,良,52,92,0.7,10,28,96
2020-04,80,48~121,良,43,87,0.623,13,28,116
2020-05,90,42~139,良,29,86,0.584,9,22,139
