month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,104,28~356,轻度污染,79,99,0.987,56,64,44
2014-01,109,32~259,轻度污染,81,101,1.165,51,49,49
2014-02,86,31~196,良,62,79,1.011,38,40,71
2014-03,96,54~225,良,69,111,0.994,40,52,91
2014-04,86,52~153,良,55,97,0.713,27,47,114
2014-05,91,58~143,良,44,97,0.587,23,39,143
2014-06,78,47~179,良,43,69,0.57,18,32,123
2014-07,83,38~132,良,51,79,0.684,16,29,132
2014-08,73,34~131,良,38,63,0.742,16,31,120
2014-09,61,33~103,良,28,54,0.6,15,35,109
2014-10,66,41~103,良,37,65,0.726,15,36,100
2014-11,85,31~210,良,60,82,1.047,27,48,62
2014-12,74,28~242,良,49,77,1.058,41,39,47
2015-01,82,29~268,良,58,79,1.139,37,40,52
2015-02,85,36~170,良,57,92,1.046,33,36,72
2015-03,83,38~189,良,55,99,1.077,28,41,92
2015-04,82,44~157,良,48,85,0.93,16,34,126
2015-05,74,45~113,良,39,73,0.739,13,29,121
2015-06,81,43~132,良,37,65,0.6,10,22,135
2015-07,59,30~102,良,26,53,0.555,11,23,104
2015-08,77,38~140,良,34,67,0.629,12,26,128
2015-09,71,36~112,良,23,52,0.547,13,30,124
2015-10,70,32~117,良,36,73,0.671,13,34,106
2015-11,70,33~185,良,48,72,0.893,20,35,66
2015-12,106,27~272,轻度污染,76,120,1.252,37,41,45
2016-01,83,30~292,良,57,90,1.077,34,36,51
2016-02,68,36~169,良,44,76,0.914,29,31,65
2016-03,77,39~144,良,45,96,0.806,24,33,92
2016-04,90,49~238,良,48,120,0.733,22,36,109
2016-05,79,41~120,良,39,81,0.674,23,41,124
2016-06,77,37~139,良,28,53,0.593,16,28,131
2016-07,58,32~91,良,26,53,0.594,14,24,103
2016-08,55,29~92,良,20,47,0.539,13,27,98
2016-09,65,37~130,良,29,61,0.677,16,33,112
2016-10,57,34~110,良,31,62,0.726,17,35,83
2016-11,74,34~168,良,49,84,0.963,27,45,70
2016-12,88,34~234,良,61,89,1.213,32,47,64
2017-01,84,36~215,良,57,81,1.568,33,46,67
2017-02,71,38~170,良,45,72,1.064,33,38,85
2017-03,72,44~133,良,46,82,1.142,34,46,98
2017-04,81,51~130,良,41,94,0.993,24,43,124
2017-05,95,48~189,良,25,63,0.632,12,25,142
2017-06,95,30~203,良,28,61,0.647,10,25,152
2017-07,72,36~156,良,29,55,0.658,7,21,124
2017-08,64,27~127,良,18,37,0.561,8,19,112
2017-09,95,43~152,良,27,60,0.6,10,26,153
2017-10,57,30~96,良,24,57,0.6,11,31,99
2017-11,61,33~125,良,29,71,0.71,14,33,78
2017-12,66,20~122,良,42,80,1.058,21,39,35
2018-01,72,31~169,良,46,84,0.929,20,36,56
2018-02,61,0~127,良,36,69,0.75,17,26,79
2018-03,68,0~117,良,36,77,0.697,13,30,104
2018-04,78,0~135,良,29,86,0.613,12,27,118
2018-05,65,0~105,良,23,58,0.435,9,25,128
2018-06,85,46~160,良,25,51,0.387,7,16,139
2018-07,45,18~80,优,18,35,0.274,6,12,81
2018-08,64,20~130,良,15,34,0.31,8,13,112
2018-09,64,39~108,良,15,44,0.363,7,22,114
2018-10,58,29~92,良,20,57,0.429,8,27,98
2018-11,63,0~124,良,37,78,0.73,9,38,73
2018-12,66,29~127,良,38,80,0.713,11,31,52
2019-01,101,41~241,轻度污染,68,118,0.997,16,41,53
2019-02,95,36~236,良,66,111,0.754,13,32,78
2019-03,87,43~220,良,51,106,0.603,10,37,99
2019-04,71,44~178,良,27,79,0.363,6,27,110
2019-05,96,50~186,良,27,76,0.31,8,22,150
2019-06,82,45~140,良,25,50,0.353,5,16,137
2019-07,81,49~126,良,29,52,0.41,7,17,137
2019-08,67,28~155,良,18,41,0.49,7,19,114
2019-09,77,44~147,良,23,56,0.483,8,27,131
2019-10,77,36~159,良,39,91,0.529,9,32,110
2019-11,57,29~105,良,27,64,0.55,9,31,67
2019-12,79,31~232,良,55,82,0.829,12,37,59
