month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-05,109,42~177,轻度污染,0,128,1.6,21,56,0
2013-06,147,39~500,轻度污染,0,147,82.613,52,47,0
2013-07,98,42~167,良,0,60,3.7,19,29,0
2013-08,231,119~370,重度污染,0,61,1.468,34,28,295
2013-09,252,19~500,重度污染,0,99,3449.621,49,33,112
2013-10,131,68~500,轻度污染,19,129,648.016,61,43,94
2013-11,97,49~252,良,61,103,2.527,60,49,57
2013-12,151,54~500,中度污染,110,155,3.597,77,54,49
2014-01,154,54~315,中度污染,115,191,3.49,112,61,31
2014-02,151,64~263,中度污染,115,153,2.661,109,48,49
2014-03,129,72~286,轻度污染,92,168,1.723,80,53,75
2014-04,103,64~158,轻度污染,72,123,1.69,44,39,97
2014-05,107,66~184,轻度污染,61,141,1.142,47,38,115
2014-06,127,58~210,轻度污染,82,120,1.17,40,36,169
2014-07,116,58~209,轻度污染,66,106,1.145,27,31,155
2014-08,77,38~122,良,52,94,1.129,31,32,93
2014-09,72,25~166,良,46,73,1.103,22,34,69
2014-10,103,51~204,轻度污染,69,114,1.384,49,52,62
2014-11,148,37~347,轻度污染,113,169,1.967,72,64,46
2014-12,109,52~247,轻度污染,73,139,1.848,106,57,56
2015-01,173,79~442,中度污染,135,216,3.029,97,61,44
2015-02,161,81~343,中度污染,123,198,2.15,80,56,76
2015-03,155,69~309,中度污染,115,195,1.516,68,57,88
2015-04,138,68~226,轻度污染,100,177,1.28,48,48,110
2015-05,125,63~225,轻度污染,89,154,1.142,40,36,129
2015-06,114,51~184,轻度污染,69,131,1.317,35,35,143
2015-07,101,64~154,轻度污染,68,125,1.365,17,33,123
2015-08,74,40~111,良,38,84,1.419,23,36,108
2015-09,66,37~98,良,37,66,1.553,28,42,89
2015-10,88,39~145,良,49,107,1.735,44,59,67
2015-11,98,30~231,良,68,118,2.457,41,58,37
2015-12,195,47~469,中度污染,146,249,3.652,72,71,35
2016-01,194,51~500,中度污染,152,232,3.577,77,69,38
2016-02,100,39~212,轻度污染,69,120,1.903,70,46,79
2016-03,127,54~240,轻度污染,89,175,1.816,63,62,101
2016-04,121,52~201,轻度污染,85,165,1.653,54,54,114
2016-05,81,55~135,良,39,89,1.284,35,41,128
2016-06,123,70~197,轻度污染,65,124,1.527,29,35,171
2016-07,112,47~176,轻度污染,71,107,1.484,15,24,142
2016-08,64,42~95,良,41,65,1.452,13,24,98
2016-09,85,41~169,良,54,101,1.7,21,43,117
2016-10,72,42~114,良,42,72,1.484,21,48,59
2016-11,168,65~313,中度污染,129,209,2.197,40,63,42
2016-12,198,59~500,中度污染,166,231,2.616,41,69,37
2017-01,153,0~404,中度污染,121,182,2.503,41,65,31
2017-02,130,0~408,轻度污染,100,147,1.879,42,53,74
2017-03,100,0~227,轻度污染,71,120,1.435,35,46,88
2017-04,81,0~193,良,53,104,1.55,30,40,98
2017-05,83,0~190,良,36,81,1.116,26,41,157
2017-06,119,0~202,轻度污染,50,97,1.217,20,36,194
2017-07,118,50~186,轻度污染,49,91,1.216,12,26,173
2017-08,109,45~168,轻度污染,55,100,1.223,15,31,155
2017-09,97,0~152,良,60,109,1.203,15,41,133
2017-10,88,30~190,良,65,101,1.355,13,43,61
2017-11,74,0~186,良,50,98,1.327,25,53,62
2017-12,111,0~302,轻度污染,80,129,1.716,30,56,53
2018-01,146,0~382,轻度污染,112,163,1.945,23,50,46
2018-02,114,0~241,轻度污染,82,129,1.475,26,35,82
2018-03,106,0~258,轻度污染,78,124,1.061,17,41,107
2018-04,46,0~121,优,27,52,1.1,17,37,107
2018-05,87,0~147,良,46,92,0.987,12,29,131
2018-06,120,50~181,轻度污染,41,79,0.813,11,26,180
2018-07,95,45~179,良,44,71,0.758,7,21,148
2018-08,107,36~177,轻度污染,37,67,0.923,9,21,165
2018-09,76,44~123,良,35,74,0.84,12,34,113
2018-10,85,49~128,良,51,110,0.935,17,48,107
2018-11,93,0~224,良,69,112,1.45,18,55,53
2018-12,105,0~247,轻度污染,76,134,1.413,23,56,33
2019-01,166,58~287,中度污染,126,194,1.842,21,64,37
2019-02,172,63~301,中度污染,134,193,1.621,15,37,76
2019-03,91,53~170,良,54,117,0.858,15,39,100
2019-04,91,0~138,良,58,111,0.963,14,33,118
2019-05,111,66~165,轻度污染,40,106,0.568,15,32,164
2019-06,128,46~180,轻度污染,34,74,0.613,11,29,189
2019-07,117,56~191,轻度污染,34,58,0.587,7,23,178
2019-08,96,51~152,良,36,56,0.729,8,23,150
