month,AQI,range,level,PM2.5,PM10,CO,SO2,NO2,O3
2013-12,67,67~67,良,43,83,0.9,53,40,40
2014-01,141,50~238,轻度污染,107,141,1.503,46,47,49
2014-02,113,50~239,轻度污染,85,121,1.218,41,47,71
2014-03,76,43~154,良,55,82,0.858,39,36,88
2014-04,75,49~110,良,49,92,0.637,23,30,115
2014-05,59,34~115,良,31,58,0.626,10,23,103
2014-06,65,33~150,良,35,67,0.453,11,26,98
2014-07,74,37~209,良,49,75,0.435,11,24,101
2014-08,57,36~98,良,29,60,0.377,14,23,89
2014-09,54,33~73,良,27,61,0.377,11,25,62
2014-10,93,35~249,良,65,112,0.703,20,35,69
2014-11,129,43~294,轻度污染,98,132,0.987,30,33,51
2014-12,94,43~177,良,67,95,1.042,40,31,47
2015-01,105,40~230,轻度污染,78,109,1.329,42,34,59
2015-02,89,48~165,良,62,96,1.096,36,32,75
2015-03,68,42~124,良,46,76,0.832,23,23,101
2015-04,71,45~130,良,44,83,0.727,27,19,108
2015-05,63,35~147,良,27,61,0.432,10,16,102
2015-06,62,39~104,良,28,47,0.4,8,19,111
2015-07,63,31~122,良,28,50,0.51,7,21,109
2015-08,45,32~78,优,21,41,0.435,8,23,78
2015-09,52,35~71,良,25,56,0.443,7,21,73
2015-10,70,29~172,良,45,84,0.687,14,29,69
2015-11,126,49~318,轻度污染,96,135,1.103,29,27,48
2015-12,100,45~178,良,73,108,1.532,37,27,33
2016-01,78,44~130,良,55,87,1.058,36,23,47
2016-02,79,41~169,良,57,88,1.131,33,26,71
2016-03,68,40~152,良,42,82,0.881,20,24,87
2016-04,73,45~176,良,41,88,0.683,12,22,91
2016-05,55,30~90,良,24,57,0.432,10,20,92
2016-06,45,26~73,优,18,39,0.41,9,20,82
2016-07,45,23~75,优,15,41,0.448,11,26,81
2016-08,44,12~70,优,13,43,0.419,6,23,73
2016-09,44,18~67,优,15,44,0.397,11,18,56
2016-10,54,25~94,良,30,63,0.565,13,29,52
2016-11,90,39~175,良,66,99,1.027,30,41,41
2016-12,88,41~218,良,64,99,1.181,35,39,41
2017-01,89,40~195,良,65,94,1.094,31,33,54
2017-02,66,39~185,良,46,68,0.893,22,25,80
2017-03,56,35~93,良,36,58,0.69,12,25,88
2017-04,71,33~172,良,47,81,0.63,6,28,101
2017-05,62,35~134,良,19,57,0.403,4,21,101
2017-06,48,23~88,优,19,43,0.43,4,24,88
2017-07,50,27~75,良,20,46,0.49,4,23,89
2017-08,38,21~56,优,18,36,0.484,6,18,65
2017-09,45,26~66,优,18,48,0.527,4,24,64
